Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Matt Bryant kicks off 57 yards, returned by Zuriel Smith for 19 yards (tackle by Kevin Lewis)",0.000,1.070
1,14:55,1,10,DAL 32,0,0,Quincy Carter pass complete to Joey Galloway for 64 yards (tackle by Ike Charlton),1.070,6.280
1,14:08,1,4,NYG 4,0,0,"Penalty on Andre Gurode: False Start, 5 yards (no play)",6.280,5.140
1,13:48,1,9,NYG 9,0,0,Troy Hambrick up the middle for 3 yards (tackle by Keith Hamilton),5.140,4.950
1,13:07,2,6,NYG 6,0,0,Quincy Carter pass incomplete,4.950,4.040
1,13:01,3,6,NYG 6,0,0,Quincy Carter pass incomplete intended for Terry Glenn,4.040,2.990
1,12:56,4,6,NYG 6,0,3,Billy Cundiff 24 yard field goal good,2.990,3.000
1,,,,DAL 30,0,3,"Toby Gowin kicks off 57 yards, returned by Brian Mitchell for 16 yards (tackle by Tony Dixon)",0.000,0.870
1,12:47,1,10,NYG 29,0,3,Amani Toomer right end for 5 yards (tackle by Dexter Coakley and La'Roi Glover),0.870,1.000
1,12:22,2,5,NYG 34,0,3,Jesse Palmer pass complete to Jim Finn for 25 yards (tackle by Randal Williams),1.000,2.850
1,11:55,1,10,DAL 41,0,3,Tiki Barber right tackle for 8 yards (tackle by Terence Newman),2.850,3.390
1,11:18,2,2,DAL 33,0,3,Jesse Palmer pass incomplete intended for Willie Ponder,3.390,2.680
1,11:13,3,2,DAL 33,0,3,Jesse Palmer right end for 3 yards (tackle by Dexter Coakley),2.680,3.580
1,10:37,1,10,DAL 30,0,3,Tiki Barber left end for 1 yard (tackle by Mario Edwards),3.580,3.170
1,10:10,2,9,DAL 29,0,3,Jesse Palmer pass complete to Amani Toomer for 3 yards (tackle by Randal Williams),3.170,2.870
1,9:11,3,6,DAL 26,0,3,Jesse Palmer pass incomplete intended for Amani Toomer,2.870,1.760
1,9:07,4,6,DAL 26,3,3,Matt Bryant 45 yard field goal good,1.760,3.000
1,,,,NYG 30,3,3,"Matt Bryant kicks off 40 yards, returned by Eric Ogbogu for 5 yards (tackle by Wesly Mallard)",0.000,1.270
1,8:58,1,10,DAL 35,3,3,Troy Hambrick right end for no gain (tackle by Dhani Jones),1.270,0.720
1,8:17,2,10,DAL 35,3,3,Quincy Carter pass complete to Richie Anderson for no gain,0.720,0.040
1,7:43,3,10,DAL 35,3,3,Quincy Carter sacked by Michael Strahan for -5 yards,0.040,-1.370
1,7:04,4,15,DAL 30,3,3,"Toby Gowin punts 31 yards, fair catch by Brian Mitchell",-1.370,-1.530
1,6:55,1,10,NYG 39,3,3,Tiki Barber up the middle for 3 yards (tackle by Greg Ellis),1.530,1.390
1,6:23,2,7,NYG 42,3,3,Jesse Palmer pass incomplete intended for Amani Toomer,1.390,0.700
1,6:20,3,7,NYG 42,3,3,Jesse Palmer pass complete to David Tyree for 4 yards (tackle by Terence Newman),0.700,-0.320
1,5:38,4,3,NYG 46,3,3,"Jeff Feagles punts 39 yards, returned by Zuriel Smith for -1 yards (tackle by Brian Mitchell)",-0.320,0.280
1,5:28,1,10,DAL 14,3,3,Quincy Carter pass complete to Terry Glenn for 24 yards,-0.280,1.470
1,5:07,1,10,DAL 38,3,3,Quincy Carter pass complete to Daniel Campbell for 8 yards (tackle by Dhani Jones),1.470,2.000
1,4:23,2,2,DAL 46,3,3,Richie Anderson right tackle for 4 yards (tackle by Dhani Jones),2.000,2.260
1,3:50,1,10,NYG 50,3,3,Richie Anderson up the middle for 9 yards (tackle by Cornelius Griffin),2.260,2.930
1,3:08,2,1,NYG 41,3,3,Troy Hambrick up the middle for 5 yards (tackle by Ray Green),2.930,3.180
1,2:29,1,10,NYG 36,3,9,"Quincy Carter pass complete to Jason Witten for 36 yards, touchdown",3.180,7.000
1,,,,NYG 2,3,10,"Billy Cundiff kicks extra point good. Penalty on Johnnie Harris: Illegal Use of Hands, 5 yards",0.000,0.000
1,,,,DAL 35,3,10,"Toby Gowin kicks off 68 yards, touchback",0.000,0.280
1,2:21,1,10,NYG 20,3,10,Tiki Barber left end for 5 yards (tackle by Darren Woodson),0.280,0.410
1,2:03,2,5,NYG 25,3,10,Jesse Palmer pass complete to David Tyree for 11 yards (tackle by Terence Newman),0.410,1.330
1,1:26,1,10,NYG 36,3,10,Tiki Barber left end for 3 yards (tackle by Dat Nguyen and Dexter Coakley),1.330,1.200
1,0:49,2,7,NYG 39,3,10,Jesse Palmer pass complete to Tiki Barber for 6 yards (tackle by Dexter Coakley),1.200,1.290
Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NYG 45,3,10,Jesse Palmer pass incomplete intended for David Tyree,1.290,-0.390
2,14:57,4,1,NYG 45,3,10,"Jeff Feagles punts 37 yards, fair catch by Zuriel Smith",-0.390,-0.040
2,14:49,1,10,DAL 18,3,10,Quincy Carter pass complete to Antonio Bryant for 8 yards (tackle by Micheal Barrow),0.040,0.680
2,14:06,2,2,DAL 26,3,10,Richie Anderson left guard for 8 yards (tackle by Micheal Barrow),0.680,1.200
2,13:26,1,10,DAL 34,3,10,Troy Hambrick up the middle for -1 yards (tackle by Lance LeGree),1.200,0.520
2,12:46,2,11,DAL 33,3,10,Quincy Carter pass incomplete intended for Jason Witten (defended by Omar Stoutmire),0.520,-0.160
2,12:40,3,11,DAL 33,3,10,Quincy Carter pass complete to Daniel Campbell for 10 yards (tackle by Ryan Clark),-0.160,-0.520
2,11:55,4,1,DAL 43,3,10,Toby Gowin punts 46 yards,-0.520,0.370
2,11:41,1,10,NYG 11,3,10,Jesse Palmer sacked by Willie Blade for -1 yards,-0.370,-0.850
2,11:11,2,11,NYG 10,3,10,Dorsey Levens up the middle for 4 yards (tackle by Eric Ogbogu),-0.850,-1.070
2,10:32,3,7,NYG 14,3,10,Jesse Palmer pass complete to Tiki Barber for 11 yards (tackle by Dat Nguyen),-1.070,0.610
2,9:52,1,10,NYG 25,3,10,Dorsey Levens left end for -3 yards (tackle by Dat Nguyen),0.610,-0.340
2,9:14,2,13,NYG 22,3,10,Jesse Palmer pass incomplete intended for David Tyree,-0.340,-1.020
2,9:08,3,13,NYG 22,3,10,"Jesse Palmer pass complete to David Tyree for 5 yards (tackle by Mario Edwards). Penalty on Ebenezer Ekuban: Unnecessary Roughness, 15 yards",-1.020,1.730
2,8:38,1,10,NYG 42,3,10,Dorsey Levens up the middle for 2 yards (tackle by Dat Nguyen),1.730,1.460
2,8:05,2,8,NYG 44,3,10,Dorsey Levens right tackle for no gain (tackle by Greg Ellis and Dat Nguyen),1.460,0.760
2,7:20,3,8,NYG 44,3,10,Jesse Palmer pass incomplete intended for Amani Toomer (defended by Darren Woodson),0.760,-0.460
