Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Ty Johnson,NYJ,6,4,17,0,1,-7,-1.8,24,6.0,0.2,0,,0,0.0,0,70.1
Denzel Mims,NYJ,7,3,71,0,3,64,21.3,7,2.3,25.3,0,,0,0.0,0,80.1
Frank Gore,NYJ,2,2,10,0,0,-2,-1.0,12,6.0,-1.0,0,,0,0.0,0,87.5
Chris Herndon,NYJ,3,2,32,1,2,32,16.0,0,0.0,12.7,0,,1,33.3,0,141.7
Breshad Perriman,NYJ,4,2,54,1,1,51,25.5,3,1.5,30.3,0,,0,0.0,0,135.4
Jamison Crowder,NYJ,4,1,16,0,1,15,15.0,1,1.0,6.0,0,,0,0.0,1,4.2
Jeff Smith,NYJ,1,1,5,0,1,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5
La'Mical Perine,NYJ,1,0,0,0,0,0,,0,,0.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keenan Allen,LAC,19,16,145,1,8,65,4.1,80,5.0,3.8,0,,1,5.3,0,116.0
Kalen Ballage,LAC,9,7,27,0,1,-4,-0.6,31,4.4,-0.8,1,7.0,1,11.1,0,79.2
Hunter Henry,LAC,7,4,48,1,3,37,9.3,11,2.8,9.7,0,,0,0.0,0,117.9
Mike Williams,LAC,7,4,72,1,4,43,10.8,29,7.3,17.4,0,,0,0.0,0,132.1
Joshua Kelley,LAC,2,2,4,0,1,-4,-2.0,8,4.0,-2.0,0,,0,0.0,0,79.2
Troymaine Pope,LAC,2,2,12,0,,5,2.5,7,3.5,2.5,0,,0,0.0,0,91.7
Jalen Guyton,LAC,1,1,4,0,,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3
Tyron Johnson,LAC,1,1,54,0,1,50,50.0,4,4.0,50.0,0,,0,0.0,0,118.7
