Quarter,Time,Down,ToGo,Location,NYJ,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Braden Mann kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Justin Herbert pass complete short right to Kalen Ballage for 2 yards (tackle by Frankie Luvu),0.610,0.330
1,14:20,2,8,LAC 27,0,0,Justin Herbert pass complete short right to Keenan Allen for 17 yards (tackle by Ashtyn Davis and Jordan Jenkins),0.330,1.860
1,13:57,1,10,LAC 44,0,0,Kalen Ballage left end for 4 yards (tackle by Jordan Jenkins and Harvey Langi),1.860,1.860
1,13:26,2,6,LAC 48,0,0,Justin Herbert pass complete short right to Joshua Kelley for -6 yards (tackle by Neville Hewitt),1.860,0.370
1,12:59,3,12,LAC 42,0,0,Justin Herbert pass complete short middle to Hunter Henry for 18 yards (tackle by Neville Hewitt),0.370,2.920
1,12:31,1,10,NYJ 40,0,0,Justin Herbert pass complete short right to Keenan Allen for 1 yard (tackle by Bryce Hall),2.920,2.510
1,11:59,2,9,NYJ 39,0,0,Justin Herbert sacked by and Nathan Shepherd for -7 yards and Jordan Jenkins for -7 yards,2.510,0.890
1,11:18,3,16,NYJ 46,0,0,Justin Herbert pass incomplete deep right intended for Mike Williams,0.890,0.200
1,11:11,4,16,NYJ 46,0,0,"Ty Long punts blocked by Henry Anderson, recovered by Quinnen Williams",0.200,-3.640
1,11:04,1,10,LAC 29,0,0,Frank Gore up the middle for 14 yards (tackle by Nasir Adderley),3.640,4.580
1,10:25,1,10,LAC 15,0,0,Frank Gore up the middle for 2 yards (tackle by Tevaughn Campbell),4.580,4.280
1,9:49,2,8,LAC 13,0,0,Frank Gore left tackle for 8 yards (tackle by Nasir Adderley),4.280,6.060
1,9:09,1,5,LAC 5,6,0,"La'Mical Perine up the middle for 5 yards, touchdown",6.060,7.000
1,9:05,,,LAC 15,6,0,Sam Ficken kicks extra point no good wide left,0.000,-1.000
1,9:05,,,NYJ 35,6,0,"Braden Mann kicks off 65 yards, touchback.",0.000,0.610
1,9:05,1,10,LAC 25,6,0,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Neville Hewitt),0.610,0.600
1,8:30,2,6,LAC 29,6,0,Kalen Ballage up the middle for 1 yard (tackle by Quinnen Williams and Jordan Jenkins),0.600,0.040
1,7:54,3,5,LAC 30,6,0,"Justin Herbert pass incomplete short right intended for Keenan Allen. Penalty on Bryce Hall: Defensive Pass Interference, 8 yards (no play)",0.040,1.470
1,7:50,1,10,LAC 38,6,0,Kalen Ballage up the middle for -3 yards (tackle by Henry Anderson),1.470,0.520
1,7:18,2,13,LAC 35,6,0,Justin Herbert pass complete short middle to Hunter Henry for 6 yards (tackle by Neville Hewitt),0.520,0.630
1,6:54,3,7,LAC 41,6,0,Justin Herbert pass complete short right to Mike Williams for 13 yards (tackle by Bryce Hall),0.630,2.520
1,6:25,1,10,NYJ 46,6,0,Justin Herbert pass complete short middle to Keenan Allen for 18 yards (tackle by Ashtyn Davis),2.520,3.710
1,5:59,1,10,NYJ 28,6,0,Justin Herbert pass complete short right to Troymaine Pope for 8 yards (tackle by Bryce Hall),3.710,4.250
1,5:32,2,2,NYJ 20,6,0,Troymaine Pope up the middle for no gain (tackle by Harvey Langi),4.250,3.530
1,4:50,3,2,NYJ 20,6,0,Kalen Ballage up the middle for 2 yards (tackle by Quinnen Williams and Folorunso Fatukasi),3.530,4.370
1,4:10,1,10,NYJ 18,6,0,Justin Herbert pass complete short middle to Kalen Ballage for 3 yards (tackle by Harvey Langi),4.370,4.250
1,3:33,2,7,NYJ 15,6,0,"Justin Herbert pass complete short right to Keenan Allen for 14 yards (tackle by Ashtyn Davis and Marcus Maye). Keenan Allen fumbles (forced by Marcus Maye), recovered by Ashtyn Davis at NYJ-4 (tackle by Tyron Johnson)",4.250,0.380
1,3:24,1,10,NYJ 4,6,6,"Joe Flacco pass short right intended for Jamison Crowder is intercepted by Tevaughn Campbell at NYJ-6 and returned for 6 yards, touchdown",-0.380,-7.000
1,3:20,,,NYJ 15,6,7,Michael Badgley kicks extra point good,0.000,0.000
1,3:20,,,LAC 35,6,7,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
1,3:20,1,10,NYJ 25,6,7,Frank Gore left tackle for 1 yard (tackle by Kenneth Murray and Joey Bosa),0.610,0.200
1,2:47,2,9,NYJ 26,6,7,Frank Gore up the middle for -1 yards (tackle by Kenneth Murray and Michael Davis),0.200,-0.620
1,2:07,3,10,NYJ 25,6,7,"Penalty on Mekhi Becton: False Start, 5 yards (no play)",-0.620,-1.290
1,1:53,3,15,NYJ 20,6,7,Joe Flacco pass complete short right to Ty Johnson for no gain (tackle by Casey Hayward),-1.290,-2.030
1,1:17,4,15,NYJ 20,6,7,"Braden Mann punts 42 yards, returned by K.J. Hill for 5 yards (tackle by Daniel Brown and Bryce Hager)",-2.030,-1.800
1,1:05,1,10,LAC 43,6,7,Justin Herbert pass complete short left to Kalen Ballage for 3 yards (tackle by Ashtyn Davis),1.800,1.660
1,0:36,2,7,LAC 46,6,7,Justin Herbert pass complete short left to Keenan Allen for 9 yards (tackle by Lamar Jackson),1.660,2.590
1,0:08,1,10,NYJ 45,6,7,Kalen Ballage left tackle for 9 yards (tackle by Lamar Jackson and Ashtyn Davis),2.590,3.260
Quarter,Time,Down,ToGo,Location,NYJ,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,NYJ 36,6,7,Kalen Ballage left guard for -3 yards (tackle by Folorunso Fatukasi),3.260,2.150
2,14:26,3,4,NYJ 39,6,13,"Justin Herbert pass complete short middle to Mike Williams for 39 yards, touchdown",2.150,7.000
2,14:17,,,NYJ 15,6,14,Michael Badgley kicks extra point good,0.000,0.000
2,14:17,,,LAC 35,6,14,"Ty Long kicks off 68 yards, returned by Braxton Berrios for 17 yards (tackle by Joe Reed and Gabe Nabers)",0.000,-0.280
2,14:12,1,10,NYJ 14,6,14,Joe Flacco pass incomplete short right intended for Chris Herndon,-0.280,-0.750
2,14:07,2,10,NYJ 14,6,14,La'Mical Perine right tackle for 3 yards (tackle by Justin Jones),-0.750,-1.040
2,13:30,3,7,NYJ 17,6,14,"Penalty on Melvin Ingram: Neutral Zone Infraction, 5 yards (no play)",-1.040,-0.440
2,13:13,3,2,NYJ 22,6,14,Joe Flacco pass incomplete short left intended for Jamison Crowder,-0.440,-1.900
2,13:08,4,2,NYJ 22,6,14,Braden Mann punts 50 yards out of bounds,-1.900,-0.810
2,13:00,1,10,LAC 28,6,14,Justin Herbert pass complete deep right to Tyron Johnson for 54 yards (tackle by Neville Hewitt),0.810,4.370
2,12:13,1,10,NYJ 18,6,14,Kalen Ballage left end for 4 yards (tackle by Marcus Maye and Jordan Jenkins),4.370,4.430
2,11:36,2,6,NYJ 14,6,14,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Marcus Maye and Tarell Basham),4.430,6.060
2,11:11,1,5,NYJ 5,6,14,"Justin Herbert sacked by Arthur Maulet for -3 yards. Penalty on Nathan Shepherd: Unnecessary Roughness, 4 yards",6.060,6.280
2,10:54,1,4,NYJ 4,6,14,Justin Herbert pass incomplete short right intended for Hunter Henry,6.280,5.340
2,10:49,2,4,NYJ 4,6,14,Kalen Ballage right end for 2 yards (tackle by John Franklin-Myers and Neville Hewitt),5.340,4.950
2,10:05,3,2,NYJ 2,6,20,"Justin Herbert pass complete short right to Hunter Henry for 2 yards, touchdown",4.950,7.000
2,10:01,,,NYJ 15,6,21,Michael Badgley kicks extra point good,0.000,0.000
2,10:01,,,LAC 35,6,21,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,10:01,1,10,NYJ 25,6,21,"Penalty on Justin Jones: Neutral Zone Infraction, 5 yards (no play)",0.610,1.340
2,10:01,1,5,NYJ 30,6,21,Frank Gore up the middle for 5 yards (tackle by Linval Joseph),1.340,1.270
2,9:25,1,10,NYJ 35,6,21,Joe Flacco pass complete deep right to Chris Herndon for 26 yards (tackle by Kenneth Murray),1.270,2.980
2,8:49,1,10,LAC 39,6,21,Frank Gore up the middle for no gain (tackle by Kenneth Murray and Denzel Perryman),2.980,2.440
