Quarter,Time,Tm,Detail,NYJ,LAC
1.0,9:05,Jets,La'Mical Perine 5 yard rush (Sam Ficken kick failed),6,0
,3:20,Chargers,Tevaughn Campbell 6 yard interception return (Michael Badgley kick),6,7
2.0,14:17,Chargers,Mike Williams 39 yard pass from Justin Herbert (Michael Badgley kick),6,14
,10:01,Chargers,Hunter Henry 2 yard pass from Justin Herbert (Michael Badgley kick),6,21
,0:00,Chargers,Michael Badgley 44 yard field goal,6,24
3.0,11:27,Jets,Breshad Perriman 49 yard pass from Joe Flacco (Sam Ficken kick),13,24
,5:33,Chargers,Keenan Allen 13 yard pass from Justin Herbert (Michael Badgley kick),13,31
,0:22,Jets,Frank Gore 1 yard rush (Sam Ficken kick failed),19,31
4.0,6:42,Chargers,Michael Badgley 23 yard field goal,19,34
,4:00,Jets,Chris Herndon 6 yard pass from Joe Flacco (Sam Ficken kick),26,34
,0:01,Jets,Safety,28,34
