Unnamed: 0,MIA,BUF
First Downs,14,18
Rush-Yds-TDs,25-111-0,31-137-0
Cmp-Att-Yd-TD-INT,12-23-136-1-1,15-28-212-1-0
Sacked-Yards,5-35,1-8
Net Pass Yards,101,204
Total Yards,212,341
Fumbles-Lost,4-0,0-0
Turnovers,1,0
Penalties-Yards,3-21,7-60
Third Down Conv.,5-12,5-13
Fourth Down Conv.,0-0,1-1
Time of Possession,28:00,32:00
