Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
1,0:41,1,10,CHI 38,0,14,Jay Cutler pass incomplete short left intended for Devin Aromashodu,1.470,0.920
1,0:37,2,10,CHI 38,0,14,Matt Forte left guard for 4 yards (tackle by Haloti Ngata and Tom Zbikowski),0.920,0.760
Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,CHI 42,0,14,Jay Cutler pass complete short right to Johnny Knox for 7 yards (tackle by Lardarius Webb),0.760,2.190
2,14:27,1,10,CHI 49,0,14,Matt Forte right tackle for 3 yards (tackle by Terrell Suggs and Jarret Johnson),2.190,2.050
2,13:47,2,7,BAL 48,0,14,Jay Cutler pass incomplete short left intended for Devin Aromashodu,2.050,1.360
2,13:44,3,7,BAL 48,0,14,Jay Cutler middle for 13 yards (tackle by Domonique Foxworth),1.360,3.250
2,13:11,1,10,BAL 35,0,14,Matt Forte left guard for no gain (tackle by Kelly Talavou),3.250,2.700
2,12:30,2,10,BAL 35,0,14,Jay Cutler right tackle for 10 yards (tackle by Jarret Johnson),2.700,3.910
2,11:52,1,10,BAL 25,0,14,Matt Forte middle for 10 yards (tackle by Tom Zbikowski),3.910,4.580
2,11:21,1,10,BAL 15,0,14,"Matt Forte right end for 7 yards (tackle by Dawan Landry). Matt Forte fumbles (forced by Dawan Landry), recovered by Devin Aromashodu at BAL-8",4.580,5.220
2,10:33,2,3,BAL 8,0,14,Kahlil Bell middle for 2 yards (tackle by Ray Lewis),5.220,4.900
2,9:49,3,1,BAL 6,0,14,Kahlil Bell right end for 2 yards (tackle by Kelly Gregg and Ray Lewis),4.900,6.280
2,9:16,1,4,BAL 4,0,14,Kahlil Bell right guard for 3 yards (tackle by Ray Lewis),6.280,5.910
2,9:16,2,1,BAL 1,0,14,Jay Cutler pass incomplete short right intended for Earl Bennett,5.910,5.170
2,8:53,,,,0,14,Timeout #1 by Baltimore Ravens,0.000,5.170
2,8:53,3,1,BAL 1,0,14,Matt Forte left guard for no gain (tackle by Terrell Suggs and Jameel McClain),5.170,3.550
2,8:09,,,,0,14,Timeout #1 by Chicago Bears,0.000,3.550
2,8:09,4,1,BAL 1,0,14,Jay Cutler pass incomplete short right intended for Greg Olsen,3.550,0.380
2,8:05,1,10,BAL 2,0,14,--,-0.380,-0.420
2,8:05,1,11,BAL 1,0,14,Joe Flacco middle for 2 yards (tackle by Mark Anderson),-0.420,-0.710
2,7:28,2,9,BAL 3,0,14,Le'Ron McClain right tackle for no gain (tackle by Lance Briggs and Adewale Ogunleye),-0.710,-1.300
2,6:44,3,9,BAL 3,0,14,Ray Rice middle for -1 yards (tackle by Israel Idonije),-1.300,-2.490
2,6:01,4,10,BAL 2,6,14,"Sam Koch punts 47 yards, returned by Earl Bennett for 49 yards, touchdown",-2.490,-7.000
2,,,,BAL 2,7,14,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,7,14,"Robbie Gould kicks off 60 yards, returned by Lardarius Webb for 32 yards (tackle by Corey Graham)",0.000,1.730
2,5:35,1,10,BAL 42,7,14,Joe Flacco pass complete short left to Ray Rice for 2 yards (tackle by Charles Tillman and Israel Idonije),1.730,1.460
2,4:49,2,8,BAL 44,7,14,Joe Flacco pass complete short right to Todd Heap for 6 yards (tackle by Lance Briggs),1.460,1.550
2,4:08,3,2,BAL 50,7,14,Joe Flacco pass complete short left to Demetrius Williams for 10 yards (tackle by Zackary Bowman),1.550,2.920
2,3:32,1,10,CHI 40,7,14,Troy Smith right end for 8 yards (tackle by Charles Tillman),2.920,3.450
2,3:08,,,,7,14,Timeout #2 by Chicago Bears,0.000,3.450
2,3:08,2,2,CHI 32,7,14,Joe Flacco pass complete deep left to Derrick Mason for 16 yards (tackle by Zackary Bowman),3.450,4.510
2,2:52,1,10,CHI 16,7,14,Troy Smith middle for 1 yard (tackle by Jamar Williams),4.510,4.050
2,2:07,2,9,CHI 15,7,14,Joe Flacco pass incomplete short right intended for Derrick Mason,4.050,3.220
2,2:01,3,9,CHI 15,7,14,Joe Flacco left end for 3 yards (tackle by Zackary Bowman),3.220,2.660
2,1:53,4,6,CHI 12,7,14,Billy Cundiff 30 yard field goal no good,2.660,-0.280
2,1:49,1,10,CHI 20,7,14,Jay Cutler pass incomplete short middle intended for Matt Forte,0.280,-0.270
2,1:45,2,10,CHI 20,7,14,Matt Forte right tackle for 5 yards (tackle by Dannell Ellerbe),-0.270,-0.300
2,1:38,3,5,CHI 25,7,14,Jay Cutler right end for 1 yard (tackle by Ray Lewis),-0.300,-1.630
2,1:30,4,4,CHI 26,7,14,"Brad Maynard punts 35 yards, returned by Chris Carr for 3 yards (tackle by Tim Shaw)",-1.630,-1.730
2,1:21,1,10,BAL 42,7,14,Joe Flacco pass complete short right to Ray Rice for 4 yards (tackle by Lance Briggs and Charles Tillman),1.730,1.730
2,0:58,2,6,BAL 46,7,14,Joe Flacco pass complete short right to Todd Heap for 9 yards (tackle by Kevin Payne),1.730,2.590
2,0:53,1,10,CHI 45,7,14,Joe Flacco pass complete short right to Ray Rice for -1 yards (tackle by Charles Tillman),2.590,1.910
2,0:42,,,,7,14,Timeout #2 by Baltimore Ravens,0.000,1.910
2,0:42,2,11,CHI 46,7,14,Joe Flacco pass complete short middle to Ray Rice for 10 yards (tackle by Danieal Manning and Hunter Hillenmeyer),1.910,2.540
2,0:35,,,,7,14,Timeout #3 by Baltimore Ravens,0.000,2.540
2,0:35,3,1,CHI 36,7,14,"Joe Flacco pass complete short right to Ray Rice for 28 yards (tackle by Al Afalava). Penalty on Michael Oher: Illegal Formation, 5 yards (no play)",2.540,1.880
2,0:27,3,6,CHI 41,7,14,Joe Flacco pass incomplete deep right intended for Derrick Mason,1.880,0.530
2,0:18,4,6,CHI 41,7,14,Sam Koch punts 29 yards. Penalty on Kellen Davis: Running Into the Kicker (Declined),0.530,0.350
2,0:13,1,10,CHI 12,7,14,Jay Cutler kneels for -1 yards,-0.350,-0.850
Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,7,14,"Robbie Gould kicks off 60 yards, returned by Lardarius Webb for 25 yards (tackle by Josh Bullocks)",0.000,1.270
3,14:55,1,10,BAL 35,7,14,Joe Flacco pass complete short right to Derrick Mason for 12 yards (tackle by Charles Tillman),1.270,2.060
3,14:18,1,10,BAL 47,7,14,Ray Rice left guard for 3 yards (tackle by Lance Briggs),2.060,1.920
3,13:37,2,7,CHI 50,7,14,Ray Rice right end for -2 yards (tackle by Nick Roach),1.920,0.960
3,12:58,3,9,BAL 48,7,14,Joe Flacco pass complete deep left to Demetrius Williams for 20 yards,0.960,3.450
3,12:32,1,10,CHI 32,7,20,"Joe Flacco pass complete deep left to Demetrius Williams for 32 yards, touchdown. Penalty on Charles Tillman: Defensive Pass Interfere (Declined)",3.450,7.000
3,,,,CHI 2,7,21,Billy Cundiff kicks extra point good,0.000,0.000
3,,,,BAL 30,7,21,"Billy Cundiff kicks off 72 yards, returned by Johnny Knox for 31 yards (tackle by Cary Williams). Johnny Knox fumbles (forced by Cary Williams), recovered by David Tyree at CHI-29 (tackle by Kellen Davis)",0.000,-3.640
3,12:16,1,10,CHI 29,7,21,Joe Flacco pass incomplete deep right intended for Todd Heap,3.640,3.100
3,12:07,2,10,CHI 29,7,21,Ray Rice left guard for 1 yard (tackle by Danieal Manning),3.100,2.540
3,11:33,3,9,CHI 28,7,21,Joe Flacco pass complete short middle to Derrick Mason for 10 yards (tackle by Gaines Adams),2.540,4.370
3,11:05,1,10,CHI 18,7,21,Ray Rice right tackle for no gain (tackle by Lance Briggs),4.370,3.800
3,10:27,2,10,CHI 18,7,27,"Joe Flacco pass complete deep left to Derrick Mason for 18 yards, touchdown",3.800,7.000
3,,,,CHI 2,7,28,Billy Cundiff kicks extra point good,0.000,0.000
3,,,,BAL 30,7,28,"Billy Cundiff kicks off 66 yards, returned by Rashied Davis for 14 yards (tackle by Chris Carr). Penalty on Adrian Peterson: Illegal Block Above the , 9 yards",0.000,-0.380
3,10:14,1,10,CHI 9,7,28,Jay Cutler pass complete short right to Matt Forte for 1 yard (tackle by Dannell Ellerbe),-0.380,-0.710
3,9:34,2,9,CHI 10,7,28,"Matt Forte right tackle for -2 yards (tackle by Haloti Ngata). Matt Forte fumbles (forced by Haloti Ngata), recovered by Haloti Ngata at CHI-8 (tackle by Jay Cutler). Penalty on Terrell Suggs: Unsportsmanlike Conduct, 15 yards",-0.710,-4.040
3,9:26,1,10,CHI 23,7,28,Ray Rice left end for -2 yards (tackle by Lance Briggs),4.040,3.230
3,8:46,2,12,CHI 25,7,28,Ray Rice left tackle for 3 yards (tackle by Kevin Payne),3.230,2.940
3,8:07,3,9,CHI 22,7,28,Joe Flacco pass incomplete deep right intended for Demetrius Williams,2.940,1.990
3,8:00,4,9,CHI 22,7,31,Billy Cundiff 40 yard field goal good,1.990,3.000
3,,,,BAL 30,7,31,"Billy Cundiff kicks off 61 yards, returned by Danieal Manning for 17 yards (tackle by Prescott Burgess)",0.000,0.670
3,7:48,1,10,CHI 26,7,31,Jay Cutler pass incomplete short right intended for Devin Aromashodu,0.670,0.130
3,7:42,2,10,CHI 26,7,31,Jay Cutler pass incomplete short right intended for Earl Bennett,0.130,-0.560
3,7:39,3,10,CHI 26,7,31,Jay Cutler sacked by Ray Lewis for -1 yards,-0.560,-1.700
3,7:04,4,11,CHI 25,7,31,"Brad Maynard punts 47 yards, returned by Chris Carr for 4 yards (tackle by Nick Roach)",-1.700,-1.070
3,6:53,1,10,BAL 32,7,31,Ray Rice middle for 2 yards (tackle by Lance Briggs and Jamar Williams),1.070,0.800
3,6:16,2,8,BAL 34,7,31,Ray Rice left tackle for 4 yards (tackle by Kevin Payne),0.800,0.630
3,5:38,3,4,BAL 38,7,31,Joe Flacco pass complete short right to Derrick Mason for 16 yards (tackle by Danieal Manning),0.630,2.520
3,5:05,1,10,CHI 46,7,31,Ray Rice right tackle for 2 yards (tackle by Lance Briggs and Israel Idonije),2.520,2.250
3,4:31,2,8,CHI 44,7,31,Joe Flacco pass complete short middle to Ray Rice for 2 yards (tackle by Lance Briggs and Hunter Hillenmeyer),2.250,1.820
3,3:47,3,6,CHI 42,7,31,Joe Flacco pass incomplete short right intended for Derrick Mason. Penalty on Oniel Cousins: Illegal Use of Hands (Declined),1.820,0.460
3,3:38,4,6,CHI 42,7,31,Sam Koch punts 29 yards,0.460,0.320
3,3:30,1,10,CHI 13,7,31,Kahlil Bell right guard for 2 yards (tackle by Dwan Edwards),-0.320,-0.570
3,2:58,2,8,CHI 15,7,31,Jay Cutler pass complete deep middle to Earl Bennett for 20 yards (tackle by Chris Carr),-0.570,1.270
3,2:24,1,10,CHI 35,7,31,Jay Cutler pass incomplete short right intended for Greg Olsen,1.270,0.720
3,2:19,2,10,CHI 35,7,31,Jay Cutler pass incomplete short left intended for Kahlil Bell,0.720,0.040
3,2:13,3,10,CHI 35,7,31,Jay Cutler pass incomplete deep right intended for Devin Aromashodu,0.040,-1.040
3,2:10,4,10,CHI 35,7,31,"Brad Maynard punts 38 yards, returned by Chris Carr for 21 yards (tackle by Rashied Davis)",-1.040,-2.130
3,1:58,1,10,BAL 48,7,31,Willis McGahee left guard for 2 yards (tackle by Lance Briggs and Alex Brown),2.130,1.850
3,1:20,2,8,BAL 50,7,31,"Joe Flacco sacked by Nick Roach for -10 yards. Joe Flacco fumbles (forced by Nick Roach), recovered by Willis McGahee at BAL-35",1.850,-0.290
3,0:48,3,19,BAL 39,7,31,Joe Flacco pass complete short left to Willis McGahee for 10 yards (tackle by Lance Briggs and Marcus Harrison),-0.290,-0.130
Quarter,Time,Down,ToGo,Location,CHI,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,9,BAL 49,7,31,Sam Koch punts 30 yards,-0.130,-0.340
4,14:52,1,10,CHI 21,7,31,Jay Cutler sacked by Kelly Gregg for -3 yards,0.340,-0.700
4,14:19,2,13,CHI 18,7,31,Jay Cutler pass incomplete deep right intended for Greg Olsen. Penalty on Kevin Shaffer: Face Mask (15 Yards) (Declined),-0.700,-1.410
4,14:13,3,13,CHI 18,7,31,Matt Forte right guard for 4 yards (tackle by Tom Zbikowski and Ray Lewis),-1.410,-1.900
4,13:35,4,9,CHI 22,7,31,"Brad Maynard punts 52 yards, returned by Chris Carr for 3 yards (tackle by Tim Shaw)",-1.900,-0.870
4,13:28,1,10,BAL 29,7,31,Joe Flacco pass incomplete short right intended for Willis McGahee,0.870,0.330
4,13:25,2,10,BAL 29,7,31,Willis McGahee middle for -2 yards (tackle by Alex Brown),0.330,-0.630
4,12:48,3,12,BAL 27,7,31,Joe Flacco pass incomplete short right intended for Willis McGahee,-0.630,-1.570
4,12:41,4,12,BAL 27,7,31,"Sam Koch punts 38 yards, returned by Earl Bennett for 1 yard (tackle by Matt Katula)",-1.570,-1.330
4,12:31,1,10,CHI 36,7,31,Matt Forte left guard for 9 yards (tackle by Dannell Ellerbe and Tom Zbikowski),1.330,2.010
4,11:56,2,1,CHI 45,7,31,Matt Forte right tackle for -1 yards (tackle by Trevor Pryce),2.010,1.160
4,11:14,3,2,CHI 44,7,31,Jay Cutler pass incomplete deep right intended for Devin Aromashodu (defended by Frank Walker),1.160,-0.460
4,11:08,4,2,CHI 44,7,31,"Brad Maynard punts 41 yards, fair catch by Chris Carr",-0.460,0.220
4,10:59,1,10,BAL 15,7,31,Willis McGahee left tackle for 8 yards (tackle by Jamar Williams),-0.220,0.480
4,10:20,2,2,BAL 23,7,31,Le'Ron McClain middle for 6 yards (tackle by Marcus Harrison),0.480,0.870
4,9:40,1,10,BAL 29,7,31,Joe Flacco sacked by Hunter Hillenmeyer for -11 yards,0.870,-1.260
4,9:06,2,21,BAL 18,7,31,Willis McGahee middle for 1 yard (tackle by Lance Briggs and Marcus Harrison),-1.260,-1.790
4,8:21,3,20,BAL 19,7,31,Joe Flacco pass complete short left to Willis McGahee for 2 yards (tackle by Lance Briggs),-1.790,-1.960
4,7:34,4,18,BAL 21,7,31,"Sam Koch punts 46 yards, returned by Earl Bennett for 17 yards (tackle by Jalen Parmele)",-1.960,-2.260
4,7:23,1,10,CHI 50,7,31,Jay Cutler pass incomplete deep right intended for Greg Olsen (defended by Antwan Barnes),2.260,1.710
4,7:16,2,10,CHI 50,7,31,Jay Cutler pass complete short right to Johnny Knox for 4 yards (tackle by Frank Walker),1.710,1.550
4,6:40,3,6,BAL 46,7,31,Jay Cutler pass incomplete deep left intended for Devin Aromashodu is intercepted by Domonique Foxworth at BAL-28,1.550,-0.810
4,6:25,1,10,BAL 28,7,31,Troy Smith pass complete short right to Willis McGahee for 1 yard,0.810,0.400
4,6:02,2,9,BAL 29,7,31,Troy Smith pass incomplete short left intended for Justin Harper (defended by Zackary Bowman),0.400,-0.300
4,5:57,3,9,BAL 29,7,31,Troy Smith middle for 7 yards (tackle by Israel Idonije),-0.300,-0.980
4,5:10,4,2,BAL 36,7,31,"Sam Koch punts 56 yards, returned by Earl Bennett for 9 yards (tackle by Cary Williams)",-0.980,0.060
4,4:57,1,10,CHI 17,7,31,Caleb Hanie pass complete short left to Johnny Knox for 3 yards (tackle by Domonique Foxworth),-0.060,-0.060
4,4:19,2,7,CHI 20,7,31,"Caleb Hanie pass incomplete short right intended for Devin Aromashodu is intercepted by Frank Walker at CHI-32. Penalty on Frank Walker: Delay of Game, 5 yards",-0.060,-3.120
4,4:11,1,10,CHI 37,7,31,Troy Smith pass complete short right to Demetrius Williams for 9 yards (tackle by Charles Tillman),3.120,3.790
4,3:30,2,1,CHI 28,7,31,Le'Ron McClain right guard for no gain (tackle by Hunter Hillenmeyer and Marcus Harrison),3.790,3.070
4,2:44,3,1,CHI 28,7,31,Troy Smith middle for no gain (tackle by Charles Tillman and Hunter Hillenmeyer),3.070,1.720
4,2:15,4,1,CHI 28,7,31,Troy Smith middle for 2 yards (tackle by Anthony Adams and Hunter Hillenmeyer),1.720,3.840
4,2:00,1,10,CHI 26,7,31,Troy Smith pass incomplete deep left intended for Demetrius Williams is intercepted by Zackary Bowman at CHI-1 and returned for 20 yards,3.840,-0.340
4,1:49,1,10,CHI 21,7,31,Kahlil Bell left guard for 20 yards (tackle by Tom Zbikowski),0.340,1.660
4,1:22,1,10,CHI 41,7,31,Kahlil Bell right guard for 1 yard (tackle by Justin Bannan and Paul Kruger),1.660,1.260
4,0:50,2,9,CHI 42,7,31,Caleb Hanie pass complete short left to Rashied Davis for 5 yards (tackle by Domonique Foxworth),1.260,1.220
4,0:26,3,4,CHI 47,7,31,Caleb Hanie pass incomplete short left intended for Rashied Davis,1.220,-0.260
4,0:17,4,4,CHI 47,7,31,Caleb Hanie pass incomplete deep left intended for Rashied Davis (defended by Domonique Foxworth),-0.260,-2.460
4,0:14,1,10,CHI 47,7,31,Troy Smith kneels for -1 yards,2.460,1.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
