Unnamed: 0,CHI,BAL
First Downs,13,18
Rush-Yds-TDs,30-122-0,31-124-0
Cmp-Att-Yd-TD-INT,12-32-102-0-4,23-33-244-4-1
Sacked-Yards,2-4,2-22
Net Pass Yards,98,222
Total Yards,220,346
Fumbles-Lost,3-2,1-0
Turnovers,6,1
Penalties-Yards,1-9,4-26
Third Down Conv.,5-15,5-15
Fourth Down Conv.,1-3,1-1
Time of Possession,27:42,32:18
