Quarter,Time,Tm,Detail,CHI,BAL
1.0,11:59,Ravens,Todd Heap 14 yard pass from Joe Flacco (Billy Cundiff kick),0,7
,2:20,Ravens,Todd Heap 7 yard pass from Joe Flacco (Billy Cundiff kick),0,14
2.0,5:45,Bears,Earl Bennett 49 yard punt return (Robbie Gould kick),7,14
3.0,12:24,Ravens,Demetrius Williams 32 yard pass from Joe Flacco (Billy Cundiff kick),7,21
,10:20,Ravens,Derrick Mason 18 yard pass from Joe Flacco (Billy Cundiff kick),7,28
,7:55,Ravens,Billy Cundiff 40 yard field goal,7,31
