Unnamed: 0,WAS,DAL
First Downs,23,25
Rush-Yds-TDs,15-55-0,31-134-1
Cmp-Att-Yd-TD-INT,25-43-322-4-2,25-37-305-2-0
Sacked-Yards,5-36,2-5
Net Pass Yards,286,300
Total Yards,341,434
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,3-25,9-70
Third Down Conv.,4-11,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,24:39,35:21
