Quarter,Time,Tm,Detail,WAS,DAL
1.0,10:46,Cowboys,David Buehler 42 yard field goal,0,3
,4:09,Cowboys,Miles Austin 3 yard pass from Jon Kitna (David Buehler kick),0,10
2.0,12:50,Cowboys,David Buehler 20 yard field goal,0,13
,9:35,Redskins,Ryan Torain 19 yard pass from Rex Grossman (Graham Gano kick),7,13
,3:44,Cowboys,Jason Witten 14 yard pass from Jon Kitna (David Buehler kick),7,20
3.0,12:06,Cowboys,Tashard Choice 3 yard rush (David Buehler kick),7,27
,9:49,Redskins,Santana Moss 10 yard pass from Rex Grossman (Graham Gano kick),14,27
,4:26,Cowboys,David Buehler 20 yard field goal,14,30
4.0,13:44,Redskins,Santana Moss 5 yard pass from Rex Grossman (Chris Cooley pass from Rex Grossman),22,30
,7:37,Redskins,Chris Cooley 5 yard pass from Rex Grossman (Mike Sellers pass from Rex Grossman),30,30
,0:50,Cowboys,David Buehler 39 yard field goal,30,33
