Quarter,Time,Tm,Detail,GNB,CAR
1.0,5:57,Panthers,Christian McCaffrey 7 yard pass from Cam Newton (Graham Gano kick),0,7
,0:00,Packers,Davante Adams 13 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2.0,9:02,Panthers,Graham Gano 33 yard field goal,7,10
,0:26,Packers,Randall Cobb 33 yard pass from Aaron Rodgers (Mason Crosby kick),14,10
3.0,11:34,Panthers,Greg Olsen 30 yard pass from Cam Newton (Graham Gano kick),14,17
,7:20,Panthers,Damiere Byrd 9 yard pass from Cam Newton (Graham Gano kick),14,24
,1:23,Packers,Mason Crosby 28 yard field goal,17,24
4.0,12:24,Panthers,Damiere Byrd 13 yard pass from Cam Newton (Graham Gano kick),17,31
,2:43,Packers,Richard Rodgers 24 yard pass from Aaron Rodgers (Mason Crosby kick),24,31
