Unnamed: 0,GNB,CAR
First Downs,24,29
Rush-Yds-TDs,19-120-0,38-151-0
Cmp-Att-Yd-TD-INT,26-45-290-3-3,20-31-242-4-0
Sacked-Yards,3-26,1-6
Net Pass Yards,264,236
Total Yards,384,387
Fumbles-Lost,1-1,0-0
Turnovers,4,0
Penalties-Yards,6-28,5-40
Third Down Conv.,4-11,6-12
Fourth Down Conv.,2-3,0-0
Time of Possession,26:03,33:57
