Quarter,Time,Tm,Detail,KAN,WAS
2.0,5:34,Chiefs,Ryan Succop 39 yard field goal,3,0
3.0,11:17,Redskins,Shaun Suisham 40 yard field goal,3,3
,6:01,Redskins,Shaun Suisham 28 yard field goal,3,6
,1:07,Chiefs,Ryan Succop 46 yard field goal,6,6
4.0,3:36,Chiefs,Ryan Succop 46 yard field goal,9,6
,0:37,Chiefs,Ryan Succop 24 yard field goal,12,6
,0:26,Chiefs,"Safety, Tamba Hali sacked Todd Collins in the endzone.",14,6
