Unnamed: 0,KAN,WAS
First Downs,16,7
Rush-Yds-TDs,36-110-0,20-118-0
Cmp-Att-Yd-TD-INT,16-31-186-0-0,15-30-164-0-1
Sacked-Yards,5-28,3-17
Net Pass Yards,158,147
Total Yards,268,265
Fumbles-Lost,2-0,4-1
Turnovers,0,2
Penalties-Yards,4-30,7-63
Third Down Conv.,4-17,2-14
Fourth Down Conv.,1-2,0-1
Time of Possession,37:10,22:50
