Quarter,Time,Down,ToGo,Location,KAN,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Shaun Suisham kicks off 71 yards, returned by Jamaal Charles for 37 yards (tackle by Kareem Moore). Penalty on Leonard Pope: Offensive Holding, 10 yards",0.000,0.280
1,14:52,1,10,KAN 20,0,0,Bobby Wade right end for no gain (tackle by Cornelius Griffin),0.280,-0.270
1,14:18,2,10,KAN 20,0,0,Matt Cassel pass incomplete short left intended for Dwayne Bowe (defended by Andre Carter),-0.270,-0.960
1,14:14,3,10,KAN 20,0,0,Matt Cassel pass incomplete short middle intended for Bobby Wade,-0.960,-2.030
1,14:10,4,10,KAN 20,0,0,"Dustin Colquitt punts 39 yards, returned by Antwaan Randle El for no gain",-2.030,-1.660
1,13:59,1,10,WAS 41,0,0,Clinton Portis right guard for 5 yards (tackle by Mike Brown),1.660,1.800
1,13:25,2,5,WAS 46,0,0,Jason Campbell pass complete short left to Mike Sellers for 4 yards (tackle by Brandon Flowers),1.800,1.620
1,12:59,3,1,,0,0,"Clinton Portis right tackle for 1 yard. Clinton Portis fumbles, recovered by Mike Vrabel at KAN-47",1.620,-2.060
1,12:53,1,10,KAN 47,0,0,Larry Johnson right end for 1 yard (tackle by Brian Orakpo),2.060,1.650
1,12:16,2,9,KAN 48,0,0,Matt Cassel middle for 6 yards (tackle by Phillip Daniels),1.650,1.750
1,11:35,3,3,WAS 46,0,0,Matt Cassel pass complete short right to Jamaal Charles for 2 yards (tackle by Kedric Golston and London Fletcher),1.750,0.330
1,10:49,4,1,WAS 44,0,0,Mike Cox middle for 2 yards (tackle by London Fletcher and Cornelius Griffin),0.330,2.790
1,10:11,1,10,WAS 42,0,0,Matt Cassel pass incomplete deep right intended for Mark Bradley (defended by DeAngelo Hall),2.790,2.240
1,10:05,2,10,WAS 42,0,0,Larry Johnson middle for 1 yard (tackle by Kedric Golston),2.240,1.680
1,9:21,3,9,WAS 41,0,0,Jamaal Charles right tackle for 5 yards (tackle by Andre Carter and Albert Haynesworth),1.680,0.890
1,8:46,4,4,WAS 36,0,0,"Dustin Colquitt punts 36 yards, touchback",0.890,-0.280
1,8:37,1,10,WAS 20,0,0,Clinton Portis right tackle for 2 yards (tackle by Tyson Jackson and Corey Mays),0.280,0.000
1,8:06,2,8,WAS 22,0,0,Jason Campbell pass incomplete short left intended for Santana Moss (defended by Brandon Carr),0.000,-0.690
1,8:02,3,8,WAS 22,0,0,Jason Campbell pass complete short right to Chris Cooley for 5 yards (tackle by Mike Vrabel),-0.690,-1.570
1,7:40,4,3,WAS 27,0,0,"Glenn Pakulak punts 43 yards, returned by Bobby Wade for no gain",-1.570,-0.940
1,7:34,1,10,KAN 30,0,0,Matt Cassel sacked by Brian Orakpo for -5 yards,0.940,-0.280
1,6:59,2,15,KAN 25,0,0,Matt Cassel pass complete short left to Mark Bradley for 14 yards (tackle by Justin Tryon),-0.280,0.890
1,6:32,3,1,KAN 39,0,0,Larry Johnson right end for 11 yards (tackle by Reed Doughty),0.890,2.260
1,5:53,1,10,,0,0,Larry Johnson middle for 1 yard (tackle by Chris Wilson),2.260,1.850
1,5:15,2,9,WAS 49,0,0,Matt Cassel pass complete short right to Larry Johnson for -1 yards (tackle by Carlos Rogers),1.850,1.030
1,4:33,3,10,,0,0,Matt Cassel pass complete short left to Dwayne Bowe for 18 yards (tackle by Justin Tryon and DeAngelo Hall),1.030,3.450
1,4:00,1,10,WAS 32,0,0,Matt Cassel sacked by Chris Wilson for -6 yards,3.450,2.090
1,3:25,2,16,WAS 38,0,0,Matt Cassel pass complete short middle to Leonard Pope for 5 yards (tackle by London Fletcher),2.090,2.080
1,2:44,3,11,WAS 33,0,0,Matt Cassel pass complete short middle to Larry Johnson for 9 yards (tackle by Reed Doughty),2.080,1.990
1,1:59,4,2,WAS 24,0,0,"Matt Cassel sacked by Andre Carter and Cornelius Griffin for 0 yards. Matt Cassel fumbles (forced by Andre Carter), recovered by Mike Goff at WAS-29",1.990,-0.870
1,1:52,1,10,WAS 29,0,0,Jason Campbell pass incomplete deep right intended for Devin Thomas,0.870,0.330
1,1:43,2,10,WAS 29,0,0,Clinton Portis right end for -1 yards (tackle by Ron Edwards and Glenn Dorsey),0.330,-0.490
1,1:05,3,11,WAS 28,0,0,Jason Campbell pass complete short left to Chris Cooley for 25 yards (tackle by Jovan Belcher),-0.490,2.460
1,0:30,1,10,KAN 47,0,0,Clinton Portis right guard for 4 yards (tackle by Derrick Johnson and Mike Vrabel),2.460,2.450
Quarter,Time,Down,ToGo,Location,KAN,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,KAN 43,0,0,Clinton Portis middle for 3 yards (tackle by Mike Brown and Glenn Dorsey),2.450,2.150
2,14:22,3,3,KAN 40,0,0,Jason Campbell pass incomplete short middle intended for Antwaan Randle El,2.150,0.590
2,14:16,4,3,KAN 40,0,0,Glenn Pakulak punts 36 yards,0.590,0.380
2,14:08,1,10,KAN 5,0,0,Matt Cassel pass complete short middle to Bobby Wade for 16 yards (tackle by LaRon Landry and DeAngelo Hall),-0.380,0.340
2,13:33,1,10,KAN 21,0,0,Larry Johnson left guard for 6 yards (tackle by Reed Doughty),0.340,0.610
2,12:55,2,4,KAN 27,0,0,Bobby Wade left end for 3 yards (tackle by Fred Smoot),0.610,0.300
2,12:13,3,1,KAN 30,0,0,"Larry Johnson right end for 1 yard (tackle by London Fletcher). Penalty on Brian Waters: Offensive Holding, 10 yards (no play)",0.300,-1.020
2,11:43,3,11,KAN 20,0,0,Matt Cassel pass incomplete deep left intended for Dwayne Bowe,-1.020,-2.030
2,11:37,4,11,KAN 20,0,0,"Dustin Colquitt punts 50 yards, returned by Santana Moss for 11 yards (tackle by David Herron)",-2.030,-1.660
2,11:24,1,10,WAS 41,0,0,Jason Campbell pass incomplete deep middle intended for Santana Moss,1.660,1.120
2,11:17,2,10,WAS 41,0,0,Jason Campbell pass complete short middle to Antwaan Randle El for 6 yards (tackle by Jovan Belcher and Glenn Dorsey),1.120,1.220
