Quarter,Time,Down,ToGo,Location,STL,OAK,Detail,EPB,EPA
1,7:55,1,10,STL 19,0,0,Steven Jackson right tackle for 6 yards (tackle by Kamerion Wimbley),0.150,0.480
1,7:22,2,4,STL 25,0,0,Sam Bradford pass complete short left to Steven Jackson for 17 yards (tackle by Tyvon Branch),0.480,1.730
1,6:42,1,10,STL 42,0,0,Steven Jackson middle for 8 yards (tackle by Michael Huff),1.730,2.270
1,5:58,2,2,,0,0,Kenneth Darby middle for 3 yards,2.270,2.460
1,5:20,1,10,OAK 47,0,0,"Sam Bradford pass incomplete deep right intended for Mark Clayton. Penalty on Stanford Routt: Illegal Contact, 5 yards (no play)",2.460,2.790
1,5:12,1,10,OAK 42,0,0,Sam Bradford pass complete short left to Daniel Fells for 36 yards (tackle by Tyvon Branch),2.790,5.830
1,4:55,1,6,OAK 6,0,0,Steven Jackson right end for no gain (tackle by Rolando McClain),5.830,4.950
1,4:12,2,6,OAK 6,0,0,Steven Jackson middle for 1 yard (tackle by Tommy Kelly),4.950,4.260
1,3:31,3,5,OAK 5,0,0,Sam Bradford sacked by Lamarr Houston for -13 yards,4.260,2.250
1,2:55,4,18,OAK 18,0,0,Josh Brown 36 yard field goal no good,2.250,-0.670
1,2:50,1,10,OAK 26,0,0,Darren McFadden right end for 13 yards (tackle by O.J. Atogwe),0.670,1.530
1,2:23,1,10,OAK 39,0,0,Jason Campbell pass incomplete deep left intended for Darrius Heyward-Bey (defended by Bradley Fletcher),1.530,0.990
1,2:16,2,10,OAK 39,0,0,Jason Campbell pass complete deep right to Louis Murphy for 27 yards (tackle by Craig Dahl),0.990,3.310
1,1:49,1,10,STL 34,0,0,Darren McFadden right guard for 9 yards (tackle by George Selvie),3.310,3.990
1,1:03,2,1,STL 25,0,0,Jason Campbell pass incomplete deep middle intended for Darrius Heyward-Bey (defended by Bradley Fletcher),3.990,3.270
1,0:59,3,1,STL 25,0,0,Darren McFadden right end for -3 yards (tackle by Fred Robbins),3.270,1.650
1,0:25,4,4,STL 28,0,0,Sebastian Janikowski 46 yard field goal no good,1.650,-1.330
1,0:20,1,10,STL 36,0,0,"Penalty on Jay Alford: Encroachment, 5 yards (no play)",1.330,2.060
1,0:20,1,5,STL 41,0,0,Steven Jackson right tackle for 23 yards (tackle by Michael Huff and Stanford Routt),2.060,3.180
Quarter,Time,Down,ToGo,Location,STL,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 36,0,0,Steven Jackson middle for 3 yards,3.180,3.040
2,14:17,2,7,OAK 33,0,0,Sam Bradford pass complete short right to Mike Karney for 1 yard (tackle by Rolando McClain),3.040,2.480
2,13:37,3,6,OAK 32,0,0,Sam Bradford pass complete short right to Steven Jackson for 24 yards (tackle by Stanford Routt),2.480,5.370
2,12:50,1,8,OAK 8,0,0,Steven Jackson middle for 1 yard (tackle by Lamarr Houston),5.370,4.760
2,12:08,2,7,OAK 7,6,0,"Sam Bradford pass complete short middle to Mark Clayton for 7 yards, touchdown",4.760,7.000
2,,,,OAK 2,7,0,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 30,7,0,"Josh Brown kicks off 68 yards, returned by Jacoby Ford for 20 yards (tackle by Craig Dahl)",0.000,0.410
2,11:58,1,10,OAK 22,7,0,"Jason Campbell pass incomplete deep right intended for Louis Murphy. Penalty on Jared Veldheer: Offensive Holding, 10 yards (no play)",0.410,-0.660
2,11:51,1,20,OAK 12,7,0,Darren McFadden left tackle for no gain (tackle by Chris Long),-0.660,-1.510
2,11:15,2,20,OAK 12,7,0,Jason Campbell pass complete short right to Marcel Reece for 19 yards (tackle by Ronald Bartell),-1.510,0.370
2,10:42,3,1,OAK 31,7,0,Jason Campbell pass complete short middle to Zach Miller for 15 yards (tackle by Craig Dahl),0.370,1.990
2,10:13,1,10,OAK 46,7,0,Jason Campbell pass incomplete deep left intended for Darrius Heyward-Bey,1.990,1.450
2,10:08,2,10,OAK 46,7,0,Marcel Reece middle for 4 yards,1.450,1.290
2,9:40,3,6,,7,0,Jason Campbell for 9 yards,1.290,2.850
2,9:24,1,10,STL 41,7,0,Jason Campbell pass complete short middle to Darren McFadden for 3 yards (tackle by Na'il Diggs and Darell Scott),2.850,2.710
2,8:49,2,7,STL 38,7,0,Jason Campbell pass complete short middle to Marcel Reece for 2 yards (tackle by Bradley Fletcher),2.710,2.280
2,8:08,3,5,STL 36,7,0,"Penalty on Cooper Carlisle: False Start, 5 yards (no play)",2.280,1.620
2,7:38,,,,7,0,Timeout #1 by Oakland Raiders,0.000,1.620
2,7:38,3,10,STL 41,7,0,Jason Campbell sacked by James Laurinaitis for -9 yards,1.620,-0.060
2,7:15,4,19,,7,0,"Shane Lechler punts 43 yards, fair catch by Danny Amendola",-0.060,0.380
2,7:08,1,10,STL 7,7,0,Steven Jackson middle for 3 yards (tackle by Tommy Kelly),-0.380,-0.560
2,6:34,2,7,STL 10,7,0,Steven Jackson left guard for no gain (tackle by John Henderson),-0.560,-1.070
2,5:52,3,7,STL 10,7,0,Sam Bradford pass incomplete short right intended for Daniel Fells,-1.070,-2.490
2,5:45,4,7,STL 10,7,0,"Donnie Jones punts 34 yards. Penalty on STL: Chop Block, 15 yards",-2.490,-3.640
2,5:34,1,10,STL 29,7,0,Darren McFadden middle for 6 yards (tackle by Chris Long),3.640,3.910
2,4:55,2,4,STL 23,7,0,"Jason Campbell pass incomplete deep middle intended for Louis Murphy. Penalty on Craig Dahl: Unnecessary Roughness, 12 yards",3.910,4.840
2,4:48,1,10,STL 11,7,0,Darren McFadden middle for no gain (tackle by Eugene Sims),4.840,4.140
2,4:12,2,10,STL 11,7,0,Jason Campbell pass incomplete short right intended for Marcel Reece,4.140,3.130
2,4:07,3,10,STL 11,7,0,"Jason Campbell sacked by James Hall for -9 yards. Jason Campbell fumbles (forced by James Hall), recovered by Jared Veldheer at STL-20",3.130,2.120
2,3:23,4,19,STL 20,7,3,Sebastian Janikowski 38 yard field goal good,2.120,3.000
2,,,,OAK 30,7,3,"Sebastian Janikowski kicks off 69 yards, returned by Mardy Gilyard for 25 yards (tackle by Michael Bennett)",0.000,0.670
2,3:16,1,10,STL 26,7,3,Steven Jackson middle for 3 yards (tackle by Kamerion Wimbley and Rolando McClain),0.670,0.540
2,2:40,2,7,STL 29,7,3,Sam Bradford pass complete short right to Danny Amendola for 3 yards (tackle by Tyvon Branch),0.540,0.230
2,2:00,3,4,STL 32,7,3,Sam Bradford pass complete short left to Danny Amendola for 14 yards (tackle by Stanford Routt),0.230,1.990
2,1:54,1,10,STL 46,7,3,"Sam Bradford pass complete short middle to Laurent Robinson for 9 yards (tackle by Nnamdi Asomugha). Penalty on Danny Amendola: Offensive Pass Interfere, 10 yards (no play)",1.990,1.330
2,1:48,1,20,STL 36,7,3,Sam Bradford pass incomplete short middle intended for Danny Amendola,1.330,0.100
2,1:44,2,20,STL 36,7,3,Sam Bradford pass complete short left to Steven Jackson for 4 yards (tackle by Nnamdi Asomugha),0.100,-0.030
2,1:38,3,16,STL 40,7,3,"Penalty on Jason Smith: False Start, 5 yards (no play)",-0.030,-0.690
2,1:38,3,21,STL 35,7,3,Kenneth Darby middle for -3 yards (tackle by Kamerion Wimbley),-0.690,-1.240
2,1:33,,,,7,3,Timeout #2 by Oakland Raiders,0.000,-1.240
2,1:33,4,24,STL 32,7,3,"Donnie Jones punts 51 yards, returned by Johnnie Lee Higgins for 1 yard (tackle by Craig Dahl)",-1.240,-0.040
2,1:22,1,10,OAK 18,7,3,Jason Campbell pass incomplete short middle intended for Darren McFadden,0.040,-0.490
2,1:18,2,10,OAK 18,7,3,"Jason Campbell for 2 yards (tackle by James Hall). Jason Campbell fumbles (forced by James Hall), recovered by Jason Campbell at OAK-14",-0.490,-0.910
2,1:04,3,8,OAK 20,7,3,Jason Campbell pass complete short left to Zach Miller for 10 yards (tackle by Bradley Fletcher),-0.910,0.940
2,0:48,1,10,OAK 30,7,3,Jason Campbell for 8 yards,0.940,1.470
2,0:35,2,2,OAK 38,7,3,Jason Campbell pass complete short right to Darren McFadden for 5 yards,1.470,1.800
2,0:29,1,10,OAK 43,7,3,Jason Campbell pass incomplete deep middle intended for Louis Murphy is intercepted by James Butler at STL-25 and returned for -3 yards,1.800,-0.410
2,0:22,1,10,STL 22,7,3,Steven Jackson right tackle for 1 yard (tackle by Kamerion Wimbley),0.410,0.000
Quarter,Time,Down,ToGo,Location,STL,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,7,3,"Josh Brown kicks off 72 yards, returned by Jacoby Ford for 20 yards (tackle by Dominique Curry)",0.000,0.000
3,,,,,7,3,--,0.000,0.040
3,14:56,1,10,OAK 18,7,3,Bruce Gradkowski pass complete short left to Darrius Heyward-Bey for 6 yards (tackle by Ronald Bartell),0.040,0.410
3,14:26,2,4,OAK 24,7,3,Darren McFadden right tackle for 1 yard (tackle by James Laurinaitis),0.410,-0.270
3,13:46,3,3,OAK 25,7,3,Bruce Gradkowski pass complete short left to Darrius Heyward-Bey for 6 yards (tackle by Bradley Fletcher),-0.270,1.000
3,13:05,1,10,OAK 31,7,3,"Darren McFadden left tackle for 4 yards (tackle by James Laurinaitis). Penalty on Ronald Bartell: Unnecessary Roughness, 15 yards",1.000,2.260
3,12:23,1,10,,7,3,Bruce Gradkowski pass complete deep middle to Louis Murphy for 26 yards (tackle by O.J. Atogwe),2.260,3.970
3,11:48,1,10,STL 24,7,3,Darren McFadden left guard for 1 yard (tackle by James Hall),3.970,3.570
3,11:14,2,9,STL 23,7,3,Bruce Gradkowski pass incomplete deep right intended for Johnnie Lee Higgins,3.570,2.870
3,11:03,3,9,STL 23,7,3,Bruce Gradkowski pass incomplete deep left intended for Darrius Heyward-Bey (defended by Bradley Fletcher),2.870,1.930
3,10:59,4,9,STL 23,7,6,Sebastian Janikowski 41 yard field goal good,1.930,3.000
3,,,,OAK 30,7,6,"Sebastian Janikowski kicks off 59 yards, returned by Mardy Gilyard for 25 yards (tackle by Rock Cartwright)",0.000,1.330
3,10:47,1,10,STL 36,7,6,"Sam Bradford pass incomplete short right intended for Laurent Robinson (defended by Quentin Groves). Penalty on Tommy Kelly: Defensive Offside, 5 yards (no play)",1.330,2.060
3,10:44,1,5,STL 41,7,6,Steven Jackson middle for 2 yards (tackle by Tommy Kelly),2.060,1.740
3,10:03,2,3,STL 43,7,6,Sam Bradford pass incomplete deep right intended for Mark Clayton,1.740,1.030
3,9:55,3,3,STL 43,7,6,Sam Bradford pass incomplete short right intended for Laurent Robinson (defended by Thomas Howard),1.030,-0.520
3,9:50,4,3,STL 43,7,6,Donnie Jones punts 40 yards,-0.520,0.060
3,9:40,1,10,OAK 17,7,6,Bruce Gradkowski pass complete short right to Darrius Heyward-Bey for 16 yards (tackle by Craig Dahl),-0.060,1.140
3,9:09,1,10,OAK 33,7,6,Bruce Gradkowski pass complete deep right to Zach Miller for 24 yards (tackle by Craig Dahl),1.140,2.720
3,8:46,1,10,STL 43,7,6,Darren McFadden left end for 9 yards (tackle by James Laurinaitis),2.720,3.390
3,8:14,2,1,STL 34,7,6,Darren McFadden middle for 30 yards (tackle by O.J. Atogwe),3.390,6.280
3,7:24,1,4,STL 4,7,6,"Penalty on Bruce Gradkowski: Delay of Game, 5 yards (no play)",6.280,5.140
3,7:24,1,9,STL 9,7,6,Bruce Gradkowski middle for 5 yards (tackle by Na'il Diggs),5.140,5.340
3,6:08,2,4,STL 4,7,6,Bruce Gradkowski pass incomplete short left intended for Darrius Heyward-Bey,5.340,4.490
3,6:07,3,4,STL 4,7,12,"Bruce Gradkowski pass complete short right to Louis Murphy for 4 yards, touchdown",4.490,7.000
3,,,,STL 2,7,13,Sebastian Janikowski kicks extra point good,0.000,0.000
3,,,,OAK 30,7,13,"Sebastian Janikowski kicks off 71 yards, returned by Mardy Gilyard for 18 yards (tackle by Quentin Groves)",0.000,-0.060
3,6:03,1,10,STL 17,7,13,Steven Jackson middle for -1 yards (tackle by Desmond Bryant and Tyvon Branch),-0.060,-0.730
3,5:29,2,11,STL 16,7,13,"Sam Bradford pass complete short middle to Laurent Robinson for 4 yards (tackle by Michael Huff). Penalty on Tommy Kelly: Personal Foul, 15 yards",-0.730,1.270
3,5:01,1,10,STL 35,7,13,Sam Bradford pass incomplete short right intended for Mark Clayton,1.270,0.720
3,4:53,2,10,STL 35,7,13,Steven Jackson right tackle for 2 yards (tackle by Trevor Scott),0.720,0.300
3,4:12,3,8,STL 37,7,13,Sam Bradford pass incomplete short left intended for Danny Amendola,0.300,-0.910
3,4:07,4,8,STL 37,7,13,"Donnie Jones punts 52 yards, fair catch by Johnnie Lee Higgins",-0.910,0.370
3,4:00,1,10,OAK 11,7,13,Bruce Gradkowski pass complete short right to Darrius Heyward-Bey for 33 yards,-0.370,1.860
3,3:17,1,10,OAK 44,7,13,Darren McFadden middle for 2 yards (tackle by James Laurinaitis),1.860,1.590
3,2:44,2,8,OAK 46,7,13,Bruce Gradkowski pass incomplete short right intended for Darren McFadden,1.590,0.890
3,2:40,3,8,OAK 46,7,13,Bruce Gradkowski pass complete short middle to Louis Murphy for 7 yards (tackle by Jerome Murphy),0.890,0.130
3,1:58,4,1,STL 47,7,13,"Shane Lechler punts 47 yards, touchback",0.130,-0.280
3,1:49,1,10,STL 20,7,13,Steven Jackson right guard for 1 yard (tackle by John Henderson),0.280,-0.130
3,1:14,2,9,STL 21,7,13,Steven Jackson middle for 4 yards (tackle by John Henderson),-0.130,-0.300
3,0:32,3,5,STL 25,7,13,Sam Bradford pass incomplete short middle intended for Mark Clayton,-0.300,-1.700
3,0:27,4,5,STL 25,7,13,Donnie Jones punts 46 yards,-1.700,-0.870
3,0:14,1,10,OAK 29,7,13,Darren McFadden right end for 5 yards (tackle by Larry Grant),0.870,1.000
Quarter,Time,Down,ToGo,Location,STL,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,OAK 34,7,13,Darren McFadden left end for 9 yards (tackle by Craig Dahl),1.000,1.800
4,14:16,1,10,OAK 43,7,13,Darren McFadden middle for 4 yards (tackle by O.J. Atogwe and Bradley Fletcher),1.800,1.790
4,13:30,2,6,OAK 47,7,13,"Bruce Gradkowski pass incomplete. Penalty on O.J. Atogwe: Roughing the Passer, 15 yards (no play)",1.790,3.050
4,13:24,1,10,STL 38,7,13,"Bruce Gradkowski pass incomplete short left intended for Johnnie Lee Higgins. Penalty on Bradley Fletcher: Illegal Contact, 5 yards (no play)",3.050,3.380
4,13:20,1,10,STL 33,7,13,Darren McFadden left guard for 8 yards (tackle by Larry Grant),3.380,3.920
4,12:38,,,,7,13,Timeout #1 by Oakland Raiders,0.000,3.920
4,12:38,2,2,STL 25,7,13,Darren McFadden right end for no gain (tackle by Fred Robbins),3.920,3.200
4,11:58,3,2,STL 25,7,13,Bruce Gradkowski pass complete short middle to Louis Murphy for 14 yards (tackle by James Laurinaitis),3.200,4.840
4,11:18,1,10,STL 11,7,13,Darren McFadden left guard for 1 yard (tackle by Na'il Diggs and Fred Robbins),4.840,4.320
4,10:41,2,9,STL 10,7,13,Darren McFadden left end for 6 yards (tackle by Bradley Fletcher and O.J. Atogwe),4.320,4.670
4,9:56,3,3,STL 4,7,13,Bruce Gradkowski pass incomplete short middle intended for Louis Murphy,4.670,3.030
4,9:53,4,3,STL 4,7,16,Sebastian Janikowski 22 yard field goal good,3.030,3.000
4,,,,OAK 30,7,16,"Sebastian Janikowski kicks off 67 yards, returned by Mardy Gilyard for 20 yards (tackle by Michael Huff)",0.000,0.480
4,9:44,1,10,STL 23,7,16,"Sam Bradford pass incomplete short left intended for Laurent Robinson (defended by Michael Huff). Penalty on Michael Huff: Defensive Pass Interfere, 5 yards (no play)",0.480,0.810
4,9:36,1,10,STL 28,7,16,Sam Bradford pass incomplete deep right intended for Laurent Robinson is intercepted by Stanford Routt at STL-46,0.810,-2.520
4,9:33,1,10,STL 46,7,16,Darren McFadden left tackle for 4 yards (tackle by Bradley Fletcher and George Selvie),2.520,2.520
4,8:51,2,6,STL 42,7,16,Bruce Gradkowski pass incomplete short right intended for Brandon Myers,2.520,1.820
4,8:51,3,6,STL 42,7,16,"Bruce Gradkowski pass complete short right to Zach Miller for 7 yards (tackle by Darian Stewart). Penalty on Samson Satele: Offensive Holding, 10 yards (no play)",1.820,0.500
4,8:20,3,16,OAK 48,7,16,Bruce Gradkowski pass incomplete short right intended for Darrius Heyward-Bey (defended by Ronald Bartell),0.500,-0.190
4,8:13,4,16,OAK 48,7,16,"Shane Lechler punts 39 yards, returned by Danny Amendola for no gain",-0.190,0.320
4,8:04,1,10,STL 13,7,16,Sam Bradford pass incomplete short right intended for Laurent Robinson (defended by Stanford Routt),-0.320,-0.770
4,8:01,2,10,STL 13,7,16,Sam Bradford pass complete short middle to Steven Jackson for 5 yards (tackle by Rolando McClain and Desmond Bryant),-0.770,-0.830
4,7:16,3,5,STL 18,7,16,Sam Bradford pass incomplete short right intended for Danny Amendola,-0.830,-2.240
4,7:11,4,5,STL 18,7,16,"Donnie Jones punts 34 yards, muffed catch by Brandon Myers, recovered by Johnnie Lee Higgins and returned for no gain",-2.240,-1.600
4,7:02,1,10,OAK 40,7,16,Darren McFadden right tackle for 1 yard (tackle by Na'il Diggs),1.600,1.190
4,6:25,2,9,OAK 41,7,16,Bruce Gradkowski pass complete short left to Darrius Heyward-Bey for 13 yards (tackle by O.J. Atogwe),1.190,2.520
4,5:45,1,10,STL 46,7,16,Marcel Reece middle for 5 yards (tackle by George Selvie),2.520,2.650
4,5:12,2,5,STL 41,7,16,Darren McFadden left end for 8 yards (tackle by Larry Grant),2.650,3.380
4,4:33,1,10,STL 33,7,16,Bruce Gradkowski pass incomplete deep right intended for Darrius Heyward-Bey,3.380,2.840
4,4:22,2,10,STL 33,7,16,Bruce Gradkowski pass incomplete deep left intended for Zach Miller,2.840,2.150
4,4:15,3,10,STL 33,7,16,"Penalty on Jared Veldheer: False Start, 5 yards (no play)",2.150,1.490
4,4:15,3,15,STL 38,7,16,Bruce Gradkowski pass incomplete deep middle intended for Louis Murphy is intercepted by Jerome Murphy at STL-22 and returned for 19 yards,1.490,-1.660
4,4:05,1,10,STL 41,7,16,"Sam Bradford pass complete short left to Danny Amendola for 5 yards. Penalty on Matt Shaughnessy: Defensive Offside, 5 yards (no play)",1.660,2.390
4,3:52,1,5,STL 46,7,16,"Sam Bradford pass complete short middle to Danny Amendola for 6 yards (tackle by Rolando McClain). Penalty on Rolando McClain: Unnecessary Roughness, 15 yards",2.390,3.380
4,3:47,1,10,OAK 33,7,16,Sam Bradford pass complete short middle to Danny Amendola for 16 yards (tackle by Thomas Howard),3.380,4.440
4,3:26,1,10,OAK 17,7,16,Sam Bradford pass incomplete short right intended for Steven Jackson,4.440,3.850
4,3:24,2,10,OAK 17,13,16,"Sam Bradford pass complete deep right to Mark Clayton for 17 yards, touchdown",3.850,7.000
,,,,,,,"STL challenged the incomplete pass ruling, and the original play was overturned.",,
4,,,,OAK 2,14,16,Josh Brown kicks extra point good,0.000,0.000
4,,,,STL 30,14,16,"Josh Brown kicks off 73 yards, returned by Jacoby Ford for 21 yards (tackle by David Vobora)",0.000,0.040
4,3:09,1,10,OAK 18,14,16,Darren McFadden middle for 1 yard (tackle by James Laurinaitis),0.040,-0.320
4,3:09,,,,14,16,Timeout #1 by Los Angeles Rams,0.000,-0.320
4,3:09,2,9,OAK 19,14,16,"Bruce Gradkowski pass incomplete. Penalty on Fred Robbins: Roughing the Passer, 15 yards (no play)",-0.320,1.200
4,3:03,1,10,OAK 34,14,16,Darren McFadden right end for 1 yard (tackle by Chris Long),1.200,0.790
4,2:57,,,,14,16,Timeout #2 by Los Angeles Rams,0.000,0.790
4,2:57,2,9,OAK 35,14,16,Darren McFadden left end for 2 yards (tackle by James Hall),0.790,0.370
4,2:50,,,,14,16,Timeout #3 by Los Angeles Rams,0.000,0.370
4,2:50,3,7,OAK 37,14,16,Bruce Gradkowski pass complete short left to Louis Murphy for 13 yards,0.370,2.260
4,2:46,1,10,,14,16,Darren McFadden right tackle for 10 yards (tackle by O.J. Atogwe and James Butler),2.260,2.920
4,2:00,1,10,STL 40,14,16,Bruce Gradkowski kneels for -1 yards,2.920,2.240
4,1:20,2,11,STL 41,14,16,Bruce Gradkowski kneels for -2 yards,2.240,1.290
4,0:39,3,13,STL 43,14,16,Bruce Gradkowski kneels for -2 yards,1.290,0.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
