Unnamed: 0,STL,OAK
First Downs,16,25
Rush-Yds-TDs,21-75-0,40-173-0
Cmp-Att-Yd-TD-INT,14-25-167-2-1,19-36-249-1-2
Sacked-Yards,3-32,2-18
Net Pass Yards,135,231
Total Yards,210,404
Fumbles-Lost,0-0,3-0
Turnovers,1,2
Penalties-Yards,8-92,12-90
Third Down Conv.,2-10,7-17
Fourth Down Conv.,0-0,0-1
Time of Possession,23:11,36:49
