Quarter,Time,Tm,Detail,TEN,MIA
1.0,6:49,Titans,Kendall Wright 9 yard pass from Jake Locker (Rob Bironas kick),7,0
,1:23,Titans,Chris Johnson 17 yard rush (Rob Bironas kick),14,0
2.0,14:05,Titans,Colin McCarthy 49 yard interception return (Rob Bironas kick),21,0
,9:03,Dolphins,Dan Carpenter 40 yard field goal,21,3
,0:27,Titans,Rob Bironas 37 yard field goal,24,3
3.0,6:54,Titans,Jared Cook 26 yard pass from Jake Locker (Rob Bironas kick),31,3
4.0,14:09,Titans,Rob Bironas 38 yard field goal,34,3
,9:45,Titans,Rob Bironas 53 yard field goal,37,3
