Unnamed: 0,NYG,WAS
First Downs,25,25
Rush-Yds-TDs,31-129-0,22-124-0
Cmp-Att-Yd-TD-INT,24-39-276-3-0,23-45-348-2-1
Sacked-Yards,1-6,3-16
Net Pass Yards,270,332
Total Yards,399,456
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,15-124,17-142
Third Down Conv.,1-10,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,34:32,29:43
