Quarter,Time,Tm,Detail,DAL,GNB
1.0,10:03,Cowboys,Cole Beasley 1 yard pass from Dak Prescott (Dan Bailey kick),7,0
,5:11,Packers,Mason Crosby 37 yard field goal,7,3
2.0,12:16,Packers,Mason Crosby 43 yard field goal,7,6
,6:01,Cowboys,Dan Bailey 44 yard field goal,10,6
,0:27,Cowboys,Brice Butler 20 yard pass from Dak Prescott (Dan Bailey kick),17,6
3.0,6:58,Cowboys,Dan Bailey 22 yard field goal,20,6
4.0,14:48,Packers,Mason Crosby 34 yard field goal,20,9
,10:26,Cowboys,Cole Beasley 4 yard pass from Dak Prescott (Dan Bailey kick),27,9
,6:53,Packers,Randall Cobb 6 yard pass from Aaron Rodgers (Mason Crosby kick),27,16
,3:41,Cowboys,Dan Bailey 32 yard field goal,30,16
