Unnamed: 0,DAL,GNB
First Downs,24,24
Rush-Yds-TDs,33-191-0,24-78-0
Cmp-Att-Yd-TD-INT,18-27-247-3-1,31-42-294-1-1
Sacked-Yards,2-14,1-0
Net Pass Yards,233,294
Total Yards,424,372
Fumbles-Lost,2-1,5-3
Turnovers,2,4
Penalties-Yards,7-60,5-23
Third Down Conv.,3-11,7-13
Fourth Down Conv.,1-1,0-1
Time of Possession,29:50,30:10
