Quarter,Time,Tm,Detail,WAS,PHI
1.0,12:08,Eagles,Ryan Mathews 1 yard rush (Caleb Sturgis kick),0,7
,5:50,Redskins,Jordan Reed 22 yard pass from Kirk Cousins (Dustin Hopkins kick failed),6,7
,1:00,Redskins,Jordan Reed 12 yard pass from Kirk Cousins (Dustin Hopkins kick),13,7
2.0,5:56,Eagles,Caleb Sturgis 34 yard field goal,13,10
,1:43,Redskins,Dustin Hopkins 28 yard field goal,16,10
3.0,6:58,Redskins,Chris Thompson 12 yard pass from Kirk Cousins (Dustin Hopkins kick),23,10
,4:47,Eagles,DeMarco Murray 4 yard rush (Caleb Sturgis kick),23,17
,3:15,Redskins,DeAngelo Hall 17 yard defensive fumble return (Dustin Hopkins kick),30,17
4.0,8:55,Redskins,Pierre Garcon 13 yard pass from Kirk Cousins (Jamison Crowder pass from Kirk Cousins),38,17
,4:34,Eagles,Jordan Matthews 8 yard pass from Sam Bradford (Caleb Sturgis kick),38,24
