Unnamed: 0,WAS,PHI
First Downs,25,23
Rush-Yds-TDs,26-67-0,16-45-2
Cmp-Att-Yd-TD-INT,31-46-365-4-0,37-56-380-1-0
Sacked-Yards,2-14,5-27
Net Pass Yards,351,353
Total Yards,418,398
Fumbles-Lost,1-0,7-2
Turnovers,0,2
Penalties-Yards,8-70,8-45
Third Down Conv.,5-14,7-19
Fourth Down Conv.,0-0,2-3
Time of Possession,34:04,25:56
