Unnamed: 0,NYJ,OAK
First Downs,22,21
Rush-Yds-TDs,21-74-0,25-118-0
Cmp-Att-Yd-TD-INT,31-47-311-2-1,23-36-333-4-0
Sacked-Yards,3-19,0-0
Net Pass Yards,292,333
Total Yards,366,451
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,6-40,6-61
Third Down Conv.,7-16,4-10
Fourth Down Conv.,1-3,0-0
Time of Possession,29:22,30:38
