Quarter,Time,Down,ToGo,Location,NYJ,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 71 yards, returned by Zac Stacy for 21 yards (tackle by Taiwan Jones)",0.000,0.220
1,14:54,1,10,NYJ 15,0,0,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 8 yards (tackle by D.J. Hayden),-0.220,0.480
1,14:20,2,2,NYJ 23,0,0,Chris Ivory middle for -3 yards (tackle by Khalil Mack),0.480,-0.760
1,13:37,3,5,NYJ 20,0,0,Ryan Fitzpatrick pass complete short right to Jeremy Kerley for 6 yards (tackle by David Amerson),-0.760,0.670
1,13:03,1,10,NYJ 26,0,0,Chris Ivory left tackle for -2 yards (tackle by Malcolm Smith),0.670,-0.140
1,12:21,2,12,NYJ 24,0,0,Ryan Fitzpatrick pass complete short middle to Jeff Cumberland for 7 yards (tackle by Charles Woodson),-0.140,0.100
1,11:41,3,5,NYJ 31,0,0,Ryan Fitzpatrick left end for 12 yards (tackle by Charles Woodson),0.100,1.800
1,10:57,1,10,NYJ 43,0,0,Chris Ivory left guard for 7 yards (tackle by Curtis Lofton),1.800,2.200
1,10:20,2,3,,0,0,Chris Ivory left end for -3 yards (tackle by Aldon Smith),2.200,1.090
1,9:40,3,6,NYJ 47,0,0,Geno Smith pass complete short middle to Jeremy Kerley for 23 yards (tackle by Charles Woodson),1.090,3.580
1,9:03,1,10,OAK 30,0,0,Chris Ivory left guard for 6 yards (tackle by Justin Ellis),3.580,3.840
1,8:25,2,4,OAK 24,0,0,Chris Ivory left guard for 3 yards (tackle by Larry Asante),3.840,3.530
1,8:02,3,1,OAK 21,0,0,Chris Ivory middle for -1 yards (tackle by Mario Edwards),3.530,2.120
1,7:21,4,2,OAK 22,3,0,Nick Folk 40 yard field goal good,2.120,3.000
1,7:21,,,NYJ 35,3,0,"Nick Folk kicks off 65 yards, returned by Taiwan Jones for 22 yards (tackle by Erin Henderson)",0.000,-0.410
1,7:09,1,10,OAK 22,3,0,Derek Carr pass incomplete deep left intended for Amari Cooper,0.410,-0.130
1,7:03,2,10,OAK 22,3,0,Derek Carr pass complete short right to Michael Crabtree for 6 yards (tackle by Muhammad Wilkerson),-0.130,-0.030
1,6:31,3,4,OAK 28,3,0,"Penalty on Leonard Williams: Neutral Zone Infraction, 5 yards (no play)",-0.030,1.140
1,6:12,1,10,OAK 33,3,0,Taiwan Jones right guard for 3 yards (tackle by Muhammad Wilkerson),1.140,1.000
1,5:33,2,7,OAK 36,3,0,Derek Carr pass complete short middle to Amari Cooper for 12 yards (tackle by Demario Davis),1.000,2.130
1,4:47,1,10,OAK 48,3,0,Derek Carr pass complete short left to Michael Crabtree for 9 yards (tackle by Antonio Cromartie),2.130,2.800
1,4:18,2,1,NYJ 43,3,0,Latavius Murray right end for 26 yards (tackle by Demario Davis),2.800,4.440
1,3:48,1,10,NYJ 17,3,0,"Penalty on Buster Skrine: Defensive 12 On-field, 5 yards (no play)",4.440,5.520
1,3:26,1,5,NYJ 12,3,0,Derek Carr pass incomplete short middle intended for Michael Crabtree (defended by Antonio Cromartie),5.520,4.690
1,3:21,2,5,NYJ 12,3,0,Latavius Murray middle for 6 yards (tackle by Calvin Pace),4.690,5.830
1,2:43,1,6,NYJ 6,3,0,Latavius Murray left guard for 1 yard (tackle by Leonard Williams),5.830,5.150
1,2:00,2,5,NYJ 5,3,6,"Derek Carr pass complete short right to Andre Holmes for 5 yards, touchdown",5.150,7.000
1,2:00,,,NYJ 5,3,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,2:00,,,OAK 35,3,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,1:56,1,10,NYJ 20,3,7,"Geno Smith pass incomplete short right intended for Brandon Marshall. Penalty on D.J. Hayden: Defensive Pass Interference, 15 yards (no play)",0.280,1.270
1,1:51,1,10,NYJ 35,3,7,Chris Ivory left guard for 1 yard (tackle by Khalil Mack and Malcolm Smith),1.270,0.860
1,1:13,2,9,NYJ 36,3,7,Geno Smith pass incomplete short left intended for Brandon Marshall,0.860,0.170
1,1:09,3,9,NYJ 36,3,7,Geno Smith pass complete short middle to Kenbrell Thompkins for 4 yards (tackle by Charles Woodson),0.170,-0.720
1,0:32,4,5,NYJ 40,3,7,"Ryan Quigley punts 38 yards, returned by T.J. Carrie for 2 yards (tackle by Darrin Walls)",-0.720,-0.540
1,0:23,1,10,OAK 24,3,7,Latavius Murray right end for 6 yards (tackle by Muhammad Wilkerson),0.540,0.810
Quarter,Time,Down,ToGo,Location,NYJ,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,OAK 30,3,7,Derek Carr pass complete short right to Marcel Reece for 2 yards (tackle by Antonio Cromartie),0.810,0.370
2,14:26,3,2,OAK 32,3,7,Derek Carr pass complete short right to Amari Cooper for 7 yards (tackle by Darrelle Revis),0.370,1.530
2,13:45,1,10,OAK 39,3,7,Taiwan Jones left end for 2 yards (tackle by Demario Davis),1.530,1.260
2,13:06,2,8,OAK 41,3,7,Derek Carr pass complete short right to Amari Cooper for 11 yards (tackle by Darrelle Revis),1.260,2.390
2,12:33,1,10,NYJ 48,3,7,Derek Carr pass complete short right to Latavius Murray for 6 yards (tackle by David Harris),2.390,2.660
2,11:48,2,4,NYJ 42,3,7,Latavius Murray right guard for 1 yard (tackle by Demario Davis),2.660,2.080
2,11:09,3,3,NYJ 41,3,7,Derek Carr pass complete short right to Michael Crabtree for 5 yards (tackle by Antonio Cromartie),2.080,3.180
2,10:26,1,10,NYJ 36,3,7,Latavius Murray left tackle for no gain (tackle by David Harris),3.180,2.640
2,9:46,2,10,NYJ 36,3,13,"Derek Carr pass complete deep middle to Michael Crabtree for 36 yards, touchdown",2.640,7.000
2,9:46,,,NYJ 36,3,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,9:46,,,OAK 35,3,14,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
2,9:37,1,10,NYJ 20,3,14,Chris Ivory right end for 6 yards (tackle by Denico Autry),0.280,0.540
2,8:58,2,4,NYJ 26,3,14,Chris Ivory middle for 1 yard (tackle by Aldon Smith and Larry Asante),0.540,-0.030
2,8:09,3,3,NYJ 27,3,14,Geno Smith pass incomplete deep right intended for Eric Decker,-0.030,-1.570
2,8:03,4,3,NYJ 27,3,14,"Ryan Quigley punts 41 yards, returned by T.J. Carrie for 13 yards (tackle by Trevor Reilly). Penalty on Taiwan Jones: Offensive Holding (Declined), Penalty on D.J. Hayden: Offensive Holding, 10 yards",-1.570,-0.410
2,7:52,1,10,OAK 22,3,14,Derek Carr pass complete short right to Marcel Reece for 9 yards (tackle by Marcus Gilchrist),0.410,1.080
2,7:12,2,1,OAK 31,3,14,Latavius Murray middle for 12 yards (tackle by David Harris),1.080,1.800
2,6:34,1,10,OAK 43,3,14,Derek Carr pass complete short left to Michael Crabtree for 6 yards (tackle by David Harris),1.800,1.800
2,6:02,1,10,OAK 43,3,14,Timeout #1 by Oakland Raiders,1.800,2.060
2,6:02,2,4,OAK 49,3,14,Latavius Murray middle for 2 yards (tackle by Damon Harrison),2.060,2.060
2,5:19,2,4,OAK 49,3,14,Timeout #1 by New York Jets,2.060,1.620
2,5:19,3,2,NYJ 49,3,20,"Derek Carr pass complete deep right to Andre Holmes for 49 yards, touchdown",1.620,7.000
2,5:19,,,NYJ 49,3,21,Sebastian Janikowski kicks extra point good,0.000,0.000
2,5:19,,,OAK 35,3,21,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
2,5:11,1,10,NYJ 20,3,21,Geno Smith pass incomplete deep left intended for Brandon Marshall is intercepted by Charles Woodson at OAK-35,0.280,-1.270
2,5:02,1,10,OAK 35,3,21,Derek Carr pass complete short left to Marcel Reece for 15 yards (tackle by Demario Davis),1.270,2.260
2,4:25,1,10,,3,21,Amari Cooper right end for 2 yards (tackle by Antonio Cromartie and David Harris),2.260,1.980
2,3:47,2,8,NYJ 48,3,21,Latavius Murray middle for 12 yards (tackle by Marcus Gilchrist and David Harris),1.980,3.180
2,3:05,1,10,NYJ 36,3,21,Latavius Murray left end for 2 yards (tackle by Leonard Williams and Dion Bailey),3.180,2.910
2,2:26,2,8,NYJ 34,3,21,Derek Carr pass incomplete short middle intended for Michael Crabtree,2.910,2.210
2,2:23,3,8,NYJ 34,3,21,Derek Carr pass incomplete short right intended for Michael Crabtree,2.210,1.060
2,2:18,4,8,NYJ 34,3,21,Sebastian Janikowski 52 yard field goal no good,1.060,-1.730
2,2:13,1,10,NYJ 42,3,21,"Penalty on D'Brickashaw Ferguson: False Start, 5 yards (no play)",1.730,1.400
2,2:13,1,15,NYJ 37,3,21,Geno Smith pass complete short middle to Brandon Marshall for 13 yards (tackle by Mario Edwards),1.400,2.270
2,2:00,2,2,,3,21,Zac Stacy left tackle for 6 yards (tackle by Mario Edwards),2.270,2.650
2,1:42,1,10,OAK 44,3,21,Geno Smith pass complete short left to Kenbrell Thompkins for 5 yards (tackle by Neiko Thorpe),2.650,2.780
2,1:36,2,5,OAK 39,3,21,Geno Smith pass complete short middle to Eric Decker for 14 yards (tackle by Malcolm Smith),2.780,3.910
2,1:14,1,10,OAK 25,3,21,Geno Smith pass complete short middle to Kenbrell Thompkins for 2 yards (tackle by David Amerson),3.910,3.630
2,0:54,2,8,OAK 23,3,21,Zac Stacy middle for 3 yards (tackle by Khalil Mack),3.630,3.630
2,0:49,2,8,OAK 23,3,21,Timeout #2 by New York Jets,3.630,3.340
2,0:49,3,5,OAK 20,3,21,Geno Smith pass incomplete deep middle intended for Brandon Marshall (defended by T.J. Carrie),3.340,3.340
2,0:49,3,5,OAK 20,3,21,Timeout #2 by Oakland Raiders,3.340,2.170
2,0:44,4,5,OAK 20,6,21,Nick Folk 38 yard field goal good,2.170,3.000
2,0:44,,,NYJ 35,6,21,"Nick Folk kicks off 72 yards, returned by Taiwan Jones for 20 yards (tackle by Erin Henderson)",0.000,0.320
2,0:35,1,10,OAK 13,6,21,Derek Carr kneels for -1 yards,-0.320,-0.850
Quarter,Time,Down,ToGo,Location,NYJ,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,6,21,"Nick Folk kicks off 70 yards, returned by Taiwan Jones for 18 yards (tackle by Darrin Walls). Penalty on Ray-Ray Armstrong: Offensive Holding, 6 yards",0.000,-0.380
3,14:55,1,10,OAK 7,6,21,Latavius Murray left guard for 8 yards (tackle by Sheldon Richardson),-0.380,-0.140
3,14:15,2,2,OAK 15,6,21,Latavius Murray middle for 2 yards (tackle by Muhammad Wilkerson),-0.140,-0.060
3,13:29,1,10,OAK 17,6,21,Latavius Murray left tackle for no gain (tackle by Damon Harrison),-0.060,-0.580
3,12:48,2,10,OAK 17,6,21,Derek Carr pass complete short left to Clive Walford for 11 yards (tackle by David Harris),-0.580,0.810
3,12:07,1,10,OAK 28,6,21,Derek Carr pass complete short right to Amari Cooper for 13 yards (tackle by Muhammad Wilkerson),0.810,1.660
3,11:20,1,10,OAK 41,6,27,"Derek Carr pass complete short right to Taiwan Jones for 59 yards, touchdown",1.660,7.000
3,11:20,,,NYJ 41,6,28,Sebastian Janikowski kicks extra point good,0.000,0.000
3,11:20,,,OAK 35,6,28,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
3,11:06,1,10,NYJ 20,6,28,Geno Smith pass complete short left to Brandon Marshall for 14 yards (tackle by Neiko Thorpe),0.280,1.200
3,10:36,1,10,NYJ 34,6,28,Geno Smith right end for 5 yards (tackle by Mario Edwards),1.200,1.330
3,10:08,2,5,NYJ 39,6,28,Geno Smith pass complete short middle to Eric Decker for 4 yards (tackle by D.J. Hayden),1.330,1.160
3,9:39,3,1,NYJ 43,6,28,Chris Ivory middle for 4 yards (tackle by Denico Autry),1.160,2.060
3,9:15,1,10,NYJ 47,6,28,Chris Ivory right guard for 3 yards (tackle by Malcolm Smith),2.060,1.920
3,8:42,2,7,,6,28,Geno Smith pass complete deep right to Brandon Marshall for 28 yards (tackle by David Amerson),1.920,4.110
3,8:26,1,10,OAK 22,6,28,Geno Smith pass complete short middle to Eric Decker for 9 yards (tackle by David Amerson),4.110,5.060
3,8:04,2,1,OAK 13,6,28,Geno Smith pass complete short right to Chris Ivory for 9 yards (tackle by Taylor Mays),5.060,6.280
3,7:23,1,4,OAK 4,12,28,"Geno Smith pass complete short middle to Eric Decker for 4 yards, touchdown",6.280,7.000
3,7:23,,,OAK 4,13,28,Nick Folk kicks extra point good,0.000,0.000
3,7:23,,,NYJ 35,13,28,"Nick Folk kicks off 70 yards, returned by Taiwan Jones for 41 yards (tackle by Lorenzo Mauldin)",0.000,-1.330
3,7:11,1,10,OAK 36,13,28,Latavius Murray for 25 yards (tackle by Marcus Gilchrist),1.330,2.980
3,6:34,1,10,NYJ 39,13,28,Derek Carr pass complete short left to Lee Smith for 6 yards (tackle by Marcus Williams and Demario Davis),2.980,3.250
3,5:56,2,4,NYJ 33,13,28,Derek Carr pass incomplete short middle intended for Amari Cooper,3.250,2.540
3,5:53,3,4,NYJ 33,13,28,Derek Carr pass incomplete short left intended for Michael Crabtree (defended by Sheldon Richardson),2.540,1.180
3,5:50,4,4,NYJ 33,13,31,Sebastian Janikowski 52 yard field goal good,1.180,3.000
3,5:50,,,OAK 35,13,31,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
3,5:45,1,10,NYJ 20,13,31,Geno Smith pass complete short middle to Chris Ivory for 7 yards (tackle by Denico Autry),0.280,0.680
3,5:19,2,3,NYJ 27,13,31,Geno Smith pass complete short left to Chris Ivory for 8 yards (tackle by Aldon Smith),0.680,1.270
3,4:47,1,10,NYJ 35,13,31,Geno Smith pass incomplete deep middle intended for Jeremy Kerley,1.270,0.720
3,4:42,2,10,NYJ 35,13,31,Geno Smith pass complete short right to Kenbrell Thompkins for 9 yards (tackle by David Amerson),0.720,1.220
3,4:10,3,1,NYJ 44,13,31,Geno Smith sacked by Denico Autry for -3 yards,1.220,-0.650
3,3:24,4,4,NYJ 41,13,31,"Penalty on Ryan Quigley: Delay of Game, 5 yards (no play)",-0.650,-0.980
3,3:13,4,9,NYJ 36,13,31,"Ryan Quigley punts 51 yards, returned by T.J. Carrie for 3 yards (tackle by Erin Henderson). Penalty on Taiwan Jones: Illegal Block Above the Waist, 6 yards",-0.980,0.380
3,3:01,1,10,OAK 7,13,31,Derek Carr pass complete short right to Michael Crabtree for 24 yards (tackle by Marcus Williams),-0.380,1.000
3,2:26,1,10,OAK 31,13,31,Derek Carr pass complete short left to Amari Cooper for 3 yards (tackle by Darrelle Revis),1.000,0.870
3,1:43,2,7,OAK 34,13,31,Latavius Murray left end for no gain (tackle by Sheldon Richardson),0.870,0.170
3,0:57,3,7,OAK 34,13,31,Derek Carr pass complete deep middle to Seth Roberts for 21 yards (tackle by Marcus Williams),0.170,2.590
3,0:12,1,10,NYJ 45,13,31,Latavius Murray middle for 9 yards (tackle by Marcus Williams and David Harris),2.590,3.260
Quarter,Time,Down,ToGo,Location,NYJ,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,1,NYJ 36,13,31,Latavius Murray left guard for 2 yards (tackle by Damon Harrison),3.260,3.310
4,14:14,1,10,NYJ 34,13,31,Derek Carr pass incomplete short right intended for Amari Cooper,3.310,2.770
4,14:11,2,10,NYJ 34,13,31,"Taiwan Jones right tackle for 10 yards (tackle by Sheldon Richardson and Marcus Williams). Penalty on Rodney Hudson: Illegal Use of Hands, 10 yards (no play)",2.770,1.420
4,13:43,2,20,NYJ 44,13,31,Derek Carr pass incomplete short middle intended for Roy Helu,1.420,0.760
4,13:39,3,20,NYJ 44,13,31,Derek Carr pass complete short right to Michael Crabtree for 16 yards (tackle by Dion Bailey),0.760,1.650
4,12:55,4,4,NYJ 28,13,34,Sebastian Janikowski 47 yard field goal good,1.650,3.000
4,12:55,,,OAK 35,13,34,"Sebastian Janikowski kicks off 53 yards, returned by Jeff Cumberland for 17 yards (tackle by Keith McGill)",0.000,-0.870
4,12:44,1,10,NYJ 29,13,34,Geno Smith pass complete short middle to Jeremy Kerley for 9 yards (tackle by Larry Asante),0.870,1.540
4,12:18,2,1,NYJ 38,13,34,Chris Ivory middle for -4 yards (tackle by Denico Autry),1.540,0.300
4,11:43,3,5,NYJ 34,13,34,Geno Smith pass complete short left to Kenbrell Thompkins for 9 yards (tackle by Neiko Thorpe),0.300,1.800
4,11:16,1,10,NYJ 43,13,34,Geno Smith pass complete short right to Brandon Marshall for 9 yards (tackle by David Amerson),1.800,2.470
4,10:45,2,1,OAK 48,13,34,Geno Smith pass complete short middle to Brandon Marshall for 4 yards (tackle by Larry Asante),2.470,2.650
4,10:18,1,10,OAK 44,13,34,Geno Smith pass incomplete short right intended for Brandon Marshall (defended by David Amerson),2.650,2.110
4,10:14,2,10,OAK 44,13,34,Geno Smith right end for 29 yards (tackle by David Amerson),2.110,4.580
4,9:34,1,10,OAK 15,13,34,"Geno Smith pass incomplete short middle intended for Kenbrell Thompkins. Penalty on Neiko Thorpe: Defensive Pass Interference, 14 yards (no play)",4.580,6.970
4,9:28,1,1,OAK 1,13,34,Geno Smith pass incomplete short left intended for Brandon Marshall (defended by David Amerson),6.970,5.910
4,9:24,2,1,OAK 1,13,34,Chris Ivory right guard for no gain (tackle by Khalil Mack),5.910,5.170
4,8:45,3,1,OAK 1,19,34,"Geno Smith pass complete short right to Kellen Davis for 1 yard, touchdown",5.170,7.000
4,8:45,,,OAK 1,20,34,Nick Folk kicks extra point good,0.000,0.000
4,8:45,,,NYJ 35,20,34,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
4,8:37,1,10,OAK 20,20,34,Latavius Murray left end for no gain (tackle by Quinton Coples),0.280,-0.270
4,7:57,2,10,OAK 20,20,34,Derek Carr pass incomplete short left intended for Latavius Murray,-0.270,-0.960
4,7:49,3,10,OAK 20,20,34,Derek Carr pass incomplete short right intended for Andre Holmes,-0.960,-2.030
4,7:44,4,10,OAK 20,20,34,"Marquette King punts 39 yards, returned by Jeremy Kerley for 4 yards (tackle by Ray-Ray Armstrong). Penalty on Lorenzo Mauldin: Illegal Block Above the Waist, 10 yards",-2.030,-1.270
4,7:34,1,10,NYJ 35,20,34,Chris Ivory right end for -1 yards (tackle by Khalil Mack),1.270,0.590
