Quarter,Time,Tm,Detail,SFO,ARI
1.0,12:23,Cardinals,Chandler Catanzaro 51 yard field goal,0,3
,6:45,49ers,Michael Crabtree 2 yard pass from Colin Kaepernick (Phil Dawson kick),7,3
2.0,13:42,Cardinals,Chandler Catanzaro 32 yard field goal,7,6
,5:07,49ers,Carlos Hyde 6 yard rush (Phil Dawson kick),14,6
3.0,9:20,Cardinals,John Brown 24 yard pass from Drew Stanton (Chandler Catanzaro kick),14,13
,4:39,Cardinals,John Brown 21 yard pass from Drew Stanton (Chandler Catanzaro kick),14,20
4.0,0:29,Cardinals,Chandler Catanzaro 35 yard field goal,14,23
