Quarter,Time,Tm,Detail,BUF,BAL
1.0,13:26,Ravens,J.K. Dobbins 1 yard pass from Lamar Jackson (Justin Tucker kick),0,7
,10:14,Bills,Tyler Bass 38 yard field goal,3,7
,1:06,Ravens,J.K. Dobbins 4 yard rush (Justin Tucker kick),3,14
2.0,12:54,Ravens,Justin Tucker 42 yard field goal,3,17
,3:39,Ravens,Justin Tucker 51 yard field goal,3,20
,0:09,Bills,Isaiah McKenzie 4 yard pass from Josh Allen (Tyler Bass kick),10,20
3.0,9:42,Bills,Tyler Bass 39 yard field goal,13,20
,3:26,Bills,Josh Allen 11 yard rush (Tyler Bass kick),20,20
4.0,0:00,Bills,Tyler Bass 21 yard field goal,23,20
