Unnamed: 0,BUF,BAL
First Downs,22,22
Rush-Yds-TDs,25-125-1,33-162-1
Cmp-Att-Yd-TD-INT,19-36-213-1-1,20-29-144-1-2
Sacked-Yards,1-12,2-10
Net Pass Yards,201,134
Total Yards,326,296
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,4-31,9-70
Third Down Conv.,4-11,6-13
Fourth Down Conv.,1-1,1-2
Time of Possession,21:50,38:10
