Unnamed: 0,DEN,OAK
First Downs,25,10
Rush-Yds-TDs,27-118-0,15-30-0
Cmp-Att-Yd-TD-INT,33-49-353-5-2,30-47-192-2-2
Sacked-Yards,0-0,0-0
Net Pass Yards,353,192
Total Yards,471,222
Fumbles-Lost,1-0,2-1
Turnovers,2,3
Penalties-Yards,12-95,4-37
Third Down Conv.,7-15,5-18
Fourth Down Conv.,1-1,0-0
Time of Possession,32:22,27:38
