Quarter,Time,Tm,Detail,DEN,OAK
1.0,9:35,Raiders,Sebastian Janikowski 41 yard field goal,0,3
,4:06,Broncos,Brandon McManus 20 yard field goal,3,3
2.0,14:22,Broncos,Brandon McManus 28 yard field goal,6,3
,11:19,Raiders,Brice Butler 5 yard pass from Derek Carr (Sebastian Janikowski kick),6,10
,2:44,Broncos,C.J. Anderson 51 yard pass from Peyton Manning (Brandon McManus kick),13,10
,0:28,Broncos,Emmanuel Sanders 32 yard pass from Peyton Manning (Brandon McManus kick),20,10
3.0,12:43,Broncos,Julius Thomas 10 yard pass from Peyton Manning (Brandon McManus kick),27,10
,6:52,Broncos,Julius Thomas 32 yard pass from Peyton Manning (Brandon McManus kick),34,10
,1:01,Broncos,Emmanuel Sanders 15 yard pass from Peyton Manning (Brandon McManus kick),41,10
4.0,0:48,Raiders,Mychal Rivera 18 yard pass from Derek Carr (Sebastian Janikowski kick),41,17
