Quarter,Time,Tm,Detail,OAK,ARI
1.0,12:36,Raiders,Jared Cook 23 yard pass from Derek Carr (Daniel Carlson kick),7,0
,6:14,Cardinals,Larry Fitzgerald 18 yard pass from Josh Rosen (Matthew McCrane kick),7,7
,0:16,Cardinals,Christian Kirk 59 yard pass from Josh Rosen (Matthew McCrane kick),7,14
2.0,8:20,Raiders,Brandon LaFell 5 yard pass from Derek Carr (Daniel Carlson kick),14,14
3.0,10:26,Raiders,Daniel Carlson 49 yard field goal,17,14
,0:22,Raiders,Daniel Carlson 21 yard field goal,20,14
4.0,5:02,Cardinals,Larry Fitzgerald 5 yard pass from Josh Rosen (Matthew McCrane kick),20,21
,0:00,Raiders,Daniel Carlson 35 yard field goal,23,21
