Unnamed: 0,OAK,ARI
First Downs,19,13
Rush-Yds-TDs,33-152-0,31-154-0
Cmp-Att-Yd-TD-INT,19-31-192-2-0,9-20-136-3-2
Sacked-Yards,4-19,1-8
Net Pass Yards,173,128
Total Yards,325,282
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,4-20,7-62
Third Down Conv.,5-15,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,36:01,23:59
