Quarter,Time,Down,ToGo,Location,OAK,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ARI 25,0,0,David Johnson right tackle for 9 yards (tackle by Karl Joseph and Marquel Lee),0.610,1.280
1,14:19,2,1,ARI 34,0,0,Josh Rosen pass deep left intended for Larry Fitzgerald is intercepted by Gareon Conley at OAK-39 and returned for 28 yards,1.280,-3.380
1,14:09,1,10,ARI 33,0,0,Doug Martin up the middle for 9 yards (tackle by Bene Benwikere),3.380,4.050
1,13:28,2,1,ARI 24,0,0,Doug Martin right tackle for 1 yard (tackle by Tre Boston),4.050,4.040
1,12:40,1,10,ARI 23,6,0,"Derek Carr pass complete deep right to Jared Cook for 23 yards, touchdown",4.040,7.000
1,12:36,,,ARI 15,7,0,Daniel Carlson kicks extra point good,0.000,0.000
1,12:36,,,OAK 35,7,0,"Daniel Carlson kicks off 61 yards, returned by T.J. Logan for no gain (tackle by Reggie Nelson)",0.000,1.330
1,12:28,1,10,ARI 36,7,0,David Johnson up the middle for 5 yards (tackle by Marquel Lee),1.330,1.470
1,11:49,2,5,ARI 41,7,0,David Johnson right tackle for 4 yards (tackle by Leon Hall),1.470,1.290
1,11:07,3,1,ARI 45,7,0,David Johnson up the middle for 4 yards (tackle by Gareon Conley),1.290,2.190
1,10:25,1,10,ARI 49,7,0,David Johnson up the middle for 3 yards (tackle by Tahir Whitehead),2.190,2.050
1,9:46,2,7,OAK 48,7,0,Josh Rosen pass complete short right to Jermaine Gresham for 8 yards (tackle by Leon Hall and Nicholas Morrow),2.050,2.920
1,8:59,1,10,OAK 40,7,0,Chase Edmonds left tackle for 8 yards (tackle by Tahir Whitehead and Clinton McDonald),2.920,3.450
1,8:19,2,2,OAK 32,7,0,Chase Edmonds up the middle for 6 yards (tackle by Daryl Worley),3.450,3.840
1,7:35,1,10,OAK 26,7,0,"Josh Rosen pass complete short right to David Johnson for 1 yard (tackle by Jason Cabinda). Penalty on Marquel Lee: Illegal Use of Hands, 5 yards (no play)",3.840,4.170
1,7:05,1,10,OAK 21,7,0,David Johnson right tackle for 3 yards (tackle by Marquel Lee and Frostee Rucker),4.170,4.040
1,6:19,2,7,OAK 18,7,6,"Josh Rosen pass complete deep left to Larry Fitzgerald for 18 yards, touchdown",4.040,7.000
1,6:14,,,OAK 15,7,7,Matthew McCrane kicks extra point good,0.000,0.000
1,6:14,,,ARI 35,7,7,"Matthew McCrane kicks off 63 yards, returned by Dwayne Harris for no gain (tackle by Derrick Coleman)",0.000,0.940
1,6:08,1,10,OAK 30,7,7,Derek Carr pass incomplete short right intended for Brandon LaFell (defended by Patrick Peterson),0.940,0.390
1,6:03,2,10,OAK 30,7,7,Doug Martin left end for 1 yard (tackle by Corey Peters),0.390,-0.160
1,5:21,3,9,OAK 31,7,7,Derek Carr sacked by Chandler Jones for -8 yards,-0.160,-1.830
1,4:43,4,17,OAK 23,7,7,"Johnny Townsend punts 48 yards, fair catch by Christian Kirk at ARI-29",-1.830,-0.870
1,4:35,1,10,ARI 29,7,7,David Johnson up the middle for 5 yards (tackle by Frostee Rucker),0.870,1.000
1,3:56,2,5,ARI 34,7,7,Josh Rosen pass incomplete short right,1.000,0.300
1,3:52,3,5,ARI 34,7,7,Josh Rosen pass incomplete short left intended for Christian Kirk,0.300,-1.110
1,3:47,4,5,ARI 34,7,7,"Andy Lee punts 57 yards, returned by Dwayne Harris for 12 yards (tackle by Derrick Coleman)",-1.110,-0.340
1,3:33,1,10,OAK 21,7,7,Doug Martin up the middle for 7 yards (tackle by Josh Bynes),0.340,0.750
1,2:54,2,3,OAK 28,7,7,Doug Martin left end for 1 yard (tackle by Rodney Gunter),0.750,0.170
1,2:12,3,2,OAK 29,7,7,Derek Carr pass incomplete deep left intended for Jared Cook,0.170,-1.440
1,2:07,4,2,OAK 29,7,7,"Johnny Townsend punts 38 yards, returned by Christian Kirk for 3 yards (tackle by Derek Carrier and Nick Nelson)",-1.440,-1.330
1,1:56,1,10,ARI 36,7,7,"Penalty on Mike Iupati: False Start, 5 yards (no play)",1.330,1.000
1,1:56,1,15,ARI 31,7,7,David Johnson up the middle for 7 yards (tackle by Maurice Hurst),1.000,1.060
1,1:13,2,8,ARI 38,7,7,David Johnson right tackle for 3 yards (tackle by Rashaan Melvin),1.060,0.760
1,0:27,3,5,ARI 41,7,13,"Josh Rosen pass complete short left to Christian Kirk for 59 yards, touchdown",0.760,7.000
1,0:16,,,OAK 15,7,14,Matthew McCrane kicks extra point good,0.000,0.000
1,0:16,,,ARI 35,7,14,"Matthew McCrane kicks off 65 yards, touchback.",0.000,0.610
1,0:16,1,10,OAK 25,7,14,Derek Carr pass complete short right to Seth Roberts for 8 yards (tackle by Corey Peters),0.610,1.140
Quarter,Time,Down,ToGo,Location,OAK,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,OAK 33,7,14,Jalen Richard up the middle for 4 yards (tackle by Markus Golden),1.140,1.400
2,14:27,1,10,OAK 37,7,14,Derek Carr pass incomplete short middle,1.400,0.860
2,14:23,2,10,OAK 37,7,14,Derek Carr sacked by Zach Moore for -7 yards,0.860,-0.760
2,13:37,3,17,OAK 30,7,14,Jalen Richard right end for 6 yards (tackle by Antoine Bethea and Corey Peters),-0.760,-0.980
2,12:59,4,11,OAK 36,7,14,"Johnny Townsend punts 39 yards, returned by Christian Kirk for 12 yards (tackle by Nicholas Morrow and Kyle Wilber)",-0.980,-1.400
2,12:49,1,10,ARI 37,7,14,Chase Edmonds up the middle for 2 yards (tackle by Johnathan Hankins and Tahir Whitehead),1.400,1.130
2,12:08,2,8,ARI 39,7,14,Josh Rosen pass deep right (defended by Rashaan Melvin) intended for Trent Sherfield is intercepted by Karl Joseph at OAK-45 and returned for 5 yards,1.130,-2.260
