Quarter,Time,Down,ToGo,Location,LAR,CAR,Detail,EPB,EPA
1,9:35,2,10,CAR 44,0,0,Jared Goff pass complete short middle to Cooper Kupp for 5 yards (tackle by Luke Kuechly),2.110,2.080
1,8:55,3,5,CAR 39,0,0,Jared Goff sacked by James Bradberry for -3 yards,2.080,0.460
1,8:06,4,8,CAR 42,0,0,Penalty on LAR: Delay of Game (Declined),0.460,0.460
1,7:49,4,8,CAR 42,0,0,Johnny Hekker punts 7 yards out of bounds,0.460,-1.270
1,7:42,1,10,CAR 35,0,0,Cam Newton pass complete short left to Greg Olsen for 3 yards (tackle by Bryce Hager and Cory Littleton),1.270,1.130
1,6:56,2,7,CAR 38,0,0,Christian McCaffrey right tackle for 3 yards (tackle by Cory Littleton),1.130,0.830
1,6:18,3,4,CAR 41,0,0,Cam Newton pass complete short left to Curtis Samuel for 2 yards (tackle by Eric Weddle and Taylor Rapp),0.830,-0.520
1,5:39,4,2,CAR 43,0,0,"Michael Palardy punts 57 yards, touchback.",-0.520,-0.280
1,5:31,1,10,LAR 20,0,0,Todd Gurley left tackle for no gain (tackle by Shaq Thompson),0.280,-0.270
1,5:03,2,10,LAR 20,0,0,Jared Goff pass incomplete short left intended for Robert Woods (defended by Donte Jackson),-0.270,-0.960
1,4:59,3,10,LAR 20,0,0,Jared Goff pass incomplete short right intended for Cooper Kupp,-0.960,-2.030
1,4:54,4,10,LAR 20,0,0,"Johnny Hekker punts 71 yards, returned by Ray-Ray McCloud for 16 yards (tackle by Malcolm Brown and Troy Hill)",-2.030,-0.610
1,4:37,1,10,CAR 25,0,0,Cam Newton pass incomplete deep right intended for D.J. Moore,0.610,0.060
1,4:32,2,10,CAR 25,0,0,Cam Newton pass complete short left to Christian McCaffrey for 17 yards (tackle by Eric Weddle and John Johnson),0.060,1.730
1,3:58,1,10,CAR 42,0,0,Cam Newton pass complete short left to Greg Olsen for 14 yards (tackle by Eric Weddle and John Johnson),1.730,2.650
1,3:33,1,10,LAR 44,0,0,Christian McCaffrey left tackle for 6 yards (tackle by John Johnson),2.650,2.920
1,2:55,2,4,LAR 38,0,0,Christian McCaffrey up the middle for 6 yards (tackle by Cory Littleton),2.920,3.450
1,2:17,1,10,LAR 32,0,0,Cam Newton pass incomplete short right intended for Greg Olsen,3.450,2.900
1,2:12,2,10,LAR 32,0,0,Christian McCaffrey right tackle for 3 yards (tackle by Cory Littleton),2.900,2.610
1,1:30,,,,,,Timeout #1 by Carolina Panthers,,
1,1:30,3,7,LAR 29,0,0,"Penalty on Cam Newton: Delay of Game, 5 yards (no play)",2.610,1.950
1,1:30,3,12,LAR 34,0,0,Christian McCaffrey left guard for -1 yards (tackle by John Johnson),1.950,0.970
1,0:47,4,13,LAR 35,0,0,Joey Slye 53 yard field goal no good,0.970,-1.800
1,0:41,1,10,LAR 43,0,0,Jared Goff pass incomplete short left intended for Josh Reynolds,1.800,1.250
1,0:36,2,10,LAR 43,0,0,Todd Gurley up the middle for 2 yards (tackle by Efe Obada and Luke Kuechly),1.250,0.830
1,0:16,3,8,LAR 45,0,0,Jared Goff pass complete short right to Robert Woods for 22 yards (tackle by Tre Boston). Penalty on Kawann Short: Defensive Offside (Declined),0.830,3.380
Quarter,Time,Down,ToGo,Location,LAR,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CAR 33,0,0,Todd Gurley left end for 6 yards (tackle by Shaq Thompson),3.380,3.650
2,14:35,2,4,CAR 27,0,0,Robert Woods right end for -4 yards (tackle by Brian Burns),3.650,2.410
2,13:54,3,8,CAR 31,0,0,Jared Goff pass incomplete deep left intended for Robert Woods,2.410,1.320
2,13:48,4,8,CAR 31,3,0,Greg Zuerlein 49 yard field goal good,1.320,3.000
2,13:43,,,LAR 35,3,0,"Greg Zuerlein kicks off 65 yards, returned by Ray-Ray McCloud for 25 yards (tackle by Troy Hill and Marqui Christian)",0.000,0.610
2,13:38,1,10,CAR 25,3,0,"Christian McCaffrey right end for 2 yards (tackle by Cory Littleton and Bryce Hager). Penalty on Chris Manhertz: Offensive Holding, 10 yards (no play)",0.610,-0.410
2,13:15,1,20,CAR 15,3,0,"Cam Newton for -5 yards (tackle by Samson Ebukam). Cam Newton fumbles (forced by Samson Ebukam), recovered by Samson Ebukam at CAR-10 (tackle by D.J. Moore)",-0.410,-4.910
2,13:07,1,10,CAR 10,3,0,Malcolm Brown left guard for 5 yards (tackle by Dontari Poe),4.910,5.150
2,12:50,2,5,CAR 5,9,0,"Malcolm Brown up the middle for 5 yards, touchdown",5.150,7.000
2,12:44,,,CAR 15,10,0,Greg Zuerlein kicks extra point good,0.000,0.000
2,12:44,,,LAR 35,10,0,"Greg Zuerlein kicks off 59 yards, returned by Ray-Ray McCloud for 26 yards (tackle by Taylor Rapp)",0.000,1.070
2,12:37,1,10,CAR 32,10,0,Christian McCaffrey right tackle for 13 yards (tackle by Eric Weddle and Aqib Talib),1.070,1.930
2,12:04,1,10,CAR 45,10,0,Christian McCaffrey right guard for no gain (tackle by Morgan Fox),1.930,1.380
2,11:26,2,10,CAR 45,10,0,Cam Newton sacked by Dante Fowler for -10 yards,1.380,-0.630
2,10:46,3,20,CAR 35,10,0,Cam Newton pass complete short right to Christian McCaffrey for 9 yards (tackle by Taylor Rapp and Eric Weddle),-0.630,-0.460
2,9:54,4,11,CAR 44,10,0,"Penalty on CAR: Delay of Game, 5 yards (no play)",-0.460,-0.780
2,9:43,4,16,CAR 39,10,0,"Michael Palardy punts 58 yards, returned by Jojo Natson for 3 yards (tackle by Natrell Jamerson). Penalty on Samson Ebukam: Unnecessary Roughness, 3 yards",-0.780,0.380
2,9:32,1,10,LAR 3,10,0,Todd Gurley right end for 2 yards (tackle by James Bradberry and Efe Obada),-0.380,-0.630
2,8:54,2,8,LAR 5,10,0,Jared Goff pass complete short right to Robert Woods for 6 yards (tackle by Efe Obada),-0.630,-0.480
2,8:24,3,2,LAR 11,10,0,Jared Goff pass complete short left to Robert Woods for 3 yards (tackle by Shaq Thompson),-0.480,-0.280
2,7:44,1,10,LAR 14,10,0,Todd Gurley left end for -2 yards (tackle by Kawann Short and Luke Kuechly),-0.280,-0.930
2,7:20,2,12,LAR 12,10,0,Jared Goff pass complete short right to Robert Woods for 9 yards (tackle by Luke Kuechly),-0.930,-0.560
2,6:32,3,3,LAR 21,10,0,Jared Goff pass incomplete short middle intended for Brandin Cooks,-0.560,-1.960
2,6:27,4,3,LAR 21,10,0,"Johnny Hekker punts 66 yards, returned by Ray-Ray McCloud for 14 yards (tackle by Troy Reeder and Bryce Hager)",-1.960,-0.740
2,6:14,1,10,CAR 27,10,0,Christian McCaffrey up the middle for 1 yard (tackle by Michael Brockers),0.740,0.330
2,5:37,2,9,CAR 28,10,0,Cam Newton pass complete short right to Christian McCaffrey for 5 yards (tackle by Cory Littleton),0.330,0.300
2,5:08,3,4,CAR 33,10,0,Cam Newton pass incomplete short right intended for Greg Olsen (defended by Cory Littleton),0.300,-1.180
2,5:04,4,4,CAR 33,10,0,"Michael Palardy punts 38 yards, fair catch by Jojo Natson at LA-29",-1.180,-0.870
2,4:56,1,10,LAR 29,10,0,Malcolm Brown left guard for 1 yard (tackle by Javien Elliott and Shaq Thompson),0.870,0.460
2,4:18,2,9,LAR 30,10,0,Malcolm Brown left tackle for 17 yards (tackle by Tre Boston),0.460,2.060
2,3:55,1,10,LAR 47,10,0,Malcolm Brown left guard for 1 yard (tackle by Luke Kuechly and Shaq Thompson),2.060,1.650
2,3:18,2,9,LAR 48,10,0,Jared Goff left end for 3 yards (tackle by Donte Jackson),1.650,1.360
2,2:34,3,6,CAR 49,10,0,Jared Goff pass complete short right to Gerald Everett for 7 yards (tackle by Ross Cockrell),1.360,2.790
2,2:00,1,10,CAR 42,10,0,Jared Goff pass incomplete short middle intended for Cooper Kupp,2.790,2.240
2,1:56,2,10,CAR 42,10,0,Jared Goff pass complete short middle to Cooper Kupp for 4 yards (tackle by Shaq Thompson),2.240,2.080
2,1:13,3,6,CAR 38,10,0,Jared Goff pass incomplete short right intended for Cooper Kupp (defended by Javien Elliott),2.080,0.720
2,1:07,4,6,CAR 38,13,0,Greg Zuerlein 56 yard field goal good,0.720,3.000
2,1:02,,,LAR 35,13,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,1:02,1,10,CAR 25,13,0,Cam Newton sacked by Dante Fowler for -7 yards,0.610,-0.980
2,0:50,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:50,2,17,CAR 18,13,0,Christian McCaffrey left guard for 12 yards (tackle by Cory Littleton and John Johnson),-0.980,0.040
2,0:42,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:42,3,5,CAR 30,13,0,Cam Newton pass complete short left to D.J. Moore for 10 yards (tackle by Taylor Rapp),0.040,1.600
2,0:37,,,,,,Timeout #2 by Carolina Panthers,,
2,0:37,1,10,CAR 40,13,0,Cam Newton pass complete short left to D.J. Moore for 11 yards (tackle by Marcus Peters),1.600,2.320
2,0:18,1,10,LAR 49,13,0,Cam Newton pass complete short middle to Greg Olsen for 6 yards (tackle by John Johnson),2.320,2.590
2,0:15,,,,,,Timeout #3 by Carolina Panthers,,
2,0:15,2,4,LAR 43,13,0,Cam Newton pass complete short left to D.J. Moore for 15 yards (tackle by Marqui Christian),2.590,3.710
2,0:02,1,10,LAR 28,13,0,Cam Newton spiked the ball,3.710,3.170
2,0:02,2,10,LAR 28,13,3,Joey Slye 46 yard field goal good,3.170,3.000
Quarter,Time,Down,ToGo,Location,LAR,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,13,3,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,13,3,Jared Goff pass complete short middle to Brandin Cooks for 24 yards (tackle by Tre Boston),0.610,2.190
3,14:22,1,10,LAR 49,13,3,Jared Goff pass complete short middle to Brandin Cooks for 15 yards (tackle by Tre Boston),2.190,3.180
3,13:34,1,10,CAR 36,13,3,Todd Gurley right guard for 25 yards (tackle by Tre Boston),3.180,4.840
3,13:10,1,10,CAR 11,13,3,Jared Goff pass incomplete short right,4.840,4.140
3,13:04,2,10,CAR 11,13,3,"Todd Gurley right tackle for 5 yards (tackle by Luke Kuechly). Todd Gurley fumbles (forced by Luke Kuechly), recovered by Rob Havenstein at CAR-4 (tackle by Brian Burns). Penalty on Gerald Everett: Offensive Holding, 10 yards (no play)",4.140,2.940
3,12:41,2,20,CAR 21,13,3,Jared Goff pass complete short left to Robert Woods for 12 yards (tackle by Dontari Poe and Luke Kuechly),2.940,3.530
3,12:03,3,8,CAR 9,13,3,Jared Goff pass incomplete short right intended for Brandin Cooks,3.530,2.830
3,11:56,4,8,CAR 9,16,3,Greg Zuerlein 27 yard field goal good,2.830,3.000
3,11:53,,,LAR 35,16,3,"Greg Zuerlein kicks off 25 yards, out of bounds",0.000,1.600
3,11:53,1,10,CAR 40,16,3,Cam Newton pass incomplete short right intended for Ian Thomas,1.600,1.050
3,11:49,2,10,CAR 40,16,3,Cam Newton up the middle for 3 yards (tackle by Bryce Hager),1.050,0.760
3,11:07,3,7,CAR 43,16,3,Cam Newton pass complete short left to Curtis Samuel for 14 yards (tackle by John Johnson),0.760,2.720
3,10:43,,,,,,Timeout #1 by Los Angeles Rams,,
3,10:43,1,10,LAR 43,16,3,Christian McCaffrey up the middle for 1 yard (tackle by John Johnson and Clay Matthews),2.720,2.310
3,10:00,2,9,LAR 42,16,3,Cam Newton pass complete short right to Jarius Wright for 14 yards (tackle by Marqui Christian),2.310,3.710
3,9:37,1,10,LAR 28,16,3,Christian McCaffrey up the middle for 6 yards (tackle by Michael Brockers),3.710,3.980
3,9:15,2,4,LAR 22,16,3,Cam Newton pass complete short left to D.J. Moore for 14 yards (tackle by Marqui Christian and Marcus Peters),3.980,5.370
3,8:31,1,8,LAR 8,16,9,"Christian McCaffrey up the middle for 8 yards, touchdown",5.370,7.000
3,8:28,,,LAR 15,16,10,Joey Slye kicks extra point good,0.000,0.000
3,8:28,,,CAR 35,16,10,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,8:28,1,10,LAR 25,16,10,Malcolm Brown left tackle for 7 yards (tackle by Jermaine Carter),0.610,1.010
3,7:47,2,3,LAR 32,16,10,Malcolm Brown left guard for 2 yards (tackle by Eric Reid),1.010,0.560
3,7:25,3,1,LAR 34,16,10,Jared Goff pass complete short right to Tyler Higbee for 3 yards,0.560,1.400
3,6:56,1,10,LAR 37,16,10,"Jared Goff pass incomplete deep left intended for Brandin Cooks. Penalty on Donte Jackson: Defensive Pass Interference, 16 yards (no play)",1.400,2.460
3,6:49,1,10,CAR 47,16,10,Jared Goff pass complete short left to Robert Woods for 3 yards (tackle by Donte Jackson),2.460,2.320
3,6:31,2,7,CAR 44,16,10,Jared Goff pass incomplete short middle intended for Josh Reynolds (defended by Luke Kuechly),2.320,1.620
3,6:26,3,7,CAR 44,16,10,"Jared Goff pass incomplete deep right intended for Gerald Everett. Penalty on Gerald McCoy: Defensive Offside, 5 yards (no play)",1.620,2.280
3,6:22,3,2,CAR 39,16,10,Jared Goff pass complete short right to Cooper Kupp for 10 yards (tackle by Javien Elliott and Tre Boston),2.280,3.640
3,5:55,,,,,,Timeout #2 by Carolina Panthers,,
3,5:55,1,10,CAR 29,16,10,Malcolm Brown up the middle for 4 yards (tackle by Kawann Short),3.640,3.640
3,5:09,2,6,CAR 25,16,10,Jared Goff pass incomplete short left intended for Robert Woods,3.640,2.940
3,5:02,3,6,CAR 25,16,10,Jared Goff pass complete short right to Cooper Kupp for 8 yards (tackle by Javien Elliott),2.940,4.440
3,4:40,1,10,CAR 17,16,10,Malcolm Brown up the middle for 10 yards (tackle by James Bradberry and Javien Elliott),4.440,5.600
3,4:00,1,7,CAR 7,16,10,Malcolm Brown up the middle for no gain (tackle by Jermaine Carter),5.600,4.760
3,3:16,2,7,CAR 7,16,10,Jared Goff pass complete short left to Tyler Higbee for 6 yards (tackle by Eric Reid),4.760,5.170
3,2:54,3,1,CAR 1,22,10,"Malcolm Brown left tackle for 1 yard, touchdown",5.170,7.000
3,2:51,,,CAR 15,23,10,Greg Zuerlein kicks extra point good,0.000,0.000
3,2:51,,,LAR 35,23,10,"Greg Zuerlein kicks off 65 yards, touchback.. Penalty on Natrez Patrick: Offside on Free Kick, 5 yards",0.000,0.940
3,2:51,1,10,CAR 30,23,10,Cam Newton pass incomplete short right intended for D.J. Moore,0.940,0.390
3,2:47,2,10,CAR 30,23,10,Cam Newton pass complete short left to Christian McCaffrey for 14 yards (tackle by John Johnson),0.390,1.860
3,2:13,1,10,CAR 44,23,10,Cam Newton pass incomplete deep left intended for Greg Olsen. Penalty on Taylor Moton: Offensive Holding (Offsetting) (no play),1.860,1.860
3,2:07,1,10,CAR 44,23,10,Cam Newton pass complete short left to Christian McCaffrey for 4 yards (tackle by Marcus Peters),1.860,1.860
3,1:38,2,6,CAR 48,23,10,Cam Newton pass complete short right to Curtis Samuel for 16 yards (tackle by Nickell Robey-Coleman),1.860,3.180
3,1:03,1,10,LAR 36,23,10,Christian McCaffrey up the middle for 2 yards (tackle by John Johnson and Cory Littleton),3.180,2.910
3,0:25,2,8,LAR 34,23,10,Cam Newton pass incomplete short right intended for Greg Olsen,2.910,2.210
3,0:20,3,8,LAR 34,23,10,Cam Newton pass incomplete short middle intended for Greg Olsen,2.210,1.060
3,0:16,4,8,LAR 34,23,13,Joey Slye 52 yard field goal good,1.060,3.000
3,0:11,,,CAR 35,23,13,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,0:11,1,10,LAR 25,23,13,"Penalty on Efe Obada: Neutral Zone Infraction, 5 yards (no play)",0.610,1.340
3,0:11,1,5,LAR 30,23,13,"Jared Goff aborted snap, recovered by Austin Blythe at LA-27 (tackle by Dontari Poe)",1.340,0.330
Quarter,Time,Down,ToGo,Location,LAR,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,LAR 27,23,13,Jared Goff pass complete short right to Tyler Higbee for 6 yards (tackle by Rashaan Gaulden),0.330,0.430
4,14:18,3,2,LAR 33,23,13,"Jared Goff pass complete short right to Brandin Cooks for 11 yards (tackle by Eric Reid and Luke Kuechly). Penalty on Rob Havenstein: Offensive Holding, 10 yards (no play)",0.430,-0.890
4,13:51,3,12,LAR 23,23,13,Jared Goff pass incomplete short right intended for Brandin Cooks (defended by Shaq Thompson),-0.890,-1.830
4,13:45,4,12,LAR 23,23,13,"Johnny Hekker punts blocked by Jermaine Carter, recovered by Reggie Bonnafon (tackle by Johnny Hekker)",-1.830,-6.060
4,13:38,1,5,LAR 5,23,13,Christian McCaffrey right guard for 3 yards (tackle by Marqui Christian and Bryce Hager),6.060,5.720
4,13:15,2,2,LAR 2,23,19,"Christian McCaffrey right guard for 2 yards, touchdown",5.720,7.000
4,13:10,,,LAR 15,23,20,Joey Slye kicks extra point good,0.000,0.000
4,13:10,,,CAR 35,23,20,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,13:10,1,10,LAR 25,23,20,Todd Gurley up the middle for 6 yards (tackle by Jermaine Carter and Brian Burns),0.610,0.870
4,12:35,2,4,LAR 31,23,20,Robert Woods right guard for 20 yards (tackle by Eric Reid),0.870,2.320
4,12:09,1,10,CAR 49,23,20,Jared Goff pass deep middle intended for Robert Woods is intercepted by James Bradberry at CAR-29 and returned for no gain,2.320,-0.870
4,12:02,1,10,CAR 29,23,20,Cam Newton up the middle for no gain (tackle by Aaron Donald),0.870,0.330
4,11:29,2,10,CAR 29,23,20,Cam Newton pass complete short middle to Christian McCaffrey for 4 yards (tackle by Cory Littleton),0.330,0.170
4,10:48,3,6,CAR 33,23,20,Cam Newton pass incomplete deep right intended for Curtis Samuel,0.170,-1.180
4,10:43,4,6,CAR 33,23,20,"Michael Palardy punts 40 yards, returned by Jojo Natson for 16 yards (tackle by Jermaine Carter)",-1.180,-1.800
4,10:31,1,10,LAR 43,23,20,Todd Gurley up the middle for 17 yards (tackle by Eric Reid and Tre Boston),1.800,2.920
4,9:50,1,10,CAR 40,23,20,Todd Gurley left end for 7 yards (tackle by Luke Kuechly),2.920,3.320
4,9:04,2,3,CAR 33,23,20,Todd Gurley right guard for 2 yards (tackle by Shaq Thompson),3.320,2.870
4,8:21,3,1,CAR 31,23,20,Todd Gurley right tackle for 15 yards (tackle by Tre Boston),2.870,4.510
4,8:02,1,10,CAR 16,23,20,Jared Goff pass complete short left to Robert Woods for 11 yards (tackle by Donte Jackson),4.510,6.060
4,7:21,1,5,CAR 5,23,20,Darrell Henderson left tackle for no gain (tackle by Kawann Short),6.060,5.150
4,6:42,2,5,CAR 5,29,20,"Jared Goff pass complete short left to Tyler Higbee for 5 yards, touchdown",5.150,7.000
4,6:37,,,CAR 15,30,20,Greg Zuerlein kicks extra point good,0.000,0.000
4,6:37,,,LAR 35,30,20,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,6:37,1,10,CAR 25,30,20,Cam Newton pass complete short middle to D.J. Moore for 2 yards (tackle by Taylor Rapp),0.610,0.330
4,6:15,2,8,CAR 27,30,20,Cam Newton pass complete short right to Christian McCaffrey for 9 yards (tackle by Taylor Rapp and Cory Littleton),0.330,1.330
4,5:55,1,10,CAR 36,30,20,"Cam Newton pass short middle intended for Greg Olsen is intercepted by Cory Littleton at CAR-43 and returned for 26 yards. Penalty on Marcus Peters: Taunting, 15 yards",1.330,-3.450
4,5:46,1,10,CAR 32,30,20,Jared Goff pass incomplete deep right intended for Robert Woods (defended by James Bradberry),3.450,2.900
4,5:39,2,10,CAR 32,30,20,Todd Gurley left guard for 5 yards (tackle by Gerald McCoy),2.900,2.870
4,4:56,3,5,CAR 27,30,20,Jared Goff pass complete short right to Robert Woods for 4 yards (tackle by Luke Kuechly),2.870,2.080
4,4:10,4,1,CAR 23,30,20,Greg Zuerlein 41 yard field goal no good,2.080,-1.000
4,4:06,1,10,CAR 31,30,20,Cam Newton pass incomplete short left intended for Christian McCaffrey,1.000,0.460
4,4:02,2,10,CAR 31,30,20,Cam Newton pass incomplete short right intended for D.J. Moore (defended by Aqib Talib),0.460,-0.230
4,3:57,3,10,CAR 31,30,20,Cam Newton pass complete short right to Greg Olsen for 13 yards (tackle by John Johnson),-0.230,1.860
4,3:33,1,10,CAR 44,30,20,Cam Newton pass complete short right to Christian McCaffrey for 9 yards (tackle by Cory Littleton and Taylor Rapp),1.860,2.530
4,3:12,2,1,LAR 47,30,20,Cam Newton pass incomplete short right intended for Chris Hogan,2.530,1.820
4,3:08,3,1,LAR 47,30,20,Christian McCaffrey up the middle for 23 yards (tackle by Cory Littleton),1.820,3.970
4,2:32,1,10,LAR 24,30,20,Cam Newton pass complete short middle to Christian McCaffrey for 5 yards (tackle by Cory Littleton),3.970,4.120
4,2:10,2,5,LAR 19,30,20,Christian McCaffrey up the middle for 18 yards (tackle by Taylor Rapp),4.120,6.970
4,2:00,1,1,LAR 1,30,26,"Alex Armah up the middle for 1 yard, touchdown",6.970,7.000
4,1:58,,,LAR 15,30,27,Joey Slye kicks extra point good,0.000,0.000
4,1:58,,,CAR 35,30,27,"Joey Slye kicks onside 15 yards, returned by Robert Woods for no gain",0.000,2.260
4,1:57,1,10,LAR 50,30,27,Todd Gurley right tackle for 8 yards (tackle by Efe Obada),2.260,2.790
4,1:51,,,,,,Timeout #3 by Carolina Panthers,,
4,1:51,2,2,CAR 42,30,27,Todd Gurley right tackle for 4 yards (tackle by James Bradberry),2.790,3.050
4,1:06,1,10,CAR 38,30,27,Jared Goff kneels for -2 yards,3.050,2.240
4,0:38,2,12,CAR 40,30,27,Jared Goff kneels for -1 yards,2.240,1.420
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
