Quarter,Time,Tm,Detail,LAR,CAR
2.0,13:43,Rams,Greg Zuerlein 49 yard field goal,3,0
,12:44,Rams,Malcolm Brown 5 yard rush (Greg Zuerlein kick),10,0
,1:02,Rams,Greg Zuerlein 56 yard field goal,13,0
,0:00,Panthers,Joey Slye 46 yard field goal,13,3
3.0,11:53,Rams,Greg Zuerlein 27 yard field goal,16,3
,8:28,Panthers,Christian McCaffrey 8 yard rush (Joey Slye kick),16,10
,2:51,Rams,Malcolm Brown 1 yard rush (Greg Zuerlein kick),23,10
,0:11,Panthers,Joey Slye 52 yard field goal,23,13
4.0,13:10,Panthers,Christian McCaffrey 2 yard rush (Joey Slye kick),23,20
,6:37,Rams,Tyler Higbee 5 yard pass from Jared Goff (Greg Zuerlein kick),30,20
,1:58,Panthers,Alex Armah 1 yard rush (Joey Slye kick),30,27
