Unnamed: 0,LAR,CAR
First Downs,22,21
Rush-Yds-TDs,32-166-2,23-127-3
Cmp-Att-Yd-TD-INT,23-39-186-1-1,25-38-239-0-1
Sacked-Yards,1-3,3-23
Net Pass Yards,183,216
Total Yards,349,343
Fumbles-Lost,1-0,2-2
Turnovers,1,3
Penalties-Yards,5-43,6-46
Third Down Conv.,9-17,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,33:16,26:44
