#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CHI 10,3,2:08,-2,Punt
2,1,9:38,CHI 7,1,0:07,0,Interception
3,1,7:30,CHI 31,6,3:18,20,Punt
4,1,2:16,CHI 41,3,1:20,-12,Punt
5,2,13:21,CHI 20,3,1:07,4,Punt
6,2,9:13,CHI 32,3,1:47,6,Punt
7,2,4:12,CHI 23,5,2:27,14,Punt
8,3,11:09,MIA 36,4,0:54,2,Field Goal
9,3,9:16,CHI 29,3,1:40,3,Punt
10,3,4:37,CHI 18,11,5:37,64,Downs
11,4,12:16,,5,1:07,17,Downs
12,4,9:21,CHI 29,2,0:16,0,Interception
13,4,7:26,CHI 24,1,0:14,-6,Fumble
14,4,5:41,CHI 29,3,0:50,20,Interception
15,4,2:10,CHI 42,6,1:26,58,Touchdown
