Quarter,Time,Down,ToGo,Location,CHI,MIA,Detail,EPB,EPA
,,,,,,,"MIA challenged the ruling, and the original play was overturned.",,
2,10:48,1,10,MIA 24,0,7,Ricky Williams right guard for 2 yards (tackle by Alfonso Boone),0.540,0.270
2,10:11,2,8,MIA 26,0,7,Ricky Williams right guard for 5 yards (tackle by Phillip Daniels),0.270,0.230
2,9:27,3,3,MIA 31,0,7,Jay Fiedler pass incomplete intended for Cris Carter,0.230,-1.310
2,9:21,4,3,MIA 31,0,7,"Mark Royals punts 38 yards, out of bounds",-1.310,-1.070
2,9:13,1,10,CHI 32,0,7,Jim Miller pass complete to Marty Booker for 2 yards (tackle by Derrick Rodgers),1.070,0.800
2,8:44,2,8,CHI 34,0,7,"Leon Johnson middle for 5 yards (tackle by Jermaine Haley and Zach Thomas). Penalty on David Bowens: Defensive Offside, 5 yards (no play)",0.800,1.470
2,8:22,2,3,CHI 39,0,7,Leon Johnson left end for -1 yards (tackle by Zach Thomas),1.470,0.630
2,7:40,3,4,CHI 38,0,7,Jim Miller pass incomplete intended for Marty Booker (defended by Jamar Fletcher),0.630,-0.850
2,7:35,4,4,CHI 38,0,7,"Brad Maynard punts 46 yards, fair catch by Robert Baker",-0.850,0.140
2,7:26,1,10,MIA 16,0,7,Jay Fiedler pass complete to Rob Konrad for 11 yards (tackle by Brian Urlacher),-0.140,0.740
2,7:04,1,10,MIA 27,0,7,Jay Fiedler pass complete to James McKnight for 34 yards (tackle by R.W. McQuarters),0.740,2.980
2,6:37,1,10,CHI 39,0,7,Ricky Williams right tackle for 14 yards (tackle by Jerry Azumah and Michael Green),2.980,3.910
2,5:53,1,10,CHI 25,0,7,Ricky Williams left tackle for 2 yards (tackle by Mike Brown),3.910,3.630
2,5:12,2,8,CHI 23,0,7,Jay Fiedler pass complete to Cris Carter for 8 yards (tackle by Jerry Azumah),3.630,4.580
2,4:29,1,10,CHI 15,0,7,Jay Fiedler pass incomplete intended for Jed Weaver,4.580,3.950
2,4:22,2,10,CHI 15,0,13,"Ricky Williams right tackle for 15 yards, touchdown",3.950,7.000
2,4:22,,,CHI 15,0,14,Olindo Mare kicks extra point good,0.000,0.000
2,4:22,,,MIA 30,0,14,"Olindo Mare kicks off 69 yards, returned by Ahmad Merritt for 22 yards (tackle by Shawn Wooden)",0.000,0.480
2,4:02,1,10,CHI 23,0,14,Adrian Peterson middle for 2 yards (tackle by Zach Thomas and Jermaine Haley),0.480,0.200
2,3:22,2,8,CHI 25,0,14,Henry Burris pass incomplete intended for Marty Booker,0.200,-0.490
2,3:16,3,8,CHI 25,0,14,"Jim Miller pass incomplete intended for Ahmad Merritt. Penalty on Arturo Freeman: Defensive Pass Interference, 5 yards (no play)",-0.490,0.940
2,3:11,1,10,CHI 30,0,14,Adrian Peterson left tackle for 4 yards (tackle by Zach Thomas and Derrick Rodgers),0.940,0.930
2,2:35,2,6,CHI 34,0,14,Adrian Peterson right tackle for 5 yards (tackle by Patrick Surtain),0.930,0.890
2,2:06,3,1,CHI 39,0,14,"Jim Miller for no gain. Olin Kreutz fumbles, recovered by Adrian Peterson at CHI-37",0.890,-0.910
2,2:00,4,3,CHI 37,0,14,Brad Maynard punts 48 yards,-0.910,0.220
2,1:45,1,10,MIA 15,0,14,Ricky Williams for 12 yards,-0.220,0.740
2,1:37,1,10,MIA 27,0,14,Ricky Williams left guard for 5 yards (tackle by Brian Urlacher),0.740,0.870
2,1:05,2,5,MIA 32,0,14,Ricky Williams right guard for 2 yards (tackle by Mike Caldwell and Phillip Daniels),0.870,0.430
2,0:24,3,3,MIA 34,0,14,Jay Fiedler pass complete to Dedric Ward for 6 yards (tackle by Mike Caldwell),0.430,1.600
2,0:17,3,3,MIA 34,,,Timeout #1 by Miami Dolphins,0.430,1.600
2,0:17,1,10,MIA 40,0,14,Jay Fiedler pass incomplete intended for Ricky Williams,1.600,1.050
2,0:12,2,10,MIA 40,0,14,Ricky Williams middle for 14 yards (tackle by Damon Moore),1.050,2.520
2,0:05,2,10,MIA 40,,,Timeout #2 by Miami Dolphins,1.050,2.520
2,0:05,1,10,CHI 46,0,14,Jay Fiedler pass incomplete intended for Dedric Ward,2.520,1.980
Quarter,Time,Down,ToGo,Location,CHI,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,0,14,"Paul Edinger kicks off 69 yards, returned by Travis Minor for 15 yards (tackle by Rabih Abdullah). Penalty on Morlon Greenwood: Illegal Block Above the Waist, 8 yards",0.000,-0.380
3,14:53,1,10,MIA 8,0,14,Ricky Williams right end for 3 yards (tackle by Michael Green),-0.380,-0.560
3,14:14,2,7,MIA 11,0,14,Ricky Williams right tackle for 6 yards (tackle by Michael Green and Bobbie Howard),-0.560,-0.370
3,13:31,3,1,MIA 17,0,14,Ricky Williams right end for 1 yard (tackle by Jerry Azumah),-0.370,0.040
3,12:44,1,10,MIA 18,0,14,Jay Fiedler pass complete to Randy McMichael for 26 yards (tackle by R.W. McQuarters and Mike Brown),0.040,1.860
3,12:02,1,10,MIA 44,0,14,Ricky Williams left tackle for 1 yard (tackle by Rosevelt Colvin),1.860,1.450
3,11:24,2,9,MIA 45,0,14,"Jay Fiedler pass incomplete intended for Ricky Williams is intercepted by Bobbie Howard at MIA-48 and returned for 9 yards, lateral to Jerry Azumah for 18 yards. Penalty on Bryan Robinson: Unnecessary Roughness, 15 yards",1.450,-3.180
3,11:09,1,10,MIA 36,0,14,Leon Johnson left tackle for 2 yards (tackle by Jason Taylor and Tim Bowens),3.180,2.910
3,10:33,2,8,MIA 34,0,14,Henry Burris pass incomplete intended for Stanley Pritchett,2.910,2.210
3,10:23,3,8,MIA 34,0,14,Jim Miller pass incomplete intended for Marty Booker,2.210,1.060
,,,,,,,"MIA challenged the ruling, and the original play was overturned.",,
3,10:20,4,8,MIA 34,3,14,Paul Edinger 52 yard field goal good,1.060,3.000
3,10:20,,,CHI 30,3,14,"Paul Edinger kicks off 68 yards, returned by Travis Minor for 33 yards (tackle by Michael Green)",0.000,1.270
3,10:08,1,10,MIA 35,3,14,Ricky Williams middle for 2 yards (tackle by Bobbie Howard and Brian Urlacher),1.270,0.990
3,9:28,2,8,MIA 37,3,20,"Ricky Williams right tackle for 63 yards, touchdown",0.990,7.000
3,9:28,,,CHI 37,3,21,Olindo Mare kicks extra point good,0.000,0.000
3,9:28,,,MIA 30,3,21,"Olindo Mare kicks off 66 yards, returned by Ahmad Merritt for 25 yards (tackle by Shawn Wooden)",0.000,0.870
3,9:09,1,10,CHI 29,3,21,Leon Johnson left tackle for no gain (tackle by Larry Chester),0.870,0.330
3,8:29,2,10,CHI 29,3,21,Jim Miller pass complete to Marty Booker for 3 yards (tackle by Patrick Surtain),0.330,0.040
3,7:50,3,7,CHI 32,3,21,Jim Miller pass incomplete intended for Marty Booker,0.040,-1.240
3,7:45,4,7,CHI 32,3,21,"Brad Maynard punts 35 yards, out of bounds",-1.240,-1.140
3,7:36,1,10,MIA 33,3,21,Ricky Williams right tackle for 5 yards (tackle by Bryan Knight and Bobbie Howard),1.140,1.270
3,6:56,2,5,MIA 38,3,21,"Jay Fiedler pass incomplete intended for Chris Chambers (defended by R.W. McQuarters). Penalty on Bryan Knight: Defensive Holding, 6 yards (no play)",1.270,1.860
3,6:48,1,10,MIA 44,3,21,Jay Fiedler pass complete to Rob Konrad for 3 yards (tackle by Bryan Robinson),1.860,1.720
3,6:06,2,7,MIA 47,3,21,Ricky Williams left end for 5 yards (tackle by Jerry Azumah),1.720,1.690
3,5:26,3,2,CHI 48,3,21,Ricky Williams left end for -2 yards (tackle by Jerry Azumah and Brian Urlacher),1.690,-0.060
3,4:47,4,4,,3,21,"Mark Royals punts 33 yards, returned by Ahmad Merritt for no gain",-0.060,-0.040
3,4:37,1,10,CHI 18,3,21,Chris Chandler pass complete to John Gilmore for 12 yards (tackle by Zach Thomas),0.040,0.940
3,4:01,1,10,CHI 30,3,21,Chris Chandler pass complete to Leon Johnson for 9 yards (tackle by Derrick Rodgers),0.940,1.610
3,3:20,2,1,CHI 39,3,21,Leon Johnson right guard for 5 yards (tackle by Zach Thomas),1.610,1.860
3,2:42,1,10,CHI 44,3,21,Chris Chandler pass complete to Adrian Peterson for 7 yards (tackle by Zach Thomas and Brock Marion),1.860,2.260
3,1:54,2,3,MIA 49,3,21,Leon Johnson middle for 4 yards (tackle by Tim Bowens),2.260,2.590
3,1:14,1,10,MIA 45,3,21,"Chris Chandler pass incomplete intended for Ahmad Merritt. Penalty on Ahmad Merritt: Offensive Pass Interference, 10 yards (no play)",2.590,1.930
3,1:08,1,20,CHI 45,3,21,Leon Johnson right tackle for 2 yards (tackle by Jermaine Haley),1.930,0.960
3,0:28,2,18,CHI 47,3,21,Chris Chandler pass complete to Marty Booker for 26 yards (tackle by Brock Marion),0.960,3.780
Quarter,Time,Down,ToGo,Location,CHI,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIA 27,3,21,Chris Chandler pass incomplete intended for John Gilmore,3.780,3.230
4,14:56,2,10,MIA 27,3,21,Leon Johnson middle for 4 yards (tackle by Adewale Ogunleye),3.230,3.070
4,14:15,3,6,MIA 23,3,21,Chris Chandler pass incomplete intended for Dez White,3.070,1.950
4,14:10,4,6,MIA 23,3,21,"Chris Chandler pass incomplete intended for Marcus Robinson. Penalty on Adewale Ogunleye: Defensive Offside, 5 yards (no play)",1.950,2.400
4,14:05,4,1,MIA 18,3,21,Chris Chandler pass incomplete intended for John Gilmore (defended by Zach Thomas),2.400,-0.150
4,14:00,1,10,MIA 19,3,21,Ricky Williams left guard for 1 yard (tackle by Brian Urlacher),0.150,-0.200
4,13:19,2,9,MIA 20,3,21,Ricky Williams left tackle for 4 yards (tackle by Brian Urlacher),-0.200,-0.420
4,12:35,3,5,MIA 24,3,21,Jay Fiedler pass incomplete intended for Chris Chambers,-0.420,-1.770
4,12:29,4,5,MIA 24,3,21,"Mark Royals punts 39 yards, returned by Ahmad Merritt for 13 yards (tackle by Scott McGarrahan)",-1.770,-2.260
4,12:16,1,10,,3,21,"Penalty on Jason Taylor: Defensive Offside, 5 yards (no play)",2.260,2.990
4,12:16,1,5,MIA 45,3,21,Chris Chandler pass complete to John Gilmore for 12 yards (tackle by Brock Marion),2.990,3.380
4,11:37,1,10,MIA 33,3,21,Chris Chandler pass incomplete intended for Marcus Robinson (defended by Jason Taylor),3.380,2.840
4,11:32,2,10,MIA 33,3,21,Chris Chandler pass incomplete intended for Ahmad Merritt (defended by Sam Madison),2.840,2.150
4,11:21,3,10,MIA 33,3,21,Chris Chandler pass incomplete intended for Ahmad Merritt,2.150,1.150
4,11:15,4,10,MIA 33,3,21,Chris Chandler pass incomplete intended for John Gilmore (defended by Jamar Fletcher),1.150,-1.140
4,11:09,1,10,MIA 33,3,21,Ricky Williams middle for 3 yards (tackle by Alfonso Boone),1.140,1.000
4,10:27,2,7,MIA 36,3,21,Jay Fiedler pass complete to Rob Konrad for 5 yards (tackle by Jerry Azumah),1.000,0.960
4,9:41,2,7,MIA 36,,,Timeout #1 by Miami Dolphins,1.000,0.960
4,9:41,3,2,MIA 41,3,21,Jay Fiedler pass incomplete intended for Ricky Williams. Penalty on Mark Dixon: Illegal Formation (Declined),0.960,-0.650
4,9:32,4,2,MIA 41,3,21,"Mark Royals punts 48 yards, returned by Ahmad Merritt for 18 yards (tackle by Morlon Greenwood)",-0.650,-0.870
4,9:21,1,10,CHI 29,3,21,Chris Chandler pass incomplete intended for Leon Johnson,0.870,0.330
4,9:16,2,10,CHI 29,3,21,Chris Chandler pass incomplete intended for Marty Booker is intercepted by Jamar Fletcher at CHI-40 and returned for 30 yards,0.330,-4.910
4,9:05,1,10,CHI 10,3,21,Ricky Williams right tackle for 3 yards (tackle by R.W. McQuarters),4.910,4.760
4,8:20,2,7,CHI 7,3,21,Ricky Williams right tackle for 2 yards (tackle by Jerry Azumah and Mike Brown),4.760,4.260
4,7:35,3,5,CHI 5,3,21,Jay Fiedler pass incomplete intended for Randy McMichael,4.260,3.010
4,7:30,4,5,CHI 5,3,24,Olindo Mare 23 yard field goal good,3.010,3.000
4,7:30,,,MIA 30,3,24,"Olindo Mare kicks off 59 yards, returned by Ahmad Merritt for 13 yards (tackle by Arturo Freeman)",0.000,0.540
4,7:20,1,10,CHI 24,3,24,"Chris Chandler sacked by Adewale Ogunleye for -6 yards. Chris Chandler fumbles (forced by Adewale Ogunleye), recovered by Adewale Ogunleye at CHI-18",0.540,-4.370
4,7:12,1,10,CHI 18,3,24,Jay Fiedler pass incomplete intended for Chris Chambers,4.370,3.800
4,7:06,2,10,CHI 18,3,24,Travis Minor left guard for 6 yards (tackle by Michael Green and Mike Brown),3.800,4.030
4,6:22,3,4,CHI 12,3,24,Travis Minor right guard for 1 yard (tackle by Christian Peter),4.030,2.800
4,5:44,4,3,CHI 11,3,27,Olindo Mare 29 yard field goal good,2.800,3.000
4,5:44,,,MIA 30,3,27,"Olindo Mare kicks off 64 yards, returned by Ahmad Merritt for 23 yards (tackle by Tommy Hendricks)",0.000,0.870
4,5:34,1,10,CHI 29,3,27,Chris Chandler pass complete to Ahmad Merritt for 11 yards,0.870,1.600
4,5:15,1,10,CHI 40,3,27,Chris Chandler pass complete to Marty Booker for 9 yards (tackle by Jamar Fletcher and Patrick Surtain),1.600,2.270
4,4:56,2,1,CHI 49,3,27,Chris Chandler pass incomplete is intercepted by Jermaine Haley at CHI-48,2.270,-2.390
4,4:51,1,10,CHI 48,3,27,Travis Minor right end for 8 yards (tackle by Mike Brown),2.390,2.930
4,4:41,1,10,CHI 48,,,Timeout #1 by Chicago Bears,2.390,2.930
4,4:41,2,2,CHI 40,3,27,Travis Minor right tackle for no gain (tackle by Christian Peter and Brian Urlacher),2.930,2.210
4,4:35,3,2,CHI 40,3,27,Travis Minor middle for 2 yards (tackle by Bryan Knight),2.210,3.050
4,3:50,1,10,CHI 38,3,27,Travis Minor left guard for 2 yards (tackle by Bobbie Howard),3.050,2.780
4,3:08,2,8,CHI 36,3,27,Travis Minor middle for 1 yard (tackle by Phillip Daniels),2.780,2.210
4,2:22,3,7,CHI 35,3,27,Travis Minor right end for 1 yard (tackle by Phillip Daniels),2.210,1.070
4,2:16,3,7,CHI 35,,,Timeout #2 by Chicago Bears,2.210,1.070
4,2:16,4,6,CHI 34,3,27,Sage Rosenfels for -7 yards (tackle by Alex Brown),1.070,-1.730
4,2:10,1,10,CHI 42,3,27,Henry Burris middle for 14 yards (tackle by Brock Marion),1.730,2.650
4,2:00,1,10,MIA 44,3,27,Henry Burris right tackle for 17 yards (tackle by Brock Marion),2.650,3.780
4,1:53,1,10,MIA 27,3,27,Henry Burris for 16 yards,3.780,4.840
4,1:44,1,10,MIA 11,3,27,Henry Burris left end for -2 yards (tackle by Jay Williams),4.840,3.830
4,1:12,2,12,MIA 13,3,27,Henry Burris middle for 7 yards (tackle by Larry Chester and Arturo Freeman),3.830,4.210
4,0:49,3,5,MIA 6,9,27,"Henry Burris pass complete to Marty Booker for 6 yards, touchdown",4.210,7.000
4,0:49,3,,MIA 6,9,27,"Two Point Attempt: Henry Burris pass incomplete intended for Marty Booker, conversion fails",1.000,-1.000
4,0:49,,,CHI 30,9,27,"Paul Edinger kicks onside 8 yards, recovered by Shawn Wooden",0.000,-3.050
4,0:43,1,10,CHI 38,9,27,Sage Rosenfels kneels for -2 yards,3.050,2.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
