Unnamed: 0,PIT,KAN
First Downs,23,12
Rush-Yds-TDs,37-194-1,15-28-0
Cmp-Att-Yd-TD-INT,17-25-252-1-1,19-34-246-1-0
Sacked-Yards,1-7,3-23
Net Pass Yards,245,223
Total Yards,439,251
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,6-57,7-48
Third Down Conv.,4-11,3-11
Fourth Down Conv.,0-0,0-2
Time of Possession,36:39,23:21
