Unnamed: 0,DEN,SDG
First Downs,24,19
Rush-Yds-TDs,33-197-1,18-121-0
Cmp-Att-Yd-TD-INT,16-29-192-3-0,20-41-182-1-1
Sacked-Yards,1-7,0-0
Net Pass Yards,185,182
Total Yards,382,303
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,10-81,11-96
Third Down Conv.,4-11,1-11
Fourth Down Conv.,1-1,2-3
Time of Possession,33:13,26:47
