Quarter,Time,Tm,Detail,DEN,SDG
1.0,12:18,Broncos,Reuben Droughns 12 yard pass from Jake Plummer (Jason Elam kick),7,0
,6:21,Chargers,Steve Christie 19 yard field goal,7,3
,1:36,Broncos,Shannon Sharpe 1 yard pass from Jake Plummer (Jason Elam kick),14,3
2.0,6:58,Broncos,Cooper Carlisle 6 yard pass from Jake Plummer (Jason Elam kick),21,3
,1:05,Chargers,Eric Parker 23 yard pass from Drew Brees (Steve Christie kick),21,10
,0:05,Broncos,Jason Elam 30 yard field goal,24,10
3.0,9:31,Chargers,Steve Christie 25 yard field goal,24,13
,4:48,Broncos,Mike Anderson 1 yard rush (Jason Elam kick),31,13
,1:05,Broncos,Jason Elam 45 yard field goal,34,13
4.0,14:21,Broncos,Jason Elam 34 yard field goal,37,13
