Quarter,Time,Tm,Detail,NWE,BAL
1.0,10:25,Patriots,Stephen Gostkowski 21 yard field goal,3,0
,1:18,Ravens,Derrick Mason 4 yard pass from Kyle Boller (Matt Stover kick),3,7
2.0,8:45,Ravens,Matt Stover 29 yard field goal,3,10
,5:22,Patriots,Heath Evans 1 yard rush (Stephen Gostkowski kick),10,10
3.0,10:05,Ravens,Willis McGahee 17 yard rush (Matt Stover kick),10,17
,4:26,Patriots,Randy Moss 3 yard pass from Tom Brady (Stephen Gostkowski kick),17,17
4.0,14:25,Ravens,Daniel Wilcox 1 yard pass from Kyle Boller (Matt Stover kick),17,24
,8:41,Patriots,Stephen Gostkowski 38 yard field goal,20,24
,0:44,Patriots,Jabar Gaffney 8 yard pass from Tom Brady (Stephen Gostkowski kick),27,24
