Unnamed: 0,NWE,BAL
First Downs,21,20
Rush-Yds-TDs,24-90-1,37-166-1
Cmp-Att-Yd-TD-INT,18-38-257-2-1,15-23-210-2-1
Sacked-Yards,3-21,0-0
Net Pass Yards,236,210
Total Yards,326,376
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,4-30,13-100
Third Down Conv.,2-12,3-11
Fourth Down Conv.,2-2,1-1
Time of Possession,27:06,32:54
