Quarter,Time,Down,ToGo,Location,NWE,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,NWE 20,0,0,Tom Brady pass complete short right to Wes Welker for 5 yards (tackle by Samari Rolle),0.280,0.410
1,14:19,2,5,NWE 25,0,0,Tom Brady pass complete short right to Wes Welker for 7 yards (tackle by Ray Lewis),0.410,1.070
1,13:43,1,10,NWE 32,0,0,Laurence Maroney right tackle for 1 yard (tackle by Kelly Gregg and Ray Lewis),1.070,0.660
1,12:57,2,9,NWE 33,0,0,"Tom Brady pass complete deep left to Donte Stallworth for 42 yards (tackle by Samari Rolle). Penalty on Samari Rolle: Face Mask (15 Yards), 13 yards",0.660,4.780
1,12:32,1,10,BAL 12,0,0,"Laurence Maroney right tackle for 3 yards (tackle by Corey Ivy and Dwan Edwards). Penalty on BAL: Defensive 12 On-field, 5 yards (no play)",4.780,5.930
1,12:02,1,5,BAL 7,0,0,"Tom Brady sacked by Terrell Suggs for -10 yards. Penalty on Terrell Suggs: Defensive Offside, 4 yards (no play)",5.930,6.840
1,11:57,1,1,BAL 3,0,0,Laurence Maroney up the middle for 2 yards (tackle by Terrell Suggs and Ray Lewis),6.840,6.970
1,11:23,1,1,BAL 1,0,0,Tom Brady pass incomplete short right intended for Ben Watson (defended by Ray Lewis),6.970,5.910
1,11:18,2,1,BAL 1,0,0,Heath Evans right tackle for -2 yards (tackle by Kelly Gregg and Bart Scott),5.910,4.720
1,10:37,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,4.720
1,10:37,3,3,BAL 3,0,0,Tom Brady pass incomplete short middle intended for Ben Watson,4.720,3.040
1,10:28,4,3,BAL 3,3,0,Stephen Gostkowski 21 yard field goal good,3.040,3.000
1,,,,NWE 30,3,0,"Stephen Gostkowski kicks off 50 yards, returned by Yamon Figurs for 9 yards (tackle by Kelley Washington)",0.000,0.870
1,10:20,1,10,BAL 29,3,0,Willis McGahee up the middle for 9 yards (tackle by Adalius Thomas),0.870,1.540
1,9:47,2,1,BAL 38,3,0,Willis McGahee left guard for 7 yards (tackle by Richard Seymour and Mike Vrabel),1.540,1.930
1,9:47,1,10,BAL 45,3,0,"Penalty on Quinn Sypniewski: False Start, 5 yards (no play)",1.930,1.600
1,8:58,1,15,BAL 40,3,0,Willis McGahee left guard for 3 yards (tackle by Adalius Thomas and Jarvis Green),1.600,1.110
1,8:14,2,12,BAL 43,3,0,Kyle Boller pass complete short right to Willis McGahee for 2 yards (tackle by Tedy Bruschi),1.110,0.700
1,7:31,3,10,BAL 45,3,0,Kyle Boller pass incomplete short middle intended for Mark Clayton (defended by Ellis Hobbs),0.700,-0.390
1,7:26,4,10,BAL 45,3,0,Sam Koch punts 43 yards,-0.390,0.350
1,7:10,1,10,NWE 12,3,0,Tom Brady pass incomplete short left intended for Wes Welker,-0.350,-0.780
1,7:05,2,10,NWE 12,3,0,Laurence Maroney up the middle for 2 yards (tackle by Samari Rolle),-0.780,-1.190
1,6:18,3,8,NWE 14,3,0,Tom Brady pass incomplete short left intended for Randy Moss (defended by Samari Rolle),-1.190,-2.470
1,6:14,4,8,NWE 14,3,0,"Chris Hanson punts 41 yards, fair catch by Yamon Figurs. Penalty on Derrick Martin: Unnecessary Roughness, 15 yards",-2.470,-0.940
1,6:06,1,10,BAL 30,3,0,Willis McGahee left guard for -1 yards (tackle by Richard Seymour and Adalius Thomas),0.940,0.260
1,5:29,2,11,BAL 29,3,0,Kyle Boller pass incomplete deep left intended for Quinn Sypniewski,0.260,-0.430
1,5:26,3,11,BAL 29,3,0,Kyle Boller pass complete deep right to Devard Darling for 53 yards (tackle by James Sanders),-0.430,4.370
1,4:47,,,,3,0,Timeout #2 by Baltimore Ravens,0.000,4.370
1,4:47,1,10,NWE 18,3,0,Willis McGahee up the middle for 3 yards (tackle by Vince Wilfork),4.370,4.250
1,4:14,2,7,NWE 15,3,0,Willis McGahee up the middle for 6 yards (tackle by Tedy Bruschi and Ty Warren),4.250,4.740
1,3:34,3,1,NWE 9,3,0,Willis McGahee right tackle for 1 yard (tackle by Tedy Bruschi and Adalius Thomas),4.740,5.370
1,2:37,1,8,NWE 8,3,0,Willis McGahee left guard for 1 yard (tackle by Tedy Bruschi and Jarvis Green),5.370,4.760
1,2:00,2,7,NWE 7,3,0,Kyle Boller pass complete short right to Derrick Mason for 3 yards (tackle by Mike Vrabel),4.760,4.490
1,1:23,3,4,NWE 4,3,6,"Kyle Boller pass complete short middle to Derrick Mason for 4 yards, touchdown",4.490,7.000
1,,,,NWE 2,3,7,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,3,7,"Matt Stover kicks off 55 yards, returned by Ellis Hobbs for 12 yards",0.000,0.740
1,1:12,1,10,NWE 27,3,7,Tom Brady sacked by Corey Ivy for -6 yards,0.740,-0.610
1,0:35,2,16,NWE 21,3,7,Laurence Maroney left guard for 5 yards (tackle by Haloti Ngata and Dawan Landry),-0.610,-0.620
Quarter,Time,Down,ToGo,Location,NWE,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,11,NWE 26,3,7,Tom Brady pass incomplete short right intended for Jabar Gaffney. Penalty on Logan Mankins: Offensive Holding (Declined),-0.620,-1.630
2,14:53,4,11,NWE 26,3,7,Chris Hanson punts 40 yards,-1.630,-1.200
2,14:42,1,10,BAL 34,3,7,Willis McGahee right guard for 3 yards (tackle by Vince Wilfork),1.200,1.060
2,14:04,2,7,BAL 37,3,7,Kyle Boller pass complete short right to Derrick Mason for 15 yards (tackle by Asante Samuel),1.060,2.390
2,13:26,1,10,NWE 48,3,7,Willis McGahee left guard for 2 yards (tackle by Adalius Thomas),2.390,2.120
2,12:48,2,8,NWE 46,3,7,Willis McGahee up the middle for 15 yards (tackle by James Sanders and Adalius Thomas),2.120,3.510
2,12:04,1,10,NWE 31,3,7,Willis McGahee right tackle for 1 yard (tackle by Ty Warren),3.510,3.100
2,11:29,2,9,NWE 30,3,7,Kyle Boller pass incomplete deep left intended for Derrick Mason,3.100,2.410
2,11:29,3,9,NWE 30,3,7,Musa Smith right guard for 3 yards (tackle by Mike Vrabel and Ty Warren),2.410,1.700
2,10:40,4,6,NWE 27,3,7,Kyle Boller pass complete short left to Derrick Mason for 12 yards,1.700,4.580
2,10:11,1,10,NWE 15,3,7,Kyle Boller pass incomplete short right intended for Daniel Wilcox,4.580,3.950
2,10:06,2,10,NWE 15,3,7,Willis McGahee right guard for 1 yard (tackle by Tedy Bruschi and Vince Wilfork),3.950,3.240
2,9:25,3,9,NWE 14,3,7,Kyle Boller pass complete short left to Daniel Wilcox for 3 yards (tackle by Ellis Hobbs),3.240,2.720
2,8:49,4,6,NWE 11,3,10,Matt Stover 29 yard field goal good,2.720,3.000
2,,,,BAL 30,3,10,"Matt Stover kicks off 43 yards, returned by Heath Evans for 13 yards (tackle by Justin Green)",0.000,1.600
2,8:39,1,10,NWE 40,3,10,Kevin Faulk right tackle for 7 yards (tackle by Corey Ivy),1.600,2.000
2,8:11,2,3,NWE 47,3,10,Tom Brady pass complete short left to Donte Stallworth for 18 yards (tackle by Samari Rolle),2.000,3.250
2,7:50,1,10,BAL 35,3,10,Tom Brady pass complete short left to Donte Stallworth for 8 yards,3.250,3.780
2,7:25,2,2,BAL 27,3,10,Kevin Faulk left guard for 6 yards (tackle by Kelly Gregg and Bart Scott),3.780,4.170
2,6:54,1,10,BAL 21,3,10,Tom Brady pass incomplete deep right intended for Randy Moss,4.170,3.630
2,6:47,2,10,BAL 21,3,10,Tom Brady pass complete short right to Wes Welker for 6 yards (tackle by Corey Ivy),3.630,3.810
2,6:12,3,4,BAL 15,3,10,"Tom Brady pass incomplete short right intended for Randy Moss. Penalty on Corey Ivy: Defensive Holding, 5 yards (no play)",3.810,4.910
2,6:08,1,10,BAL 10,3,10,Tom Brady pass complete short right to Randy Moss for 6 yards (tackle by Ed Reed),4.910,5.340
2,5:32,2,4,BAL 4,3,10,"Tom Brady pass incomplete short middle intended for Randy Moss. Penalty on Chris McAlister: Defensive Pass Interference, 3 yards (no play)",5.340,6.970
2,5:29,1,1,BAL 1,3,10,Tom Brady pass incomplete short middle intended for Mike Vrabel,6.970,5.910
2,5:24,2,1,BAL 1,9,10,"Heath Evans left guard for 1 yard, touchdown",5.910,7.000
2,,,,BAL 2,10,10,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,10,10,"Stephen Gostkowski kicks off 71 yards, returned by Yamon Figurs for 23 yards (tackle by Pierre Woods)",0.000,0.410
2,5:16,1,10,BAL 22,10,10,Willis McGahee up the middle for 5 yards (tackle by Tedy Bruschi and James Sanders),0.410,0.540
2,4:40,2,5,BAL 27,10,10,Willis McGahee left guard for 2 yards (tackle by Tedy Bruschi),0.540,0.100
2,3:59,3,3,BAL 29,10,10,Kyle Boller pass incomplete short right intended for Derrick Mason (defended by Randall Gay),0.100,-1.440
2,3:51,4,3,BAL 29,10,10,"Sam Koch punts 39 yards, returned by Wes Welker for 1 yard (tackle by Daniel Wilcox)",-1.440,-1.140
2,3:40,1,10,NWE 33,10,10,Kevin Faulk up the middle for 5 yards (tackle by Bart Scott and Kelly Gregg),1.140,1.270
2,3:16,2,5,NWE 38,10,10,Tom Brady pass incomplete deep middle intended for Ben Watson,1.270,0.560
2,3:11,3,5,NWE 38,10,10,Tom Brady pass complete short right to Ben Watson for 3 yards (tackle by Jamaine Winborne),0.560,-0.650
