Quarter,Time,Tm,Detail,BUF,JAX
2.0,1:49,Bills,Stephen Hauschka 31 yard field goal,3,0
,0:02,Jaguars,Josh Lambo 44 yard field goal,3,3
3.0,0:42,Jaguars,Ben Koyack 1 yard pass from Blake Bortles (Josh Lambo kick),3,10
