Unnamed: 0,BUF,JAX
First Downs,20,15
Rush-Yds-TDs,32-130-0,34-155-0
Cmp-Att-Yd-TD-INT,18-40-148-0-2,12-23-87-1-0
Sacked-Yards,2-15,2-12
Net Pass Yards,133,75
Total Yards,263,230
Fumbles-Lost,1-0,3-0
Turnovers,2,0
Penalties-Yards,5-52,5-34
Third Down Conv.,7-18,2-12
Fourth Down Conv.,1-1,1-1
Time of Possession,32:37,27:23
