Unnamed: 0,DAL,WAS
First Downs,13,19
Rush-Yds-TDs,24-109-0,40-171-1
Cmp-Att-Yd-TD-INT,16-29-153-1-3,12-20-163-4-0
Sacked-Yards,7-46,0-0
Net Pass Yards,107,163
Total Yards,216,334
Fumbles-Lost,2-1,2-1
Turnovers,4,1
Penalties-Yards,9-56,7-55
Third Down Conv.,5-15,5-11
Fourth Down Conv.,1-2,0-0
Time of Possession,28:36,31:24
