Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Billy Cundiff kicks off 48 yards, returned by Mike Sellers for 13 yards (tackle by Ryan Fowler)",0.000,1.270
1,14:54,1,10,WAS 35,0,0,Clinton Portis right tackle for 4 yards (tackle by Scott Shanle and Jason Ferguson),1.270,1.260
1,14:18,2,6,WAS 39,0,0,Clinton Portis for 7 yards (tackle by Jason Ferguson),1.260,1.990
1,13:36,1,10,WAS 46,0,0,Mark Brunell pass incomplete intended for Taylor Jacobs,1.990,1.450
1,13:28,2,10,WAS 46,0,0,Clinton Portis right end for 15 yards (tackle by Bradie James),1.450,2.980
1,12:59,1,10,DAL 39,0,0,Clinton Portis right end for 4 yards (tackle by Marcus Spears),2.980,2.980
1,12:22,2,6,DAL 35,0,0,Ladell Betts right end for 3 yards (tackle by Scott Fujita),2.980,2.680
1,11:43,3,3,DAL 32,0,0,"Mark Brunell pass complete to Santana Moss for 8 yards. Penalty on Santana Moss: Illegal Touch Pass, 5 yards (no play)",2.680,2.020
1,11:13,3,8,DAL 37,0,0,Mark Brunell pass incomplete intended for Jimmy Farris,2.020,0.790
1,11:07,4,8,DAL 37,0,0,Derrick Frost punts 19 yards,0.790,-0.040
1,11:00,1,10,DAL 18,0,0,Drew Bledsoe pass incomplete intended for Patrick Crayton is intercepted by Cornelius Griffin at DAL-21,0.040,-4.170
1,10:53,1,10,DAL 21,0,0,Clinton Portis left end for 4 yards (tackle by DeMarcus Ware),4.170,4.200
1,10:18,2,6,DAL 17,0,0,Mark Brunell pass complete to Robert Royal for 6 yards (tackle by Scott Fujita),4.200,4.840
1,9:31,1,10,DAL 11,0,0,Clinton Portis right end for 3 yards (tackle by Scott Fujita and Bradie James),4.840,4.700
1,8:51,2,7,DAL 8,0,6,"Mark Brunell pass complete to Chris Cooley for 8 yards, touchdown",4.700,7.000
1,,,,DAL 2,0,7,John Hall kicks extra point good,0.000,0.000
1,,,,WAS 30,0,7,"John Hall kicks off 61 yards, returned by Tyson Thompson for 26 yards (tackle by Sean Taylor)",0.000,1.270
1,8:38,1,10,DAL 35,0,7,"Drew Bledsoe pass complete to Jason Witten for 2 yards (tackle by Sean Taylor). Penalty on Marcus Washington: Unnecessary Roughness, 15 yards",1.270,2.390
1,8:13,1,10,WAS 48,0,7,Julius Jones right end for 2 yards (tackle by Lemar Marshall),2.390,2.120
1,7:31,2,8,WAS 46,0,7,Drew Bledsoe pass complete to Julius Jones for -2 yards (tackle by Walt Harris),2.120,1.160
1,6:50,3,10,WAS 48,0,7,Drew Bledsoe pass complete to Keyshawn Johnson for 14 yards (tackle by Pierson Prioleau),1.160,3.310
1,6:10,1,10,WAS 34,0,7,Julius Jones left end for 4 yards (tackle by Lemar Marshall and Ryan Clark),3.310,3.310
1,5:31,2,6,WAS 30,0,7,Julius Jones up the middle for -1 yards (tackle by Joe Salave'a and Lemar Marshall),3.310,2.480
1,4:46,3,7,WAS 31,0,7,"Penalty on Torrin Tucker: False Start, 5 yards (no play)",2.480,1.820
1,4:27,3,12,WAS 36,0,7,Drew Bledsoe pass complete to Patrick Crayton for 24 yards (tackle by Omar Stoutmire),1.820,4.780
