Unnamed: 0,DAL,CAR
First Downs,22,13
Rush-Yds-TDs,41-214-2,24-71-0
Cmp-Att-Yd-TD-INT,15-23-209-1-1,14-31-260-2-1
Sacked-Yards,5-29,3-13
Net Pass Yards,180,247
Total Yards,394,318
Fumbles-Lost,3-1,3-1
Turnovers,2,2
Penalties-Yards,5-44,6-49
Third Down Conv.,5-14,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,34:40,25:20
