Quarter,Time,Tm,Detail,NWE,TEN
1.0,8:43,Titans,Rob Bironas 28 yard field goal,0,3
,1:59,Patriots,Aaron Hernandez 23 yard pass from Tom Brady (Stephen Gostkowski kick),7,3
2.0,11:07,Patriots,Dont'a Hightower 6 yard defensive fumble return (Stephen Gostkowski kick),14,3
,2:00,Patriots,Rob Gronkowski 2 yard pass from Tom Brady (Stephen Gostkowski kick),21,3
3.0,10:17,Titans,Nate Washington 29 yard pass from Jake Locker (Rob Bironas kick),21,10
,1:04,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),28,10
4.0,9:17,Titans,Rob Bironas 24 yard field goal,28,13
,4:15,Patriots,Stephen Gostkowski 25 yard field goal,31,13
,0:31,Patriots,Stephen Gostkowski 31 yard field goal,34,13
