Quarter,Time,Down,ToGo,Location,LAR,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 73 yards, returned by Ryan Switzer for 28 yards (tackle by Mark Barron)",0.000,-0.280
1,14:55,1,10,DAL 20,0,0,Dak Prescott pass complete deep right to Dez Bryant for 36 yards (tackle by Trumaine Johnson). Penalty on Trumaine Johnson: Illegal Contact (Declined),0.280,2.650
1,14:41,1,10,LAR 44,0,0,Ezekiel Elliott right end for 4 yards (tackle by Alec Ogletree),2.650,2.650
1,14:08,2,6,LAR 40,0,0,"Dak Prescott pass incomplete deep right intended for Dez Bryant (defended by Trumaine Johnson). Penalty on Aaron Donald: Defensive Offside, 5 yards (no play)",2.650,3.330
1,14:05,2,1,LAR 35,0,0,Ezekiel Elliott right tackle for 15 yards (tackle by Matt Longacre),3.330,4.240
1,13:25,1,10,LAR 20,0,0,Ezekiel Elliott left tackle for 5 yards (tackle by Alec Ogletree),4.240,4.450
1,12:49,2,5,LAR 15,0,0,Ezekiel Elliott right guard for no gain (tackle by Tanzel Smart and Connor Barwin),4.450,3.700
1,12:07,3,5,LAR 15,0,0,Dak Prescott sacked by Michael Brockers for -1 yards,3.700,2.400
1,11:33,4,6,LAR 16,0,3,Dan Bailey 34 yard field goal good,2.400,3.000
1,11:30,,,DAL 35,0,3,"Dan Bailey kicks off 70 yards, returned by Pharoh Cooper for 21 yards (tackle by Rod Smith)",0.000,0.140
1,11:26,1,10,LAR 16,0,3,Todd Gurley right tackle for 11 yards (tackle by Byron Jones),-0.140,0.740
1,10:59,1,10,LAR 27,0,3,Jared Goff pass complete deep right to Tyler Higbee for 29 yards (tackle by Justin Durant),0.740,2.650
1,10:27,1,10,DAL 44,0,3,Todd Gurley left end for 4 yards (tackle by Jaylon Smith and Orlando Scandrick),2.650,2.650
1,9:45,2,6,DAL 40,0,3,Jared Goff pass complete short right to Robert Woods for -2 yards (tackle by Orlando Scandrick),2.650,1.690
1,9:07,3,8,DAL 42,0,3,Jared Goff pass complete short right to Gerald Everett for 8 yards (tackle by Byron Jones),1.690,3.310
1,8:40,1,10,DAL 34,0,3,Jared Goff pass complete short right to Todd Gurley for 4 yards (tackle by Anthony Brown and Justin Durant),3.310,3.310
1,8:00,2,6,DAL 30,0,3,Todd Gurley right end for -1 yards (tackle by Maliek Collins),3.310,2.480
1,7:17,3,7,DAL 31,0,3,Jared Goff pass incomplete short left intended for Cooper Kupp,2.480,1.320
1,7:12,4,7,DAL 31,3,3,Greg Zuerlein 49 yard field goal good,1.320,3.000
1,7:07,,,LAR 35,3,3,"Greg Zuerlein kicks off 70 yards, returned by Ryan Switzer for 24 yards (tackle by Bryce Hager)",0.000,-0.150
1,7:03,1,10,DAL 19,3,3,Dak Prescott pass complete short right to Terrance Williams for 12 yards,0.150,1.000
1,6:33,1,10,DAL 31,3,3,Ezekiel Elliott left tackle for 3 yards (tackle by Michael Brockers and Ethan Westbrooks),1.000,0.870
1,5:52,2,7,DAL 34,3,3,Dak Prescott pass incomplete short left intended for Cole Beasley,0.870,0.170
1,5:47,3,7,DAL 34,3,3,"Dak Prescott sacked by Alec Ogletree for -8 yards. Penalty on Trumaine Johnson: Illegal Use of Hands (Offsetting), Penalty on Jonathan Cooper: Offensive Holding (Offsetting) (no play)",0.170,0.170
1,5:20,3,7,DAL 34,3,3,Dak Prescott pass complete short right to Dez Bryant for 14 yards (tackle by Cody Davis),0.170,2.130
1,4:35,1,10,DAL 48,3,3,Ezekiel Elliott left guard for 1 yard (tackle by Morgan Fox),2.130,1.720
1,3:58,2,9,DAL 49,3,3,Dak Prescott pass complete short right to Terrance Williams for 13 yards (tackle by Kayvon Webster),1.720,3.050
1,3:18,1,10,LAR 38,3,3,Ezekiel Elliott right tackle for 3 yards (tackle by Maurice Alexander and Ethan Westbrooks),3.050,2.910
1,2:39,2,7,LAR 35,3,3,Dak Prescott pass incomplete deep middle intended for Dez Bryant (defended by Trumaine Johnson),2.910,2.210
1,2:31,3,7,LAR 35,3,3,Dak Prescott pass complete short right to Terrance Williams for 6 yards (tackle by Kayvon Webster),2.210,1.620
1,1:44,4,1,LAR 29,3,3,Ezekiel Elliott middle for 4 yards (tackle by Mark Barron),1.620,3.910
1,1:08,1,10,LAR 25,3,3,Dak Prescott pass complete short left to Brice Butler for 2 yards (tackle by Kayvon Webster),3.910,3.630
1,0:31,2,8,LAR 23,3,3,Ezekiel Elliott right guard for 10 yards (tackle by Mark Barron),3.630,4.710
Quarter,Time,Down,ToGo,Location,LAR,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 13,3,3,Dak Prescott pass incomplete short left intended for Jason Witten,4.710,4.050
2,14:53,2,10,LAR 13,3,3,Dak Prescott pass complete short left to Terrance Williams for 3 yards (tackle by Alec Ogletree),4.050,3.650
2,14:15,3,7,LAR 10,3,9,"Dak Prescott pass complete short left to Ezekiel Elliott for 10 yards, touchdown",3.650,7.000
2,14:05,,,LAR 15,3,10,Dan Bailey kicks extra point good,0.000,0.000
2,14:05,,,DAL 35,3,10,"Dan Bailey kicks off 66 yards, returned by Pharoh Cooper for 66 yards (tackle by Damien Wilson)",0.000,-3.250
2,13:54,1,10,DAL 35,3,10,"Penalty on Demarcus Lawrence: Encroachment, 5 yards (no play)",3.250,3.980
2,13:53,1,5,DAL 30,3,10,Jared Goff pass complete short middle to Todd Gurley for 6 yards (tackle by Jaylon Smith),3.980,3.970
2,13:53,1,10,DAL 24,3,10,Jared Goff pass incomplete short left intended for Robert Woods,3.970,0.000
2,13:29,,,,,,Timeout #1 by Los Angeles Rams,0.000,-3.430
2,13:29,2,10,DAL 24,3,10,Jared Goff pass incomplete short middle intended for Tyler Higbee,3.430,2.740
2,13:23,3,10,DAL 24,3,10,Jared Goff pass complete short right to Tavon Austin for -2 yards (tackle by Anthony Brown),2.740,1.740
2,12:42,4,12,DAL 26,6,10,Greg Zuerlein 44 yard field goal good,1.740,3.000
2,12:39,,,LAR 35,6,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,12:39,1,10,DAL 25,6,10,Alfred Morris middle for 70 yards (tackle by Kayvon Webster),0.610,6.060
,,,,,,,"LAR challenged the runner was down by contact ruling, and the play was upheld.",,
2,11:54,1,5,LAR 5,6,10,Ezekiel Elliott middle for no gain (tackle by Aaron Donald),6.060,5.150
2,11:20,2,5,LAR 5,6,10,"Dak Prescott pass complete short right to Jason Witten for 3 yards (tackle by Maurice Alexander). Penalty on Kayvon Webster: Defensive Holding, 3 yards (no play)",5.150,6.740
2,11:12,1,2,LAR 2,6,10,Ezekiel Elliott right end for 1 yard (tackle by John Johnson),6.740,5.910
2,10:57,2,1,LAR 1,6,16,"Ezekiel Elliott middle for 1 yard, touchdown",5.910,7.000
