Unnamed: 0,LAR,DAL
First Downs,24,22
Rush-Yds-TDs,31-168-0,27-189-1
Cmp-Att-Yd-TD-INT,21-36-255-2-0,20-36-252-3-1
Sacked-Yards,1-11,2-1
Net Pass Yards,244,251
Total Yards,412,440
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,7-41,4-45
Third Down Conv.,5-13,7-14
Fourth Down Conv.,0-0,1-2
Time of Possession,30:32,29:28
