#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DAL 20,7,3:30,64,Field Goal
2,1,7:07,DAL 19,16,8:02,81,Touchdown
3,2,12:39,DAL 25,3,1:46,75,Touchdown
4,2,6:33,DAL 25,9,4:42,75,Touchdown
5,3,13:10,DAL 14,5,2:29,15,Punt
6,3,7:26,DAL 25,5,2:28,22,Punt
7,3,2:59,DAL 25,3,1:37,4,Punt
8,4,11:56,DAL 21,3,0:56,1,Interception
9,4,9:41,DAL 25,5,2:30,75,Touchdown
10,4,1:55,DAL 25,10,1:28,36,Downs
