Unnamed: 0,CLE,TAM
First Downs,17,34
Rush-Yds-TDs,23-119-1,32-114-3
Cmp-Att-Yd-TD-INT,23-34-215-2-0,32-52-365-0-2
Sacked-Yards,5-29,4-23
Net Pass Yards,186,342
Total Yards,305,456
Fumbles-Lost,2-1,3-2
Turnovers,1,4
Penalties-Yards,14-114,8-65
Third Down Conv.,3-14,6-13
Fourth Down Conv.,0-2,1-1
Time of Possession,30:27,37:43
