Quarter,Time,Tm,Detail,IND,LAC
1,2:55,Chargers,Austin Ekeler 1 yard pass from Philip Rivers (Ty Long kick),0,7
2,10:02,Colts,T.Y. Hilton 4 yard pass from Jacoby Brissett (Adam Vinatieri kick failed),6,7
,5:58,Chargers,Keenan Allen 28 yard pass from Philip Rivers (Ty Long kick),6,14
,1:02,Chargers,Ty Long 40 yard field goal,6,17
3,11:15,Colts,Adam Vinatieri 44 yard field goal,9,17
,8:27,Chargers,Austin Ekeler 55 yard pass from Philip Rivers (Ty Long kick),9,24
,7:40,Colts,Marlon Mack 63 yard rush (Adam Vinatieri kick),16,24
4,0:38,Colts,T.Y. Hilton 19 yard pass from Jacoby Brissett (Marlon Mack run),24,24
OT,5:01,Chargers,Austin Ekeler 7 yard rush,24,30
