Unnamed: 0,IND,LAC
First Downs,22,25
Rush-Yds-TDs,33-203-1,21-125-1
Cmp-Att-Yd-TD-INT,21-27-190-2-0,25-34-333-3-1
Sacked-Yards,2-17,4-23
Net Pass Yards,173,310
Total Yards,376,435
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,3-10,3-20
Third Down Conv.,7-13,7-11
Fourth Down Conv.,1-1,0-0
Time of Possession,32:09,32:50
