Quarter,Time,Down,ToGo,Location,IND,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 69 yards, returned by Desmond King for 43 yards (tackle by Zach Pascal)",0.000,1.530
1,14:53,1,10,LAC 39,0,0,Austin Ekeler left end for 2 yards (tackle by Kenny Moore and Darius Leonard),1.530,1.260
1,14:14,2,8,LAC 41,0,0,Philip Rivers pass complete short right to Keenan Allen for 2 yards (tackle by Anthony Walker),1.260,0.830
1,13:30,3,6,LAC 43,0,0,Philip Rivers sacked by and Denico Autry for -6 yards,0.830,-0.910
1,12:56,4,12,LAC 37,0,0,"Ty Long punts 54 yards, returned by Chester Rogers for 5 yards (tackle by Nasir Adderley)",-0.910,0.280
1,12:45,1,10,IND 14,0,0,Jacoby Brissett pass complete short right to T.Y. Hilton for 3 yards (tackle by Desmond King),-0.280,-0.370
1,12:07,2,7,IND 17,0,0,Jacoby Brissett pass complete short right to Deon Cain for 10 yards (tackle by Casey Hayward),-0.370,0.740
1,11:24,1,10,IND 27,0,0,Marlon Mack left end for -3 yards (tackle by Desmond King),0.740,-0.210
1,10:42,2,13,IND 24,0,0,Marlon Mack left end for 4 yards (tackle by Uchenna Nwosu),-0.210,-0.360
1,9:56,3,9,IND 28,0,0,Jacoby Brissett sacked by Melvin Ingram for -9 yards,-0.360,-2.140
1,9:19,4,18,IND 19,0,0,Rigoberto Sanchez punts 49 yards out of bounds,-2.140,-1.070
1,9:10,1,10,LAC 32,0,0,Philip Rivers pass complete short right to Austin Ekeler for 9 yards (tackle by Darius Leonard),1.070,1.740
1,8:31,2,1,LAC 41,0,0,Austin Ekeler left end for 2 yards (tackle by Margus Hunt and Anthony Walker),1.740,1.800
1,7:45,1,10,LAC 43,0,0,Philip Rivers pass complete short middle to Austin Ekeler for 9 yards (tackle by Anthony Walker and Margus Hunt),1.800,2.470
1,7:04,2,1,IND 48,0,0,Justin Jackson right tackle for 23 yards (tackle by Malik Hooker),2.470,3.910
1,6:17,1,10,IND 25,0,0,Austin Ekeler right end for 3 yards (tackle by Kemoko Turay and Grover Stewart),3.910,3.770
1,5:39,2,7,IND 22,0,0,Austin Ekeler up the middle for 13 yards (tackle by Clayton Geathers),3.770,5.140
1,5:02,1,9,IND 9,0,0,Justin Jackson right guard for no gain (tackle by Anthony Walker),5.140,4.380
1,4:23,2,9,IND 9,0,0,Philip Rivers pass incomplete short right intended for Justin Jackson,4.380,3.360
1,4:18,3,9,IND 9,0,0,Philip Rivers pass complete short left to Dontrelle Inman for 5 yards (tackle by Rock Ya-Sin),3.360,3.030
1,3:35,4,4,IND 4,0,0,"Ty Long yard field goal good. Penalty on Denico Autry: Unnecessary Roughness, 2 yards (no play)",3.030,6.740
1,3:32,1,2,IND 2,0,0,Philip Rivers pass complete short middle to Keenan Allen for 1 yard (tackle by Pierre Desir),6.740,5.910
1,3:00,2,1,IND 1,0,6,"Philip Rivers pass complete short right to Austin Ekeler for 1 yard, touchdown",5.910,7.000
1,2:55,,,IND 15,0,7,Ty Long kicks extra point good,0.000,0.000
1,2:55,,,LAC 35,0,7,"Ty Long kicks off 61 yards, returned by Parris Campbell for 21 yards (tackle by Derek Watt)",0.000,0.610
1,2:49,1,10,IND 25,0,7,Jacoby Brissett pass complete short left to Devin Funchess for 8 yards (tackle by Brandon Facyson),0.610,1.140
1,2:12,2,2,IND 33,0,7,Marlon Mack up the middle for 1 yard (tackle by Thomas Davis and Joey Bosa),1.140,0.560
1,1:31,3,1,IND 34,0,7,Jacoby Brissett pass complete short left to Jack Doyle for 20 yards (tackle by Thomas Davis),0.560,2.520
1,1:07,1,10,LAC 46,0,7,Jacoby Brissett pass complete short right to Nyheim Hines for 8 yards (tackle by Kyzir White),2.520,3.060
1,0:25,2,2,LAC 38,0,7,Marlon Mack up the middle for 1 yard (tackle by Brandon Mebane),3.060,2.480
Quarter,Time,Down,ToGo,Location,IND,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,LAC 37,0,7,Jacoby Brissett up the middle for 3 yards (tackle by Thomas Davis),2.480,3.310
2,14:20,1,10,LAC 34,0,7,Jacoby Brissett right end for 6 yards (tackle by Adrian Phillips),3.310,3.580
2,13:36,2,4,LAC 28,0,7,Marlon Mack left end for 6 yards (tackle by Brandon Mebane),3.580,4.110
2,12:53,1,10,LAC 22,0,7,Jacoby Brissett pass complete short right to Mo Alie-Cox for 3 yards (tackle by Kyzir White and Desmond King),4.110,3.970
2,12:15,2,7,LAC 19,0,7,Jacoby Brissett pass complete short right to T.Y. Hilton for 5 yards (tackle by Casey Hayward),3.970,4.150
2,11:34,3,2,LAC 14,0,7,Marlon Mack up the middle for 3 yards (tackle by Adrian Phillips),4.150,4.840
2,10:49,1,10,LAC 11,0,7,Jacoby Brissett pass incomplete short middle intended for Jack Doyle,4.840,4.140
2,10:43,2,10,LAC 11,0,7,Marlon Mack up the middle for 7 yards (tackle by Thomas Davis and Rayshawn Jenkins),4.140,4.670
2,10:06,,,,,,Timeout #1 by Indianapolis Colts,,
2,10:06,3,3,LAC 4,6,7,"Jacoby Brissett pass complete short left to T.Y. Hilton for 4 yards, touchdown",4.670,7.000
2,10:02,,,LAC 15,6,7,Adam Vinatieri kicks extra point no good wide right,0.000,-1.000
2,10:02,,,IND 35,6,7,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,10:02,1,10,LAC 25,6,7,Philip Rivers pass complete deep left to Keenan Allen for 27 yards (tackle by Malik Hooker),0.610,2.390
2,9:22,1,10,IND 48,6,7,Philip Rivers pass complete short middle to Travis Benjamin for 10 yards (tackle by Khari Willis),2.390,3.050
2,8:45,1,10,IND 38,6,7,Philip Rivers pass complete short left to Austin Ekeler for 13 yards (tackle by Matthew Adams),3.050,3.910
2,8:00,1,10,IND 25,6,7,Austin Ekeler left tackle for 5 yards (tackle by Pierre Desir and Darius Leonard),3.910,4.040
2,7:20,2,5,IND 20,6,7,Philip Rivers sacked by Justin Houston for -3 yards,4.040,2.940
2,6:38,3,8,IND 23,6,7,"Philip Rivers pass complete short left to Justin Jackson for 15 yards (tackle by Malik Hooker and Pierre Desir). Penalty on Trenton Scott: Illegal Formation, 5 yards (no play)",2.940,2.280
2,6:06,3,13,IND 28,6,13,"Philip Rivers pass complete deep left to Keenan Allen for 28 yards, touchdown",2.280,7.000
2,5:58,,,IND 15,6,14,Ty Long kicks extra point good,0.000,0.000
2,5:58,,,LAC 35,6,14,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,5:58,1,10,IND 25,6,14,"Jacoby Brissett aborted snap, recovered by Jacoby Brissett at IND-24 and returned for -1 yards",0.610,-0.070
2,5:17,2,11,IND 24,6,14,Marlon Mack up the middle for 2 yards (tackle by Thomas Davis and Jerry Tillery),-0.070,-0.490
2,4:36,3,9,IND 26,6,14,Jacoby Brissett pass incomplete short left intended for Devin Funchess,-0.490,-1.630
2,4:30,4,9,IND 26,6,14,Rigoberto Sanchez punts 20 yards downed by Luke Rhodes,-1.630,-2.520
2,4:19,1,10,IND 46,6,14,Philip Rivers pass incomplete short left intended for Keenan Allen,2.520,1.980
2,4:15,2,10,IND 46,6,14,Austin Ekeler up the middle for 1 yard (tackle by Justin Houston and Darius Leonard),1.980,1.420
2,3:34,3,9,IND 45,6,14,Philip Rivers pass complete short left to Mike Williams for 12 yards (tackle by Khari Willis),1.420,3.380
2,2:49,1,10,IND 33,6,14,Philip Rivers pass incomplete short right intended for Tyrod Taylor,3.380,2.840
2,2:43,2,10,IND 33,6,14,Justin Jackson left end for 9 yards (tackle by Justin Houston),2.840,3.340
2,2:00,3,1,IND 24,6,14,Derek Watt up the middle for 2 yards (tackle by Clayton Geathers and Matthew Adams),3.340,4.110
2,1:24,1,10,IND 22,6,14,Philip Rivers pass incomplete short left intended for Austin Ekeler (defended by Darius Leonard),4.110,3.560
2,1:18,,,,,,Timeout #2 by Indianapolis Colts,,
2,1:18,2,10,IND 22,6,14,Philip Rivers pass incomplete short right intended for Hunter Henry,3.560,2.870
2,1:12,3,10,IND 22,6,14,Philip Rivers pass incomplete short left intended for Mike Williams,2.870,1.990
2,1:06,4,10,IND 22,6,17,Ty Long 40 yard field goal good,1.990,3.000
2,1:02,,,LAC 35,6,17,"Ty Long kicks off 67 yards, returned by Parris Campbell for 23 yards (tackle by Drue Tranquill)",0.000,0.340
2,0:56,1,10,IND 21,6,17,Jacoby Brissett pass complete deep left to Deon Cain for 25 yards (tackle by Brandon Facyson),0.340,1.990
2,0:29,1,10,IND 46,6,17,Jacoby Brissett pass complete deep left to Devin Funchess for 16 yards (tackle by Brandon Facyson),1.990,3.050
2,0:24,1,10,LAC 38,6,17,Jacoby Brissett pass complete short left to Nyheim Hines for 2 yards (tackle by Brandon Facyson),3.050,2.780
2,0:18,2,8,LAC 36,6,17,Jacoby Brissett pass complete short middle to Eric Ebron for 8 yards (tackle by Thomas Davis and Adrian Phillips),2.780,3.710
2,0:03,,,,,,Timeout #3 by Indianapolis Colts,,
2,0:03,1,10,LAC 28,6,17,Adam Vinatieri 46 yard field goal no good,3.710,1.270
Quarter,Time,Down,ToGo,Location,IND,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,6,17,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,IND 25,6,17,Marlon Mack left end for 25 yards (tackle by Thomas Davis and Rayshawn Jenkins),0.610,2.260
3,14:24,1,10,IND 50,6,17,Marlon Mack right guard for 5 yards (tackle by Adrian Phillips and Brandon Mebane),2.260,2.390
3,13:42,2,5,LAC 45,6,17,Nyheim Hines right tackle for 6 yards (tackle by Kyzir White and Brandon Mebane),2.390,2.980
3,13:01,1,10,LAC 39,6,17,Marlon Mack up the middle for 10 yards (tackle by Kyzir White),2.980,3.640
3,12:29,1,10,LAC 29,6,17,Marlon Mack up the middle for 3 yards (tackle by Joey Bosa),3.640,3.510
3,11:47,2,7,LAC 26,6,17,Nyheim Hines right end for no gain (tackle by Thomas Davis),3.510,2.810
3,11:22,3,7,LAC 26,6,17,Jacoby Brissett pass incomplete short right intended for Eric Ebron,2.810,1.740
3,11:19,4,7,LAC 26,9,17,Adam Vinatieri 44 yard field goal good,1.740,3.000
3,11:15,,,IND 35,9,17,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
