Quarter,Time,Down,ToGo,Location,ATL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Matt Bryant kicks off 67 yards, returned by Allen Rossum for 20 yards (tackle by Marcellus Rivers)",0.000,0.480
1,14:55,1,10,ATL 23,0,0,Bob Christian left tackle for 8 yards (tackle by Dhani Jones and Cornelius Griffin),0.480,1.010
1,14:17,2,2,ATL 31,0,0,T.J. Duckett left guard for 1 yard (tackle by Cornelius Griffin and Dhani Jones),1.010,0.430
1,13:34,3,1,ATL 32,0,0,Warrick Dunn right guard for no gain (tackle by Micheal Barrow),0.430,-1.240
1,13:00,4,1,ATL 32,0,0,"Chris Mohr punts 39 yards, returned by Delvin Joyce for -2 yards (tackle by Travis Jervey)",-1.240,-0.740
1,12:50,1,10,NYG 27,0,0,Tiki Barber middle for 2 yards (tackle by Ed Jasper and John Holecek),0.740,0.470
1,12:14,2,8,NYG 29,0,0,"Kerry Collins pass complete to Amani Toomer for 5 yards (tackle by Ashley Ambrose). Penalty on Ashley Ambrose: Defensive Pass Interference, 5 yards (no play)",0.470,1.200
1,11:43,1,10,NYG 34,0,0,Kerry Collins pass complete to Amani Toomer for 12 yards (tackle by Gerald McBurrows),1.200,1.990
1,11:01,1,10,NYG 46,0,0,Ron Dayne left tackle for 3 yards (tackle by John Holecek and Keith Brooking),1.990,1.860
1,10:28,2,7,NYG 49,0,0,Tiki Barber right tackle for -1 yards (tackle by Matt Stewart),1.860,1.030
1,9:50,3,8,NYG 48,0,0,Kerry Collins sacked by Travis Hall for 0 yards,1.030,-0.190
1,9:32,4,8,NYG 48,0,0,"Matt Allen punts 40 yards, fair catch by Allen Rossum",-0.190,0.350
1,9:23,1,10,ATL 12,0,0,Doug Johnson pass complete to Brian Finneran for 6 yards (tackle by Micheal Barrow),-0.350,-0.070
1,8:48,2,4,ATL 18,0,0,"Doug Johnson sacked by Michael Strahan and Frank Ferrara for -3 yards. Doug Johnson fumbles (forced by Michael Strahan), recovered by T.J. Duckett at ATL-13. T.J. Duckett fumbles (forced by Michael Strahan), recovered by T.J. Duckett at ATL-13",-0.070,-1.300
1,7:54,3,9,ATL 13,0,0,Doug Johnson pass complete to Willie Jackson for 14 yards (tackle by Brandon Short and Omar Stoutmire),-1.300,0.740
1,7:23,1,10,ATL 27,0,0,"Warrick Dunn middle for 3 yards (tackle by Omar Stoutmire and Michael Strahan). Penalty on NYG: Defensive 12 On-field, 5 yards (no play)",0.740,1.470
1,6:52,1,5,ATL 32,0,0,Warrick Dunn left tackle for 4 yards (tackle by Frank Ferrara and Omar Stoutmire),1.470,1.410
1,6:17,2,1,ATL 36,0,0,Doug Johnson pass incomplete intended for Alge Crumpler (defended by Shaun Williams),1.410,0.700
1,6:11,3,1,ATL 36,0,0,Doug Johnson pass complete to Reggie Kelly for 7 yards (tackle by Brandon Short),0.700,1.800
1,5:25,1,10,ATL 43,0,0,Doug Johnson pass incomplete intended for Brian Finneran,1.800,1.250
1,5:18,2,10,ATL 43,0,0,Warrick Dunn left tackle for 2 yards (tackle by Frank Ferrara and Micheal Barrow),1.250,0.830
1,4:35,3,8,ATL 45,0,0,Doug Johnson pass complete to Warrick Dunn for 8 yards (tackle by Brandon Short). Penalty on Ralph Brown: Illegal Contact (Declined),0.830,2.460
1,4:10,1,10,NYG 47,0,0,"T.J. Duckett left tackle for 1 yard (tackle by Cornelius Griffin and Micheal Barrow). Penalty on Cornelius Griffin: Defensive Offside, 5 yards (no play)",2.460,3.190
1,3:39,1,5,NYG 42,0,0,T.J. Duckett right guard for 2 yards (tackle by Dhani Jones and Micheal Barrow),3.190,2.860
1,3:09,2,3,NYG 40,0,0,Doug Johnson pass complete to T.J. Duckett for 7 yards (tackle by Shaun Williams and Micheal Barrow),2.860,3.380
1,2:28,1,10,NYG 33,0,0,T.J. Duckett middle for -1 yards (tackle by Brandon Short and Micheal Barrow),3.380,2.700
1,1:47,2,11,NYG 34,0,0,Doug Johnson pass incomplete intended for Brian Finneran,2.700,2.010
1,1:42,3,11,NYG 34,0,0,Doug Johnson pass complete to Warrick Dunn for 14 yards (tackle by Omar Stoutmire),2.010,4.240
1,1:03,1,10,NYG 20,0,0,T.J. Duckett middle for 3 yards (tackle by Micheal Barrow and Dhani Jones),4.240,4.120
1,0:24,2,7,NYG 17,0,0,Warrick Dunn middle for 2 yards (tackle by Brandon Short and Cornelius Griffin),4.120,3.700
Quarter,Time,Down,ToGo,Location,ATL,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,NYG 15,6,0,"Doug Johnson right end for 15 yards, touchdown",3.700,7.000
2,15:00,,,NYG 15,7,0,Jay Feely kicks extra point good,0.000,0.000
2,15:00,,,ATL 30,7,0,"Jay Feely kicks off 63 yards, returned by Delvin Joyce for 19 yards (tackle by Artie Ulmer)",0.000,0.670
2,14:43,1,10,NYG 26,7,0,Tiki Barber right guard for 4 yards (tackle by Patrick Kerney),0.670,0.670
2,14:10,2,6,NYG 30,7,0,Tiki Barber right end for 2 yards (tackle by Juran Bolden),0.670,0.230
2,13:33,3,4,NYG 32,7,0,Kerry Collins pass incomplete intended for Amani Toomer (defended by Ashley Ambrose),0.230,-1.240
2,13:26,4,4,NYG 32,7,0,"Matt Allen punts 32 yards, returned by Brian Finneran for 10 yards. Penalty on Shawn Jefferson: Offensive Holding, 10 yards",-1.240,-0.670
2,13:16,1,10,ATL 26,7,0,T.J. Duckett left end for 1 yard (tackle by Lance Legree and Dwight Johnson),0.670,0.270
2,12:34,2,9,ATL 27,7,0,Doug Johnson pass complete to Warrick Dunn for 27 yards (tackle by Shaun Williams),0.270,2.520
2,11:45,1,10,NYG 46,7,0,T.J. Duckett left guard for 1 yard (tackle by Lance Legree and Micheal Barrow),2.520,2.110
2,11:05,2,9,NYG 45,7,0,Doug Johnson pass complete to Trevor Gaylor for 6 yards (tackle by Ralph Brown and DeWayne Patmon),2.110,2.210
2,10:26,3,3,NYG 39,7,0,Doug Johnson pass incomplete intended for Shawn Jefferson,2.210,0.660
2,10:22,4,3,NYG 39,7,0,Chris Mohr punts 37 yards,0.660,0.380
