Unnamed: 0,ATL,NYG
First Downs,15,18
Rush-Yds-TDs,24-67-1,27-113-0
Cmp-Att-Yd-TD-INT,19-25-257-1-0,20-31-204-1-1
Sacked-Yards,2-11,3-14
Net Pass Yards,246,190
Total Yards,313,303
Fumbles-Lost,2-0,3-1
Turnovers,0,2
Penalties-Yards,3-20,6-35
Third Down Conv.,8-13,6-13
Fourth Down Conv.,0-0,1-2
Time of Possession,29:58,30:02
