Quarter,Time,Tm,Detail,CAR,TAM
1.0,11:21,Panthers,Cam Newton 1 yard rush (Olindo Mare kick),7,0
,5:07,Panthers,Jonathan Stewart 1 yard rush (Olindo Mare kick),14,0
,1:23,Buccaneers,Connor Barth 50 yard field goal,14,3
2.0,10:52,Buccaneers,Connor Barth 47 yard field goal,14,6
,7:04,Panthers,Legedu Naanee 19 yard pass from Cam Newton (Olindo Mare kick),21,6
,4:25,Buccaneers,Connor Barth 46 yard field goal,21,9
,0:58,Buccaneers,Connor Barth 44 yard field goal,21,12
,0:00,Panthers,Olindo Mare 43 yard field goal,24,12
3.0,6:29,Panthers,Cam Newton 1 yard rush (Olindo Mare kick),31,12
4.0,9:48,Panthers,Cam Newton 1 yard rush (Olindo Mare kick),38,12
,6:35,Buccaneers,Dezmon Briscoe 23 yard pass from Josh Johnson (Connor Barth kick),38,19
