Unnamed: 0,CAR,TAM
First Downs,26,15
Rush-Yds-TDs,39-163-4,27-78-0
Cmp-Att-Yd-TD-INT,13-22-231-1-0,16-27-229-1-1
Sacked-Yards,2-9,2-22
Net Pass Yards,222,207
Total Yards,385,285
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,2-20,9-73
Third Down Conv.,6-11,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,32:41,27:19
