Quarter,Time,Tm,Detail,NOR,CAR
1.0,9:37,Saints,John Carney 39 yard field goal,3,0
,5:39,Saints,John Carney 23 yard field goal,6,0
2.0,5:46,Saints,Deuce McAllister 20 yard rush (John Carney kick),13,0
,0:34,Panthers,Jermaine Wiggins 3 yard pass from Rodney Peete (Shayne Graham kick),13,7
3.0,12:08,Panthers,Shayne Graham 19 yard field goal,13,10
,7:29,Panthers,Lamar Smith 1 yard rush (Shayne Graham kick),13,17
,1:35,Saints,Deuce McAllister 4 yard rush (John Carney kick),20,17
4.0,3:31,Panthers,Wesley Walls 15 yard pass from Rodney Peete (Shayne Graham kick),20,24
,0:31,Saints,Donte' Stallworth 7 yard pass from Aaron Brooks (John Carney kick),27,24
,0:00,Saints,Charles Grant 34 yard defensive fumble return (John Carney kick),34,24
