#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,9:37,CAR 20,3,2:02,-1,Punt
2,1,5:39,CAR 15,6,2:42,12,Punt
3,2,15:00,CAR 8,4,2:42,27,Punt
4,2,8:51,CAR 20,3,2:07,8,Punt
5,2,5:46,CAR 15,4,0:46,28,Interception
6,2,3:33,CAR 20,8,2:59,80,Touchdown
7,3,15:00,CAR 22,5,2:52,77,Field Goal
8,3,10:51,CAR 39,6,3:22,61,Touchdown
9,3,5:39,CAR 12,5,3:22,18,Downs
10,3,1:35,CAR 25,3,1:06,1,Punt
11,3,0:07,CAR 32,6,2:30,19,Punt
12,4,10:39,CAR 37,6,1:49,0,Punt
13,4,7:02,CAR 21,7,3:31,79,Touchdown
14,4,0:31,CAR 33,4,0:31,1,Fumble
