Unnamed: 0,NOR,CAR
First Downs,17,21
Rush-Yds-TDs,25-97-2,27-100-1
Cmp-Att-Yd-TD-INT,20-38-259-1-0,23-40-310-2-1
Sacked-Yards,2-11,2-14
Net Pass Yards,248,296
Total Yards,345,396
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,11-63,7-57
Third Down Conv.,4-15,4-17
Fourth Down Conv.,0-1,1-2
Time of Possession,27:39,32:21
